GENE	Bileck cyt	Bileck Nucl
LY75	95	5
MAN2B1	95	5
MAPRE2	95	5
MFN2	95	5
MPLKIP	95	5
MRPL48	95	5
MRPL53	95	5
MRPS11	95	5
MRPS27	95	5
MRPS35	95	5
NAP1L4	95	5
NFS1	95	5
NSUN2	95	5
OTUD4	95	5
PCMT1	95	5
PDCD2L	95	5
PFDN6	95	5
PFKL	95	5
PPP3CC	95	5
PRKACA	95	5
PRKACG	95	5
PSMA4	95	5
PSMB9	95	5
PSMC2	95	5
PSMC3	95	5
PSMC4	95	5
PSMD1	95	5
PSMD12	95	5
PSMD4	95	5
RAB37	95	5
RAB8B	95	5
RBM12	95	5
RDH14	95	5
SCCPDH	95	5
SDF2	95	5
SH3GL1	95	5
SMYD3	95	5
SNX30	95	5
TBC1D1	95	5
TDRD7	95	5
TMED1	95	5
TMEM165	95	5
TMEM173	95	5
TNS1	95	5
TRAT1	95	5
TUBB1	95	5
TXN	95	5
UNC119B	95	5
UNC93B1	95	5
VAMP8	95	5
ACAD9	85	15
ACADVL	85	15
ACOT9	85	15
ACTBL2	85	15
AGPS	85	15
ALDH3A2	85	15
ATP1B3	85	15
ATP6V1C1	85	15
C18orf8	85	15
CACUL1	85	15
CLINT1	85	15
CNIH4	85	15
CNN2	85	15
COMMD4	85	15
DLD	85	15
DYNLT1	85	15
EEF2	85	15
FUBP1	85	15
GOLGA4	85	15
MAP2K7	85	15
MCM7	85	15
MOV10	85	15
MYH10	85	15
PIGR	85	15
PRB3	85	15
SEC24C	85	15
SEC63	85	15
SKIV2L	85	15
SLC16A1	85	15
STIM1	85	15
TAGLN2	85	15
TAPBP	85	15
TMED9	85	15
UACA	85	15
UBR5	85	15
VARS	85	15
WRNIP1	85	15
ADRBK1	78	22
AP3D1	78	22
ARID3A	78	22
ATP6V1F	78	22
BASP1	78	22
BTG1	78	22
CLASP1	78	22
CROCC	78	22
DDX19B	78	22
DLST	78	22
DPY19L1	78	22
EEF1E1	78	22
EIF1B	78	22
GRB2	78	22
MGAT2	78	22
MKRN2	78	22
NIPSNAP1	78	22
NUMB	78	22
PIP5K1C	78	22
SAMHD1	78	22
SCFD1	78	22
SDF2L1	78	22
SNTB1	78	22
TIMM13	78	22
ZBED1	78	22
ADD3	16	84
ALG10B	16	84
ANKZF1	15	85
APOBEC3C	16	84
ARL14EP	16	84
ARPC5L	15	85
ATP5SL	16	84
CBX1	15	85
CCNH	16	84
CFAP20	15	85
CIC	16	84
CNOT10	16	84
IDUA	15	85
ILF2	15	85
KLRG1	15	85
LACTB	16	84
MED23	16	84
MICALL2	16	84
MS4A3	16	84
PARP9	15	85
PCID2	16	84
PKP3	15	85
POGLUT1	15	85
POLR1D	15	85
PRF1	15	85
PTBP1	16	84
RABL3	15	85
RBM4	16	84
RBMS1	16	84
RRBP1	16	84
SLC4A1AP	15	85
SUB1	16	84
TDRKH	15	85
TIA1	15	85
TIMM10	15	85
TRIM38	16	84
ALOX5AP	36	64
ATP6V0D2	36	64
CBFB	36	64
CCDC88C	36	64
CDKN2AIPNL	36	64
CELF2	36	64
CEP350	36	64
DDX3Y	36	64
FAAH	36	64
FAM98A	36	64
HAL	36	64
ISG20	36	64
KHNYN	36	64
LSM7	36	64
MTDH	36	64
MTMR1	36	64
NDUFA8	36	64
NDUFB10	36	64
PPIL4	36	64
RBM15B	36	64
RPL13A	36	64
RPL24	36	64
RPRD1A	36	64
RPS8	36	64
RRAS2	36	64
SOAT1	36	64
TRMT6	36	64
TRMT61A	36	64
ACOT11	76	24
APPL2	76	24
ARFGAP2	76	24
ASCC1	76	24
CD3G	76	24
CUL4B	76	24
CYB5R1	76	24
DCTN3	76	24
DOPEY2	76	24
EIF4A2	76	24
EPN1	76	24
EVPL	76	24
FKBP8	76	24
GNPNAT1	76	24
GP5	76	24
GPX4	76	24
GRAP2	76	24
IGHD	76	24
LGALS8	76	24
MLEC	76	24
PLEKHA2	76	24
PPP4C	76	24
SFXN4	76	24
SPCS1	76	24
SPCS2	76	24
TIAM1	76	24
TSNAX	76	24
UQCRQ	76	24
ACACA	51	49
COMMD8	51	49
DDB1	51	49
DNAJC19	51	49
FAM91A1	51	49
FNDC3A	51	49
GRAP	51	49
ITFG2	51	49
KRT77	51	49
MAGT1	51	49
NDUFV1	51	49
PIGK	51	49
PIP4K2B	51	49
PLS1	51	49
RNF114	51	49
RPL10A	51	49
RPLP1	51	49
ST13P5	51	49
TBCK	51	49
TPM4	51	49
ATPAF2	68	32
ATXN1	68	32
BLOC1S2	68	32
C2CD2L	68	32
CLN6	68	32
CTDSP1	68	32
CWF19L1	68	32
DNAJC3	68	32
DYNLRB1	68	32
EIF3G	68	32
EML3	68	32
FES	68	32
FLCN	68	32
GK	68	32
IGF2BP2	68	32
MTHFD1	68	32
NCLN	68	32
PF4V1	68	32
PLOD3	68	32
POLR3C	68	32
PRKAR2A	68	32
RANBP10	68	32
RNASE7	68	32
SACS	68	32
SNTB2	68	32
SORBS3	68	32
SPAST	68	32
TMUB1	68	32
TRIM26	68	32
ZNFX1	68	32
ACTR1B	75	25
ASPH	75	25
BET1L	75	25
CASC4	75	25
CISD1	75	25
DYNC1I2	75	25
EIF3A	75	25
EIF3L	75	25
EIF4G1	75	25
FAM107B	75	25
FLG	75	25
GADD45GIP1	75	25
GALNT2	75	25
INF2	75	25
IRS2	75	25
LSM1	75	25
MAEA	75	25
PDLIM1	75	25
PPP2R1A	75	25
PWP1	75	25
RBP4	75	25
RNF113A	75	25
RPL38	75	25
