Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
PPP2R2A	1	1	1	1	1	1	1	1	1	1	1		130	14	40	1	10	4		73	26	1		91	8	1		52	13	35		100	1	1	1		53	1	47		97	3		73	1	25		91	1	1	9
PPP5C	1	1	1	1	1	1	1	1	1	1	1		174	1	26	1	1	1		78	22	1		90	7	3		82	6	12		100	1	1	1		78	1	21		97	3		89	1	11		80	1	1	19
PRPS1	1	1	1	1	1	1	1	1	1	1	1		70	130	1	1	1	1		66	33	1		89	9	1		1	1	1		100	1	1	1		36	3	60		100	1		80	1	19		99	1	1	1
PSMD9	1	1	1	1	1	1	1	1	1	1	1		142	28	32	1	1	1		92	1	8		66	30	4		93	1	5		100	1	1	1		36	1	63		97	3		93	1	7		94	1	1	6
PSME2	1	1	1	1	1	1	1	1	1	1	1		102	78	14	6	1	1		60	40	1		80	19	1		81	9	11		100	1	1	1		40	4	56		97	3		86	1	14		79	1	1	21
PSPH	1	1	1	1	1	1	1	1	1	1	1		150	8	44	1	1	1		34	59	8		87	9	4		98	1	2		100	1	1	1		68	5	27		96	4		85	1	15		88	1	1	12
PTGES3	1	1	1	1	1	1	1	1	1	1	1		138	44	10	1	6	1		60	40	1		90	9	1		47	7	46		63	21	16	1		32	22	46		88	12		85	1	15		74	1	8	18
PYCRL	1	1	1	1	1	1	1	1	1	1	1		118	24	58	1	1	1		100	1	1		89	10	1		52	1	48		100	1	1	1		60	4	37		100	1		1	26	74		88	1	1	12
SAE1	1	1	1	1	1	1	1	1	1	1	1		134	58	8	1	1	1		69	31	1		84	14	1		39	17	44		100	1	1	1		25	10	65		100	1		68	1	32		77	1	1	23
SARS	1	1	1	1	1	8	20	62	54	38	18		160	16	16	8	1	1		68	32	1		89	9	1		61	17	22		100	1	1	1		53	12	35		97	3		92	1	7		81	1	1	19
SGTA	1	1	1	1	1	1	1	1	1	1	1		120	44	34	1	1	1		63	36	1		30	20	50		95	2	3		100	1	1	1		37	16	46		99	1		80	1	20		81	1	1	19
SH3GL1	1	1	1	1	1	1	1	1	1	1	1		130	30	42	1	1	1		64	36	1		82	10	8		72	28	1		100	1	1	1		50	11	39		95	5		66	1	34		85	1	1	15
SNX6	1	1	1	1	1	1	1	1	1	1	1		134	1	64	1	1	1		67	33	1		71	8	20		10	25	65		100	1	1	1		1	14	86		98	2		68	1	32		56	1	1	44
SPR	4	8	186	1	1	1	1	1	1	1	1		164	24	12	1	1	1		50	48	2		82	13	5		42	1	57		100	1	1	1		9	1	91		100	1		91	1	9		72	1	1	28
TBCB	1	1	1	1	1	1	1	1	1	1	1		152	14	34	1	1	1		84	8	8		92	6	1		52	2	46		100	1	1	1		47	10	44		100	1		87	1	13		94	1	1	6
THOP1	1	1	1	1	1	1	1	1	1	1	1		166	12	24	1	1	1		86	13	1		67	20	14		66	1	34		100	1	1	1		55	1	45		100	1		89	1	11		81	1	1	19
TOMM34	1	1	1	1	1	1	1	1	1	1	1		120	48	32	1	1	1		91	8	1		84	13	3		26	74	1		60	22	18	1		29	5	66		96	4		87	1	13		93	1	1	7
TUBB6	1	1	1	1	1	1	1	1	1	1	1		142	24	22	6	4	4		48	52	1		86	9	5		36	1	64		46	15	26	13		3	1	97		99	1		1	1	1		84	1	4	11
TWF1	1	1	1	1	1	1	1	1	1	1	1		162	6	32	1	1	1		100	1	1		84	15	1		44	6	51		100	1	1	1		1	1	100		81	19		73	2	25		91	2	1	7
TWF2	1	1	1	1	1	1	1	1	1	1	1		148	12	28	1	8	1		92	8	1		87	12	1		36	41	23		100	1	1	1		1	1	1		62	38		88	1	12		92	2	2	3
TXN	1	1	1	4	32	44	36	24	22	12	26		150	22	8	12	4	4		75	23	1		83	15	1		83	8	9		100	1	1	1		45	18	37		95	5		75	2	23		87	1	1	12
TXNDC17	6	66	34	8	14	26	16	10	8	6	6		174	1	26	1	1	1		97	3	1		90	9	1		42	4	53		100	1	1	1		34	7	59		100	1		77	1	23		94	1	1	6
