Gene	Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev
PSPC1	28	156	10	1	1	1
PSPH	150	8	44	1	1	1
PSTPIP1	8	1	22	102	68	1
PSTPIP2	18	1	32	70	74	8
PTBP1	10	28	98	50	8	6
PTBP3	14	134	28	6	1	16
PTCD1	1	58	1	1	54	88
PTCD2	1	1	1	1	66	134
PTCD3	1	24	1	4	52	120
PTGES2	1	38	1	6	106	50
PTGES3	138	44	10	1	6	1
PTGR2	180	20	1	1	1	1
PTGS1	1	1	1	84	92	24
PTGS2	1	82	14	28	32	44
PTK2B	124	26	38	8	4	1
PTMA	152	1	10	30	10	1
PTMS	106	14	58	12	10	1
PTPLAD1	1	22	4	76	82	12
PTPLB	1	1	18	68	112	1
PTPN1	8	52	20	12	68	40
PTPN6	64	28	68	26	8	6
PTPRA	1	1	8	88	84	20
PTPRC	1	1	26	120	40	16
PTRH2	1	12	12	12	74	92
PUM2	36	1	164	1	1	1
PURB	76	12	82	16	1	14
PUS7	140	22	38	1	1	1
PUSL1	1	14	1	1	54	132
PVR	1	1	1	140	60	1
PWP2	6	92	50	6	36	10
PXK	1	1	30	54	96	18
PYCR2	1	62	4	6	26	106
PYCRL	118	24	58	1	1	1
PYGB	154	36	10	1	1	1
QARS	124	16	44	16	1	1
QRSL1	1	28	1	1	86	86
RAB10	16	8	52	76	34	14
RAB11B	6	6	18	104	58	8
RAB11FIP5	1	1	48	50	90	12
RAB14	8	6	32	96	52	8
RAB15	6	18	12	38	92	34
RAB18	4	52	8	24	68	42
RAB1A	1	1	12	100	82	1
RAB1B	12	48	24	58	32	28
RAB21	1	18	14	44	80	44
RAB22A	20	16	60	46	46	12
RAB24	1	52	1	1	86	62
RAB2A	6	14	26	82	48	24
RAB31	22	4	48	68	52	4
RAB32	8	26	28	94	32	12
RAB33B	6	18	12	38	92	34
RAB34	1	1	32	106	56	8
RAB35	4	42	18	58	36	42
RAB39A	8	4	20	50	80	38
RAB3GAP1	30	14	28	40	72	18
RAB5A	10	4	30	88	48	20
RAB5C	4	6	26	102	54	8
RAB6A	6	8	14	82	78	12
RAB7A	4	18	16	76	58	28
RAB8A	8	28	10	34	90	30
RAB8B	12	30	28	38	64	26
RABGAP1	122	1	78	1	1	1
RABGGTA	146	54	1	1	1	1
RAC1	26	1	14	112	42	1
RAC2	22	14	18	88	48	10
RAD21	4	152	1	14	18	10
RAD23B	154	36	8	1	1	1
RAD50	8	128	26	6	6	26
RAE1	16	48	56	62	8	12
RALA	1	1	8	80	100	12
RALB	1	1	16	166	16	1
RALY	6	142	24	8	1	20
RANBP1	162	22	16	1	1	1
RANBP2	24	90	46	12	8	20
RANBP3	148	14	38	1	1	1
RANBP9	112	88	1	1	1	1
RANGAP1	36	100	20	14	6	24
RAP1A	1	4	6	96	94	1
RAP1GDS1	148	36	16	1	1	1
RAP2B	1	1	1	48	130	18
RAPH1	1	1	38	108	54	1
RARS	144	16	34	4	1	1
RARS2	1	54	1	12	56	78
RASA4	28	14	88	58	12	1
RASSF4	152	34	14	1	1	1
RAVER1	40	34	106	16	1	1
RBBP4	10	154	10	1	1	24
RBBP6	10	162	1	1	1	28
RBBP7	48	136	10	1	1	6
RBM10	30	72	76	16	1	6
RBM12	98	72	32	1	1	1
RBM14	6	128	22	14	22	6
RBM15	46	104	6	1	1	42
RBM17	52	64	76	6	1	1
RBM19	14	144	20	1	1	20
RBM25	34	106	46	12	1	1
RBM26	24	126	36	1	1	14
RBM27	12	182	1	1	1	6
RBM28	12	96	52	30	1	10
RBM33	20	96	86	1	1	1
RBM34	14	72	74	36	1	6
RBM39	8	130	20	16	4	24
RBM8A	46	96	58	1	1	1
RBMS1	50	1	130	22	1	1
RBMX2	12	1	88	58	42	1
RBMXL1	6	168	8	1	1	14
RBPJ	8	132	28	14	1	16
RCC1	8	108	38	30	4	10
RCC2	24	74	60	12	16	14
RCL1	30	78	80	6	1	6
RCN2	16	1	30	74	60	18
RDH11	1	6	28	48	84	34
RDH13	1	60	1	1	36	106
RDH14	6	94	1	1	60	40
RDX	24	4	20	110	36	6
REEP5	1	12	46	64	70	10
REL	64	110	26	1	1	1
RER1	8	20	46	94	32	1
REXO2	1	16	1	1	60	122
REXO4	32	60	50	52	1	6
RFC1	18	156	1	1	1	22
RFC2	22	128	14	1	1	36
RFC3	34	80	66	8	1	14
RFC4	30	86	56	28	1	1
RFTN1	1	1	1	136	56	4
RHOA	30	6	22	104	40	1
RHOG	6	1	8	150	32	1
RHOT1	1	26	1	6	42	124
RHOT2	1	52	1	6	28	114
RIC8A	68	48	84	1	1	1
RIF1	34	142	1	1	1	24
RIOK3	78	22	30	70	1	1
RIPK3	116	36	6	42	1	1
RNF149	1	1	16	116	62	6
RNF170	1	1	62	38	88	12
RNF20	36	154	1	1	1	10
RNF40	36	136	6	1	10	12
RNH1	134	40	22	1	1	1
RNMT	120	14	66	1	1	1
RNMTL1	1	54	1	1	56	90
RNPEP	92	92	18	1	1	1
RNPS1	26	142	14	1	1	14
ROCK2	76	14	20	48	44	1
RP2	1	1	8	138	54	1
RPAP3	60	1	96	44	1	1
RPE	172	10	18	1	1	1
RPF1	50	62	66	1	1	24
RPF2	4	146	18	8	14	10
RPL10	10	4	66	38	72	10
RPL10A	28	12	94	36	28	4
RPL11	14	48	64	30	22	22
RPL12	22	18	108	30	14	10
RPL13	26	16	92	36	28	6
RPL13A	10	12	72	48	48	8
RPL14	30	28	64	28	36	12
RPL15	26	6	108	36	24	1
RPL17	30	10	94	28	34	6
RPL18	30	46	72	28	14	10
RPL18A	14	20	66	38	50	12
RPL19	16	16	92	40	26	10
RPL23	24	28	96	28	12	12
RPL24	22	22	54	32	60	10
RPL26	18	14	80	52	30	6
RPL28	24	6	72	48	50	1
RPL29	6	6	50	56	76	6
RPL30	28	30	52	40	44	8
RPL32	38	24	70	40	22	6
RPL35	10	12	70	48	50	8
RPL4	20	16	74	48	42	4
RPL6	14	16	84	34	40	12
RPL7	18	22	64	34	48	12
RPL8	40	32	70	30	22	4
RPLP0	26	12	90	22	42	8
RPLP1	66	72	34	14	8	6
RPN1	1	18	20	44	92	26
RPN2	1	22	12	46	92	26
RPS10	40	26	60	26	42	6
RPS11	36	26	98	20	14	6
RPS14	48	20	92	8	24	8
RPS15	66	8	106	14	6	1
RPS16	26	32	78	26	26	12
RPS17	40	18	92	16	28	6
RPS18	20	8	96	28	40	8
RPS19	42	14	96	20	22	6
RPS20	44	8	100	22	24	1
RPS21	28	8	106	32	22	4
RPS23	26	10	72	32	60	1
RPS24	16	6	96	38	40	6
RPS28	44	44	50	18	28	16
RPS3	30	12	76	30	48	4
RPS3A	24	8	112	30	24	4
RPS4X	22	14	90	30	38	6
RPS5	24	6	100	30	34	4
RPS6	40	40	78	20	14	8
RPS7	30	14	94	22	34	8
RPS9	34	20	96	18	22	8
RRAS2	1	1	1	72	122	4
RRBP1	8	16	74	38	44	20
RRM1	112	58	32	1	1	1
RRP12	6	64	112	14	1	4
RRP15	18	76	24	22	1	60
RRP1B	12	116	40	30	1	1
RRP9	14	76	92	16	1	1
RRS1	12	150	22	6	1	10
RSBN1	28	86	70	16	1	1
RSF1	12	172	1	1	1	14
RSL1D1	1	130	26	24	1	16
RSU1	26	10	28	112	24	1
RTCB	32	26	78	28	32	6
RTN4	4	14	22	66	62	30
RUFY1	146	54	1	1	1	1
RUVBL1	46	102	16	16	10	8
RUVBL2	58	74	30	20	10	6
S100A10	120	1	14	50	18	1
S100A11	38	50	8	66	40	1
S100A4	64	22	10	46	50	10
SACM1L	1	6	32	54	86	20
SAE1	134	58	8	1	1	1
SAFB	14	68	68	32	1	18
SAMD9L	24	1	128	48	1	1
SAMHD1	50	18	52	8	52	16
SAMM50	1	28	1	8	72	92
SAP18	16	142	24	10	1	10
SARS	160	16	16	8	1	1
SARS2	1	56	1	1	44	96
SART1	24	128	24	10	1	14
SART3	94	78	28	1	1	1
SASH1	158	38	4	1	1	1
SBDS	78	1	120	1	1	1
SBF1	6	12	82	68	1	30
SCAMP1	1	1	32	100	60	6
SCAMP2	1	42	18	70	58	10
SCARB2	1	1	14	96	60	30
SCFD1	26	32	14	36	80	12
SCP2	8	1	90	44	46	14
SCPEP1	1	1	1	46	116	36
SCRIB	1	1	34	142	24	1
SCYL2	28	1	128	44	1	1
SDAD1	36	130	18	6	1	10
SDC4	1	1	22	90	88	1
SDCBP	1	1	28	112	46	16
SDF2L1	12	30	10	42	84	22
SDF4	1	1	14	90	96	1
SDHA	1	28	1	6	36	126
SDHB	1	8	1	8	64	120
SDHD	1	64	1	1	26	110
SEC11A	1	18	18	30	102	34
SEC11C	1	1	1	32	116	52
SEC13	74	72	36	1	1	18
SEC16A	56	66	78	1	1	1
SEC22B	1	34	24	64	54	20
SEC23A	8	1	106	46	34	6
SEC23B	10	4	50	50	84	1
SEC23IP	120	1	80	1	1	1
SEC24A	1	1	94	66	38	1
SEC24B	4	1	38	44	96	18
SEC24C	54	6	92	48	1	1
SEC31A	62	24	86	28	1	1
SEC61A1	1	38	36	74	36	16
SEC61B	1	1	100	40	58	1
SEC62	1	30	30	42	76	22
SEC63	1	12	12	46	104	24
SEL1L	1	26	24	64	68	18
SEMA4A	1	1	1	94	68	38
SENP3	28	72	78	1	1	20
SERBP1	42	1	128	12	16	1
SERHL	1	1	36	28	96	36
SF1	28	104	32	16	1	16
SF3A1	18	128	16	16	1	22
SF3A2	68	92	1	1	1	40
SF3A3	18	154	12	4	1	12
SF3B1	26	142	14	10	1	6
SF3B2	22	108	26	22	1	22
SF3B3	20	152	14	1	1	10
SF3B4	62	108	10	8	6	4
SFN	50	22	24	82	10	10
SFPQ	10	140	26	12	1	10
SFXN1	1	34	1	1	14	150
SFXN3	1	32	1	1	24	142
SGPL1	1	8	8	58	108	16
SGTA	120	44	34	1	1	1
SH3BGRL	144	44	12	1	1	1
SH3BGRL3	114	34	52	1	1	1
SH3GL1	130	30	42	1	1	1
SH3PXD2B	18	1	76	84	20	1
SHMT2	1	16	1	1	32	148
SIGLEC1	1	1	6	138	56	1
SIN3A	30	138	1	1	14	14
SIPA1	24	1	34	140	1	1
SIRT2	124	16	60	1	1	1
SIRT7	16	184	1	1	1	1
SKIV2L	18	52	50	54	1	28
SKIV2L2	44	122	10	12	1	10
SKP1	46	90	8	8	34	14
SLC12A4	1	1	18	98	62	18
SLC12A7	1	1	8	82	92	20
SLC12A9	1	1	28	136	34	1
SLC15A4	1	1	1	128	72	1
SLC16A1	1	1	14	150	36	1
SLC16A3	1	1	10	120	66	1
SLC1A5	1	1	4	144	50	4
SLC25A1	1	34	1	8	38	120
SLC25A10	1	36	1	1	46	118
SLC25A11	1	12	1	16	60	112
SLC25A12	1	36	1	4	32	126
SLC25A13	1	80	1	4	18	98
SLC25A22	1	28	1	1	46	126
SLC25A24	1	24	1	18	64	92
SLC25A25	1	28	1	1	48	124
SLC25A3	1	24	1	10	34	132
SLC25A4	1	22	1	12	38	128
SLC25A5	1	14	1	4	34	146
SLC29A1	1	1	14	166	18	1
SLC2A1	1	1	4	84	88	24
SLC2A6	1	1	10	116	60	14
SLC30A7	22	8	68	48	46	6
SLC35B1	1	1	56	56	88	1
SLC37A2	1	24	18	84	60	14
SLC38A2	1	1	20	122	58	1
SLC39A14	1	1	1	162	38	1
SLC39A7	1	30	46	50	54	20
SLC3A2	1	1	6	120	64	8
SLC44A1	1	1	34	128	38	1
SLC4A7	1	1	10	136	50	4
SLC6A12	1	6	1	114	74	4
SLC7A6	1	1	8	86	92	14
SLC9A3R1	80	1	36	50	34	1
SLC9A6	1	1	18	82	78	20
SLCO4A1	1	42	10	46	46	54
SLFN5	26	110	40	10	10	4
SLK	136	40	26	1	1	1
SLTM	24	120	30	20	1	6
SMAD3	104	66	30	1	1	1
SMARCA4	12	160	4	1	8	16
SMARCA5	10	150	26	1	1	8
SMARCAL1	78	1	98	24	1	1
SMARCB1	10	160	1	1	1	28
SMARCC1	8	150	1	1	1	42
SMARCC2	18	138	12	1	1	32
SMARCE1	12	162	1	1	1	26
SMC1A	10	104	1	1	60	20
SMC2	40	42	82	8	18	10
SMC3	8	146	24	1	10	10
SMC4	20	62	56	30	4	28
SMCHD1	4	164	1	1	1	32
SMNDC1	90	70	40	1	1	1
SMPDL3B	1	1	6	116	72	1
SMU1	10	160	12	4	1	16
SNAP23	1	1	16	134	44	4
SND1	10	8	86	46	40	10
SNRNP40	10	138	20	6	1	26
SNRNP70	28	74	80	12	1	6
SNRPA	52	8	108	30	1	1
SNRPA1	28	112	22	10	20	8
SNRPB	34	148	10	8	1	1
SNRPB2	30	84	48	28	1	10
SNRPD1	8	30	90	26	44	1
SNRPD2	26	92	54	12	1	16
SNRPD3	26	154	14	6	1	1
SNRPE	36	146	10	4	1	1
SNRPF	4	34	136	24	1	1
SNW1	32	150	8	4	1	6
SNX1	86	90	20	4	1	1
SNX17	14	1	18	70	80	18
SNX2	116	18	68	1	1	1
SNX22	6	20	22	42	90	22
SNX27	8	1	74	106	10	1
SNX3	56	6	74	34	30	1
SNX4	78	12	38	72	1	1
SNX5	164	22	14	1	1	1
SNX6	134	1	64	1	1	1
SNX9	68	30	40	32	16	14
SOAT1	1	36	1	40	52	70
SOD1	140	26	18	12	1	1
SOD2	1	22	1	1	40	136
SON	6	162	4	1	8	18
SP140	24	158	1	1	1	18
SPAG9	108	62	28	1	1	1
SPATA5	44	50	60	16	6	22
SPCS1	1	38	1	42	58	62
SPCS2	1	20	12	28	104	36
SPECC1	16	1	30	104	50	1
SPHK2	76	28	1	62	34	1
SPP1	16	6	14	70	88	8
SPR	164	24	12	1	1	1
SQRDL	1	46	1	6	42	106
SQSTM1	60	10	32	20	58	22
SRGAP2	32	14	14	106	30	6
SRI	138	28	34	1	1	1
SRM	154	20	12	4	1	12
SRP68	20	26	94	44	14	4
SRP72	28	12	102	46	8	1
SRPK1	72	16	92	20	1	1
SRPR	4	28	56	48	42	22
SRPRB	1	6	30	56	80	26
SRRM1	20	130	38	4	1	10
SRRM2	8	168	1	10	1	12
SRSF10	18	152	22	6	1	1
SRSF4	50	1	130	20	1	1
SRSF7	24	66	96	10	1	6
SRSF9	26	100	44	24	1	6
SSB	56	68	56	16	1	1
SSBP1	1	36	1	1	82	82
SSR1	1	14	6	34	114	30
SSR3	1	42	20	22	64	50
SSR4	1	20	22	50	90	16
SSRP1	4	56	100	30	1	6
ST13	156	30	6	1	6	1
STAT1	92	86	10	6	6	1
STAT2	112	70	18	1	1	1
STAT3	154	46	1	1	1	1
STAU1	36	1	98	66	1	1
STAU2	1	1	156	44	1	1
STIM1	1	14	62	70	34	20
STIM2	1	1	50	78	52	20
STIP1	140	48	10	1	1	1
STK10	14	1	24	126	34	1
STK24	26	14	38	112	8	1
STK4	150	1	50	1	1	1
STOM	1	14	14	124	34	14
STOML2	1	26	1	6	24	142
STRAP	112	28	34	18	6	1
STRN3	86	26	42	40	4	1
STT3A	1	4	6	52	120	20
STT3B	1	22	48	54	52	22
STUB1	32	1	28	114	26	1
STX12	1	1	18	76	104	4
STX18	14	32	18	22	98	18
STX2	1	1	1	158	42	1
STX4	1	1	24	114	54	6
STX6	1	1	52	110	32	6
STX7	1	18	18	82	60	20
STX8	1	1	12	104	84	1
SUB1	12	1	144	6	26	12
SUCLA2	1	40	1	6	16	136
SUCLG1	8	34	1	10	38	110
SUCLG2	1	22	1	6	38	132
SUGT1	160	20	20	1	1	1
SUMO1	54	134	8	1	1	1
SUN1	8	92	1	1	70	30
SUN2	22	76	1	4	62	38
SUPT16H	1	76	62	20	26	14
SUPT6H	34	138	4	1	1	26
SUPV3L1	1	84	1	1	14	102
SURF1	1	18	1	1	70	112
SURF4	1	1	60	100	38	4
SURF6	16	114	46	14	1	10
SWAP70	40	10	24	68	60	1
SYK	48	32	30	46	34	10
SYNCRIP	38	20	98	18	22	4
SYNE1	66	66	1	1	1	68
SYNGR1	1	1	16	78	86	18
SYNJ1	60	1	78	64	1	1
SYNJ2BP	1	18	1	1	92	92
SYVN1	1	1	6	32	130	32
TACO1	1	48	1	1	56	98
TAGLN2	126	28	10	24	12	1
TALDO1	170	18	12	1	1	1
TAOK3	1	1	24	126	48	1
TAP1	1	1	4	38	100	56
TAP2	1	6	26	24	108	34
TAPBP	8	24	16	68	70	16
TARDBP	12	92	46	12	22	16
TARS	106	1	72	10	10	1
TARS2	1	40	1	1	52	108
TBC1D23	114	30	56	1	1	1
TBC1D8B	42	38	100	20	1	1
TBCB	152	14	34	1	1	1
TBCD	156	38	6	1	1	1
TBL1XR1	34	118	1	1	1	48
TBL2	1	14	16	48	50	72
TBL3	1	174	6	4	1	14
TBRG4	1	22	1	1	76	100
TCEA1	124	32	34	6	4	1
TCEB2	48	130	8	1	1	14
TCEB3	54	146	1	1	1	1
TCERG1	10	156	14	4	4	12
TCIRG1	1	1	4	108	78	6
TCOF1	14	138	38	1	1	6
TCP1	114	14	52	10	8	1
TES	182	1	18	1	1	1
TEX10	40	110	50	1	1	1
TFB1M	1	52	1	1	68	80
TFG	142	6	50	1	1	1
TFRC	1	1	10	108	78	4
TGFB1	1	8	14	60	76	42
THOC1	4	106	66	18	1	4
THOC3	40	102	58	1	1	1
THOC6	12	106	50	20	1	14
THOP1	166	12	24	1	1	1
THRAP3	24	74	62	34	1	4
TIAL1	94	62	34	12	1	1
TIMM17B	1	62	1	1	36	100
TIMM23	1	70	1	1	20	110
TIMM44	1	34	1	8	38	116
TIMM50	1	34	1	1	38	124
TIPRL	90	72	40	1	1	1
TJP2	68	1	42	90	1	1
TKT	132	22	20	22	1	4
TLN1	80	6	18	68	24	4
TLN2	18	1	38	36	100	8
TLR2	1	1	62	96	34	8
TLR7	1	1	6	90	54	50
TM9SF1	1	1	28	72	86	12
TM9SF2	6	12	10	102	66	6
TM9SF3	1	42	12	56	50	42
TM9SF4	1	36	12	60	68	22
TMCO1	1	12	4	20	132	28
TMED10	6	6	18	52	102	16
TMED4	1	8	54	90	40	8
TMED7	1	12	14	46	120	6
TMED9	1	28	26	60	72	14
TMEM106A	1	1	8	148	44	1
TMEM106B	1	1	1	146	54	1
TMEM109	10	28	6	78	64	14
TMEM11	1	76	1	1	4	118
TMEM126A	1	72	1	44	56	28
TMEM165	4	1	20	52	98	28
TMEM173	1	50	20	54	48	28
TMEM176B	1	44	32	54	36	32
TMEM33	1	12	10	26	124	26
TMEM38B	1	20	8	64	96	12
TMEM43	1	30	1	10	128	28
TMEM55A	1	1	28	82	78	14
TMLHE	1	44	1	1	28	128
TMOD3	144	22	34	1	1	1
TMPO	4	168	1	1	1	28
TMX1	1	42	16	58	68	16
TNF	1	1	58	100	42	1
TNFAIP2	58	88	38	10	8	1
TNIP1	70	86	46	1	1	1
TNPO1	140	46	14	1	1	1
TNPO3	124	64	10	1	1	1
TOLLIP	86	18	48	34	14	1
TOMM22	6	46	1	1	34	114
TOMM34	120	48	32	1	1	1
TOMM40	1	24	1	4	62	108
TOMM70A	1	78	1	1	14	108
TOP1	4	142	38	1	1	14
TOP2A	8	116	12	4	48	12
TOP2B	6	182	1	1	4	6
TOP3B	1	1	72	66	50	10
TOR1AIP1	14	70	88	1	4	22
TOR1AIP2	1	1	22	54	76	48
TOR3A	12	26	14	22	82	42
TP53BP1	42	114	40	1	1	4
TPCN1	1	1	16	76	40	66
TPD52	138	42	20	1	1	1
TPD52L2	92	52	56	1	1	1
TPI1	160	28	8	1	1	1
TPM1	110	12	18	60	1	1
TPM3	150	12	40	1	1	1
TPM4	138	52	6	1	1	1
TPP2	96	14	78	10	1	1
TPR	32	162	1	1	1	6
TPRKB	170	30	1	1	1	1
TPT1	146	14	38	1	1	1
TRA2A	24	140	18	10	1	8
TRABD	1	1	1	1	58	142
TRAM1	1	62	1	36	64	34
TRAP1	16	14	1	1	34	130
TRAPPC4	42	6	102	42	8	1
TRIM23	98	12	90	1	1	1
TRIM25	30	16	100	42	12	1
TRIM28	38	140	14	1	1	6
TRIP12	24	12	50	10	80	24
TRMT1	68	130	1	1	1	1
TRNT1	96	22	1	1	24	58
TRRAP	48	106	1	1	1	48
TSEN34	156	40	4	1	1	1
TSFM	1	64	1	8	32	94
TSPAN31	8	1	36	112	42	1
TSR1	56	72	60	10	1	1
TTLL12	156	32	14	1	1	1
TTN	1	96	78	22	1	4
TUBA4A	116	34	14	1	18	16
TUBB4A	108	44	6	10	8	22
TUBB4B	154	18	12	6	10	1
TUBB6	142	24	22	6	4	4
TUBG2	1	1	86	86	20	1
TUFM	1	16	1	4	24	154
TWF1	162	6	32	1	1	1
TWF2	148	12	28	1	8	1
TXLNA	14	1	126	58	1	1
TXN	150	22	8	12	4	4
TXN2	1	12	1	1	132	56
TXNDC17	174	1	26	1	1	1
TXNDC5	16	4	12	40	108	20
TXNIP	1	1	18	94	86	4
TXNL1	116	62	18	1	1	1
TXNRD1	164	10	26	1	1	1
TXNRD2	1	20	1	1	96	84
TYK2	1	1	12	72	116	1
U2AF1	32	88	64	6	1	10
U2AF2	54	66	50	8	1	24
UAP1L1	164	6	28	1	1	1
UBA6	154	16	30	1	1	1
UBAP2	50	4	124	24	1	1
UBAP2L	30	4	104	28	32	1
UBE2K	150	16	24	12	1	1
UBE2M	110	30	32	26	1	1
UBE2N	162	8	24	1	1	1
UBQLN2	140	1	60	1	1	1
UBR2	150	36	14	1	1	1
UBR4	132	4	60	4	1	1
UBTF	16	90	74	8	1	12
UBXN4	4	6	36	42	94	16
UCHL3	146	32	22	1	1	1
UFD1L	106	34	30	1	1	28
UFM1	58	50	12	6	14	58
UGP2	152	48	1	1	1	1
UMPS	102	48	50	1	1	1
UNC93B1	1	8	46	88	44	14
UPF1	44	8	110	28	10	1
UPF2	32	104	64	1	1	1
UQCRC1	1	24	1	4	44	130
UQCRFS1	1	76	1	1	12	110
USO1	128	14	50	8	1	1
USP10	30	8	124	38	1	1
USP14	126	30	26	10	4	4
USP15	128	44	28	1	1	1
USP39	8	148	14	6	1	24
USP4	106	52	42	1	1	1
USP47	92	4	104	1	1	1
USP5	132	22	28	10	6	1
USP7	104	80	6	6	1	4
USP8	90	26	22	44	1	18
USP9X	54	16	12	1	1	118
UTP11L	22	58	118	1	1	1
UTP14A	6	120	34	26	1	16
UTP15	16	92	78	10	1	4
UTP18	8	142	16	20	1	16
UTP20	36	134	10	4	10	6
VAC14	42	4	110	36	8	1
VAMP3	1	18	18	62	86	16
VAMP4	1	1	34	76	78	12
VAMP7	1	1	16	138	44	1
VAPA	1	10	38	72	74	4
VAPB	4	1	20	52	118	4
VARS	112	20	38	28	1	1
VARS2	1	48	1	1	72	80
VASP	8	1	48	110	30	1
VAT1	38	16	34	40	22	50
VAV1	114	30	50	1	1	6
VCL	118	44	30	6	4	1
VCP	92	46	22	18	18	1
VDAC1	1	24	1	6	42	126
VDAC2	1	26	1	8	16	148
VDAC3	1	26	4	14	42	114
VIM	120	36	22	12	4	6
VKORC1	1	66	1	1	88	46
VPS11	1	1	56	94	50	1
VPS13A	1	52	1	1	92	56
VPS13C	56	30	58	50	4	1
VPS16	8	1	34	74	82	1
VPS18	8	6	62	108	14	4
VPS26A	24	46	48	72	6	4
VPS26B	34	1	114	52	1	1
VPS29	38	8	80	28	46	1
VPS35	14	6	50	32	80	22
VPS36	76	34	50	40	1	1
VPS39	1	1	80	76	38	6
VPS4B	132	50	18	1	1	1
VRK1	6	112	34	12	6	30
VRK2	4	74	16	18	26	62
VTI1B	1	1	48	142	8	1
VWA5A	128	40	16	10	4	1
WAPAL	26	162	4	1	1	4
WARS	144	40	18	1	1	1
WAS	16	8	68	84	18	4
WASF2	6	6	42	130	14	1
WBP11	32	110	36	16	1	8
WBSCR16	1	16	1	1	22	162
WDFY4	116	1	70	14	1	1
WDR1	82	56	4	40	16	1
WDR12	50	72	64	1	1	14
WDR18	22	164	1	1	1	12
WDR3	12	160	16	6	1	6
WDR33	18	82	6	1	82	12
WDR36	16	102	62	14	1	6
WDR43	8	120	22	26	1	22
WDR46	1	60	56	24	44	14
WDR5	40	72	62	1	1	24
WDR61	72	82	46	1	1	1
WDR75	16	74	80	12	4	16
WDR77	126	12	58	4	1	1
WDR81	134	6	40	20	1	1
WDR89	40	20	86	30	18	6
WHSC1	30	124	1	1	1	46
WIZ	18	176	1	1	1	6
WWP2	1	1	40	96	62	1
XAB2	38	122	18	10	1	14
XPNPEP1	124	44	18	1	1	14
XPNPEP3	1	40	1	8	34	118
XPO1	124	56	20	1	1	1
XPOT	118	62	20	1	1	1
XRCC1	72	102	1	1	1	26
XRN1	40	1	126	32	1	1
XRN2	10	134	20	12	1	22
YARS	82	10	64	26	16	1
YARS2	1	52	1	1	56	94
YBX1	22	6	108	30	24	10
YIF1A	12	1	96	92	1	1
YIPF3	1	42	34	54	28	42
YIPF4	1	1	40	62	84	14
YIPF5	1	56	52	58	16	18
YKT6	104	30	18	24	24	1
YLPM1	10	64	84	42	1	1
YME1L1	1	50	1	1	52	94
YTHDC2	30	1	100	70	1	1
YTHDF1	6	46	52	34	20	42
YTHDF2	52	1	114	34	1	1
YTHDF3	40	16	134	6	4	1
YWHAB	142	12	46	1	1	1
YWHAE	142	10	22	14	4	6
YWHAG	134	8	26	18	10	4
YWHAH	146	22	22	4	6	1
YWHAQ	152	10	30	8	1	1
YWHAZ	136	26	20	14	4	1
ZADH2	1	6	36	58	86	12
ZC3H11A	14	140	40	1	1	6
ZC3H13	12	48	1	96	44	1
ZC3H14	44	136	1	1	1	20
ZC3H15	56	10	98	34	1	1
ZC3HAV1	38	26	62	42	26	4
ZCCHC6	86	44	70	1	1	1
ZDHHC20	1	1	16	144	38	1
ZEB2	6	148	1	6	16	22
ZFP36	40	56	40	24	1	40
ZFR	14	128	40	1	1	18
ZMPSTE24	1	6	16	52	94	32
ZNF598	4	10	108	66	6	6
ZRANB2	96	64	40	1	1	1
