Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
BZW1	52	1	47
BZW2	74	2	23
C10orf32	1	1	100
C10orf76	100	1	1
C11orf54	87	1	13
C11orf68	80	1	20
C11orf73	86	1	13
C11orf83	1	1	100
C12orf10	76	1	22
C12orf29	100	1	1
C12orf43	1	100	1
C12orf57	100	1	1
C14orf1	1	8	92
C14orf119	1	1	100
C14orf166	47	33	21
C16orf13	100	1	1
C17orf85	1	100	1
C18orf8	50	1	50
C19orf10	25	3	71
C19orf12	69	1	31
C19orf43	7	30	63
C19orf52	1	1	100
C1orf122	76	1	24
C1orf123	85	1	15
C1orf131	1	100	1
C1orf174	1	100	1
C1orf50	84	1	16
C1orf52	1	1	100
C1QBP	13	16	71
C1QTNF6	1	1	100
C20orf26	76	1	24
C20orf27	90	1	10
C20orf85	100	1	1
C21orf33	1	1	100
C21orf59	59	1	41
C2CD2	1	1	100
C2orf43	1	1	100
C2orf47	1	1	100
C2orf69	100	1	1
C3	100	1	1
C3orf17	1	100	1
C4orf27	1	1	100
C4orf29	50	50	1
C5orf24	1	100	1
C5orf51	79	1	21
C6orf211	100	1	1
C7orf50	4	80	16
C7orf55	1	1	100
C8orf33	1	100	1
C8orf59	1	100	1
C9orf114	1	100	1
C9orf142	49	22	29
C9orf40	1	1	100
C9orf64	66	1	34
C9orf78	1	1	100
C9orf89	1	1	100
CA1	1	1	100
CA2	1	1	100
CAAP1	1	100	1
CAB39	85	1	15
CACYBP	86	1	13
CAD	81	1	19
CADPS	95	1	5
CALD1	75	1	25
CALM1	67	3	30
CALML3	100	1	1
CALML5	100	1	1
CALR	11	5	84
CALU	1	2	98
CAMK2G	76	6	18
CAND1	77	1	22
CANT1	1	1	100
CANX	4	14	83
CAP1	88	1	11
CAP2	90	1	10
CAPG	82	1	18
CAPN1	89	1	11
CAPN7	100	1	1
CAPNS1	87	1	13
CAPRIN1	85	4	11
CAPZA1	76	3	21
CAPZA2	78	3	19
CAPZB	74	5	20
CARD14	66	1	34
CARHSP1	89	1	11
CARM1	82	1	18
CARS2	1	1	100
CASC5	1	1	100
CASK	60	1	40
CASP14	100	1	1
CASP2	100	1	1
CASP3	84	1	16
CASP7	82	1	18
CASP8	89	1	11
CAST	100	1	1
CAT	11	6	83
CAV1	1	60	40
CAV2	1	100	1
CBFB	80	1	20
CBL	18	1	82
CBR1	83	1	15
CBR3	99	1	1
CBR4	1	17	83
CBS	89	1	11
CBWD1	100	1	1
CBX1	1	100	1
CBX3	16	59	25
CBX5	1	100	1
CBX8	1	100	1
CC2D1A	81	2	17
CC2D1B	100	1	1
CCAR1	1	91	9
CCAR2	1	62	37
CCBL1	100	1	1
CCBL2	73	13	14
CCDC102A	1	1	100
CCDC116	1	1	100
CCDC12	40	60	1
CCDC124	67	1	33
CCDC127	1	1	100
CCDC132	96	1	4
CCDC137	1	100	1
CCDC144A	1	100	1
CCDC18	100	1	1
CCDC22	97	1	3
CCDC25	1	100	1
CCDC43	79	1	21
CCDC47	1	9	91
CCDC50	74	1	26
CCDC51	1	4	96
CCDC57	100	1	1
CCDC58	1	1	100
CCDC59	1	100	1
CCDC6	72	1	28
CCDC73	1	100	1
CCDC86	1	100	1
CCDC88A	78	1	22
CCDC93	100	1	1
CCNB1	65	2	33
CCNB2	1	100	1
CCNDBP1	89	1	11
CCNH	1	1	100
CCNK	1	100	1
CCNL1	1	100	1
CCNT1	1	100	1
CCPG1	1	100	1
