Gene	Cyt Thakar	Nucl Thakar	TOT Thakar
MID1	95	1	5
MID1IP1	1	100	1
MIEN1	97	1	3
MIER1	1	100	1
MIF	80	3	17
MIF4GD	63	1	37
MINA	1	72	28
MINK1	100	1	1
MINPP1	1	1	100
MIOS	80	1	20
MIPEP	1	1	100
MIS18A	1	100	1
MISP	1	99	1
MITD1	1	100	1
MKI67	1	100	1
MKKS	1	1	100
MKL1	100	1	1
MKRN2	1	100	1
MLEC	1	7	93
MLF2	1	100	1
MLH1	36	1	64
MLKL	83	1	17
MLLT1	1	100	1
MLLT4	54	1	46
MMAB	1	1	99
MMACHC	1	1	100
MME	1	23	77
MMGT1	1	9	91
MMP11	1	1	100
MMP15	50	50	1
MMS19	85	1	15
MMTAG2	1	100	1
MNAT1	69	1	31
MNT	1	100	1
MOB1A	76	1	24
MOB2	85	1	15
MOCOS	91	1	9
MOCS2	84	1	16
MOCS2	84	1	16
MOCS3	75	1	25
MOGS	1	11	89
MON1A	50	50	1
MON2	91	1	9
MORF4L1	1	89	11
MORF4L2	1	89	11
MOSPD1	1	1	100
MOSPD2	1	1	100
MOV10	80	11	10
MPC2	1	1	100
MPG	12	76	12
MPHOSPH10	1	100	1
MPHOSPH6	1	100	1
MPHOSPH8	1	100	1
MPI	97	1	3
MPP1	37	1	63
MPP5	43	37	20
MPRIP	1	100	1
MPST	80	1	20
MPV17	100	1	1
MPV17L2	1	28	72
MPZL1	1	1	100
MRE11A	69	18	12
MRFAP1	49	1	51
MRGBP	1	92	8
MRI1	81	1	19
MRM1	1	50	50
MRPL1	1	5	95
MRPL10	1	74	26
MRPL11	1	54	46
MRPL12	100	1	1
MRPL13	1	42	58
MRPL14	1	22	78
MRPL15	1	9	91
MRPL16	1	16	84
MRPL17	1	42	58
MRPL18	1	1	100
MRPL19	1	60	40
MRPL2	1	75	25
MRPL20	1	27	73
MRPL21	1	2	98
MRPL22	1	43	57
MRPL23	1	35	65
MRPL24	1	1	100
MRPL27	1	1	100
MRPL28	1	26	74
MRPL3	1	100	1
MRPL33	1	1	100
MRPL37	1	5	95
MRPL38	1	2	98
MRPL39	1	32	68
MRPL4	1	21	79
MRPL40	1	7	92
MRPL41	1	10	90
MRPL42	1	1	100
MRPL43	1	84	16
MRPL44	1	14	86
MRPL45	1	27	73
MRPL46	1	35	65
MRPL47	1	1	100
MRPL48	1	27	73
MRPL49	1	26	74
MRPL50	1	2	98
MRPL51	50	50	1
MRPL52	50	50	1
MRPL53	1	57	43
MRPL54	1	1	100
MRPL55	1	1	100
MRPL57	1	1	100
MRPL9	1	40	60
MRPS10	1	24	76
MRPS11	1	9	91
MRPS14	1	2	98
MRPS15	1	15	85
MRPS16	1	64	36
MRPS17	1	27	73
MRPS18A	100	1	1
MRPS18B	1	72	28
MRPS18C	1	100	1
MRPS2	1	94	6
MRPS21	100	1	1
MRPS22	1	31	69
MRPS23	1	48	52
MRPS24	1	1	100
MRPS25	1	29	71
MRPS26	1	7	93
MRPS27	1	36	64
MRPS28	1	57	43
MRPS30	1	1	100
MRPS31	1	68	32
MRPS33	1	8	92
MRPS34	1	44	56
MRPS35	1	1	100
MRPS36	1	1	100
MRPS5	1	28	72
MRPS6	1	29	71
MRPS7	1	42	58
MRPS9	1	37	63
MRRF	1	19	81
MRS2	1	100	1
MRTO4	1	100	1
MSH2	39	6	56
MSH3	10	1	90
MSH6	52	1	47
MSI2	1	45	55
MSN	81	2	17
MSRB3	100	1	1
MST4	72	1	28
MSTO1	99	1	1
MTA1	1	100	1
MTA2	1	85	15
MTA3	27	73	1
MTAP	82	1	17
MT-ATP6	10	14	76
MT-ATP8	50	50	1
MTCH2	1	7	93
MTCL1	13	1	87
MT-CO1	50	50	1
MT-CO2	2	48	50
MTDH	1	17	83
MTF2	1	100	1
MTHFD1	83	1	17
MTHFD1L	1	1	100
MTHFD2	1	3	97
MTHFS	65	1	35
MTIF2	1	13	87
MTM1	1	1	100
MTMR12	100	1	1
MTMR14	90	1	10
MTMR2	100	1	1
MTMR6	100	1	1
MTMR9	100	1	1
MT-ND1	50	50	1
MTO1	1	1	100
MTPAP	1	92	8
MTPN	72	2	26
MTR	74	1	26
MTRR	90	1	10
MTX1	1	1	100
MTX2	1	10	90
MUS81	1	100	1
MVB12A	1	10	90
MVD	78	1	22
MVK	90	1	10
MVP	49	9	42
MYBBP1A	1	93	6
MYCBP	83	1	17
MYCBP2	86	1	14
MYH10	71	15	13
MYH11	100	1	1
MYH4	1	100	1
MYH7	1	100	1
MYH9	84	2	15
MYL12B	69	14	16
MYL6	76	5	19
MYL6B	1	1	100
MYO10	100	1	1
MYO18A	1	100	1
MYO1B	63	17	20
MYO1C	66	21	14
MYO1E	77	6	17
MYO5A	97	1	3
MYO5C	98	2	1
MYO6	86	7	8
MYO9B	1	1	100
MYOF	5	1	95
MYPN	100	1	1
MYSM1	100	1	1
N6AMT1	100	1	1
NABP1	1	100	1
NACA	71	1	28
NACA	71	1	28
NACAP1	1	1	100
NACC1	1	1	100
NADK2	1	1	100
NADSYN1	100	1	1
NAE1	87	1	13
NAF1	1	1	100
NAGK	83	1	17
NAMPT	89	1	11
NANP	100	1	1
NANS	76	1	24
NAP1L1	85	1	15
NAP1L4	82	2	17
NAPA	29	7	65
NAPG	1	1	100
NARS	89	1	10
NARS2	1	1	100
NASP	73	2	25
NAT10	1	100	1
NAV1	74	1	26
NBEAL2	100	1	1
NBN	1	88	12
NBPF7	1	1	100
NBR1	1	100	1
NCAPD2	86	1	13
NCAPD3	1	1	100
NCAPG	92	1	8
NCAPH	85	1	15
NCBP1	37	31	33
NCBP2	24	74	2
NCCRP1	100	1	1
NCDN	97	1	3
NCK1	54	1	46
NCKAP1	87	1	13
NCKIPSD	95	1	5
NCL	15	57	28
NCLN	1	1	99
NCOA4	1	100	1
NCOA5	1	100	1
NCOR1	1	1	100
NCSTN	5	8	88
NDC1	1	100	1
NDC80	100	1	1
NDEL1	71	1	29
NDFIP1	1	26	74
NDFIP2	100	1	1
NDNL2	1	100	1
NDRG1	1	100	1
NDRG3	4	1	96
NDUFA10	1	34	66
NDUFA11	1	5	95
NDUFA12	1	1	100
NDUFA13	1	14	86
NDUFA2	1	92	8
NDUFA4	1	14	85
NDUFA5	3	18	79
NDUFA6	1	1	100
NDUFA7	1	1	100
NDUFA8	1	30	70
NDUFA9	1	30	70
NDUFAB1	1	1	100
NDUFAF1	1	1	100
NDUFAF2	1	1	100
NDUFAF7	1	1	100
NDUFB1	1	60	40
NDUFB10	1	11	89
NDUFB11	1	1	100
NDUFB3	1	1	100
NDUFB4	1	11	89
NDUFB5	1	18	82
NDUFB6	1	10	90
NDUFB7	1	1	100
NDUFB8	1	1	100
NDUFB9	1	7	93
NDUFC2	1	1	100
NDUFS1	1	22	78
NDUFS2	1	28	72
NDUFS3	1	9	91
NDUFS5	1	1	100
NDUFS6	1	1	100
NDUFS7	1	29	71
NDUFS8	1	25	75
NDUFV1	1	51	49
NDUFV2	1	42	58
NDUFV3	1	8	92
NEBL	1	1	100
NECAP1	30	1	70
NEDD4	89	1	11
NEDD8	85	1	15
NEK6	100	1	1
NEK7	50	50	1
NEK9	93	1	7
NELFA	1	1	100
NELFB	44	1	56
NELFCD	60	9	31
NELFE	50	50	1
NENF	1	4	96
NES	1	100	1
NEURL4	100	1	1
NEXN	1	100	1
NF1	86	1	14
NF2	1	100	1
NFIA	1	100	1
NFIB	1	100	1
NFIC	1	100	1
NFKB1	91	1	9
NFKB2	82	1	18
NFS1	1	1	100
NFU1	1	1	100
NFYB	1	100	1
NFYC	58	42	1
NGDN	1	100	1
NHLRC2	95	1	5
NHP2	1	99	1
NHP2L1	15	82	3
NIF3L1	69	1	31
NIFK	1	97	3
NIP7	1	100	1
NIPBL	1	99	1
NIPSNAP1	1	81	19
NIPSNAP3A	50	50	1
NIT1	86	1	14
NIT2	78	1	22
NKIRAS1	85	1	15
NKIRAS2	88	1	12
NLE1	75	13	12
NLN	83	1	17
NLRP13	1	100	1
NLRX1	1	1	100
NMD3	89	4	7
NME1	87	1	13
NME2	1	100	1
NME2P1	100	1	1
NME3	1	18	82
NME7	72	1	28
NMI	72	1	28
NMNAT1	1	100	1
NMRAL1	1	1	100
NMT1	87	2	11
NNMT	68	1	32
NNT	1	60	40
NO66	1	100	1
NOA1	1	24	76
NOB1	46	1	54
NOC2L	1	99	1
NOC3L	1	100	1
NOC4L	1	100	1
NOL10	1	100	1
NOL11	1	99	1
NOL12	1	100	1
NOL3	92	1	8
NOL6	1	100	1
NOL7	1	100	1
NOL8	1	100	1
NOL9	1	100	1
NOLC1	1	100	1
NOMO1	1	1	100
NOMO2	1	3	97
NONO	6	85	8
NOP10	1	100	1
NOP14	1	100	1
NOP16	1	99	1
NOP2	1	99	1
NOP56	1	100	1
NOP58	1	99	1
NOP9	1	95	4
NOSIP	28	8	64
NOTCH2	1	1	100
NPAS1	100	1	1
NPC1	1	1	100
NPEPL1	24	1	76
NPEPPS	78	1	22
NPLOC4	47	1	52
NPM1	7	77	16
NPM3	9	87	4
NPR1	1	35	65
NPR3	1	1	100
NPTN	1	3	97
NPTX1	1	76	24
NQO1	90	1	10
NQO2	81	1	19
NR2C1	1	100	1
NR2C2AP	91	1	9
NR2F1	1	100	1
NR3C1	90	1	10
NRAP	1	100	1
NRAS	46	1	54
NRBP1	85	1	15
NRD1	78	1	22
NRK	100	1	1
NRM	1	100	1
NRP1	1	1	100
NSDHL	1	7	92
NSF	20	2	78
NSFL1C	71	1	29
NSL1	1	1	100
NSMCE1	1	100	1
NSMCE2	1	100	1
NSMCE4A	1	93	7
NSUN2	64	1	35
NSUN4	1	76	24
NSUN5	7	52	41
NT5C	97	1	3
NT5C2	90	1	10
NT5C3A	50	50	1
NT5DC1	38	1	62
NTHL1	1	100	1
NTMT1	1	100	1
NUB1	84	1	16
NUBP1	72	1	28
NUBP2	97	1	3
NUCB1	1	1	100
NUDC	70	1	30
NUDCD1	86	1	14
NUDCD2	86	1	14
NUDCD3	82	1	18
NUDT1	75	1	25
NUDT16	100	1	1
NUDT16L1	1	100	1
NUDT19	1	1	100
NUDT2	92	1	8
NUDT21	22	49	29
NUDT3	94	1	6
NUDT5	79	1	21
NUDT9	73	1	27
NUF2	38	1	62
NUFIP2	68	1	32
NUMA1	1	99	1
NUP107	1	96	4
NUP133	2	93	5
NUP153	1	98	2
NUP155	55	14	31
NUP160	8	88	4
NUP188	47	27	26
NUP205	5	90	5
NUP210	1	83	17
NUP214	1	98	2
NUP35	1	92	8
NUP37	32	60	8
NUP43	1	97	3
NUP50	1	100	1
NUP54	1	100	1
NUP62	3	46	51
NUP85	1	98	2
NUP88	3	88	9
NUP93	23	65	12
NUP98	1	98	2
NUPL1	1	100	1
NUPL2	1	100	1
NUSAP1	1	90	10
NUTF2	1	1	100
NVL	1	100	1
NXF1	1	98	1
NXN	86	1	14
NXT1	1	100	1
OAS3	83	4	13
OASL	93	1	7
OAT	1	1	100
OCIAD1	1	39	61
OCIAD2	1	53	47
OCRL	26	1	74
OGDH	1	7	93
OGFOD1	51	1	49
OGFR	68	1	32
OGT	57	25	18
OIP5	1	100	1
OLA1	79	2	19
OLR1	50	50	1
OMA1	1	19	81
OPA1	1	9	91
OPA3	1	1	100
OPTN	50	50	1
ORAOV1	1	100	1
ORMDL2	1	1	100
ORMDL3	50	50	1
OSBP	90	1	10
OSBPL10	88	1	12
OSBPL8	1	60	40
OSBPL9	92	1	8
OSGEP	73	1	27
OSMR	1	1	100
OSTC	1	3	97
OSTF1	88	1	12
OTUB1	100	1	1
OTUD4	50	50	1
OTUD6B	63	1	37
OTUD7B	1	1	100
OTULIN	42	1	58
OTX1	1	100	1
OVCA2	74	1	26
OXA1L	1	33	67
OXCT1	4	6	90
OXNAD1	1	1	100
OXSM	1	1	100
OXSR1	94	1	5
P4HA1	1	55	45
P4HA2	1	50	50
P4HB	22	19	59
PA2G4	72	3	25
PAAF1	72	1	28
PABPC1	72	8	20
PABPC4	83	3	14
PABPN1	1	91	8
PACS1	76	1	24
PACSIN2	86	1	14
PACSIN3	46	15	39
PAF1	1	81	19
PAFAH1B1	78	1	22
PAFAH1B2	92	1	7
PAFAH1B3	89	1	10
PAGE1	85	1	15
PAICS	1	100	1
PAIP1	82	1	18
PAIP2	92	1	8
PAK1IP1	1	94	6
PAK2	91	1	9
PAK7	50	50	1
PALLD	79	1	21
PALMD	81	1	19
PAN2	1	100	1
PANK1	1	1	100
PANK4	89	1	11
PAPD5	1	100	1
PAPOLA	71	1	29
PAPOLG	1	100	1
PAPSS1	66	1	34
PAPSS2	64	1	36
PARD3	1	100	1
PARG	70	1	30
PARK7	76	1	24
PARN	1	100	1
PARP1	28	40	32
PARP2	1	100	1
PARP4	72	1	27
PARP9	82	1	18
PARVA	81	1	19
PASK	1	1	100
PATL1	84	1	16
PAWR	65	1	35
PBDC1	85	1	15
PBK	75	1	25
PBRM1	1	100	1
PC	3	2	96
PCBD1	81	1	19
PCBD2	69	25	5
PCBP1	75	5	19
PCBP2	79	4	17
PCCB	1	1	100
PCDH1	1	1	100
PCDHGC3	100	1	1
PCF11	1	1	100
PCGF1	1	100	1
PCID2	69	14	17
PCK2	1	5	95
PCMT1	64	9	27
PCNA	65	13	22
PCNP	98	1	1
PCSK9	50	50	1
PCYOX1	1	7	93
PCYOX1L	1	15	85
PCYT1B	24	1	76
PCYT2	76	1	24
PDAP1	82	1	18
PDCD10	81	2	17
PDCD11	1	100	1
PDCD2L	82	9	10
PDCD4	86	1	13
PDCD5	77	1	23
PDCD6	36	33	32
PDCD6IP	54	1	46
PDCL3	88	1	12
PDDC1	85	1	15
PDE12	55	1	45
PDE4DIP	100	1	1
PDE6D	76	1	24
PDE8B	100	1	1
PDHA1	1	8	92
PDHB	2	11	88
PDHX	1	23	77
PDIA3	18	12	70
PDIA4	7	10	83
PDIA5	1	100	1
PDIA6	8	10	83
PDK1	1	1	100
PDK3	1	1	100
PDK4	1	1	100
PDLIM1	68	1	32
PDLIM2	81	1	19
PDLIM5	67	1	32
PDLIM7	1	74	26
PDP1	1	1	100
PDPR	1	1	100
PDRG1	81	1	19
PDS5A	25	14	62
PDS5B	2	92	6
PDSS2	1	1	100
PDXDC1	89	1	11
PDXK	80	1	20
PDXP	92	1	8
PDZD11	55	1	45
PEA15	90	1	10
PEBP1	76	1	23
PEF1	43	36	21
PEG10	100	1	1
PELO	59	7	34
PELP1	5	91	4
PEO1	1	100	1
PEPD	87	1	13
PES1	2	91	7
PEX1	1	1	100
PEX11B	1	1	100
PEX14	1	1	100
PEX16	1	1	100
PEX5	100	1	1
PFAS	83	1	16
PFDN1	78	1	22
PFDN2	71	5	25
PFDN4	83	1	17
PFDN5	82	1	18
PFDN6	69	1	31
PFKFB2	85	1	15
PFKL	98	1	2
PFKM	90	1	10
PFKP	90	1	10
PFN1	86	1	14
PFN2	81	1	18
PGAM1	87	1	13
PGAM5	1	67	33
PGD	78	1	22
PGGT1B	100	1	1
PGK1	73	1	27
PGK2	1	100	1
PGLS	94	1	6
PGM1	89	1	10
PGM2	86	1	14
PGM2L1	76	1	24
PGM3	91	1	9
PGP	79	1	21
PGRMC1	1	3	97
PGRMC2	1	17	83
PHAX	33	4	63
PHB	5	21	75
PHB2	1	15	84
PHC3	1	100	1
PHF14	1	100	1
PHF5A	3	95	2
PHF6	1	100	1
PHGDH	87	1	12
PHIP	1	100	1
PHKA1	63	1	37
PHKA2	100	1	1
PHKB	96	1	4
PHKG2	100	1	1
PHLDA2	100	1	1
PHPT1	88	1	12
PI4K2A	1	3	95
PI4KA	47	1	53
PICALM	55	1	45
PIGK	1	11	89
PIGS	1	2	98
PIH1D1	97	1	3
PIK3C2A	80	1	20
PIK3C2B	100	1	1
PIK3C3	73	1	27
PIK3R2	98	1	2
PIK3R4	86	1	14
PIN1	78	1	22
PIN4	81	1	19
PINX1	1	100	1
PIP	41	50	9
PIP4K2A	1	100	1
PIP4K2B	100	1	1
PIP4K2C	100	1	1
PIR	81	1	19
PITPNA	83	1	17
PITPNB	74	1	26
PITRM1	1	1	100
PKLR	100	1	1
PKN1	100	1	1
PKN2	91	1	9
PKP1	100	1	1
PKP2	1	100	1
PKP3	96	4	1
PLA2G16	66	1	34
PLA2G4A	67	1	33
PLAA	86	1	14
PLCB3	67	1	33
PLCG1	79	1	21
PLCH1	1	1	100
PLCL2	86	1	14
PLD3	1	6	94
PLEKHA6	100	1	1
PLEKHF1	1	1	100
PLGRKT	1	1	100
PLK1	26	63	11
PLK4	50	50	1
PLLP	50	50	1
PLOD1	6	50	45
PLOD2	1	18	82
PLOD3	1	57	43
PLP2	44	1	56
PLRG1	1	100	1
PLS1	98	1	2
PLS3	79	1	20
PLXNA1	50	50	1
PLXNB2	42	1	58
PMF1	1	1	100
PML	1	100	1
PMM1	100	1	1
PMM2	89	1	11
PMPCA	1	11	89
PMPCB	1	3	97
PMS2	1	1	100
PMVK	80	1	20
PNKD	1	12	88
PNKP	1	100	1
PNN	1	100	1
PNO1	22	68	10
PNPLA4	1	1	99
PNPLA6	1	1	100
PNPO	81	1	19
PNPT1	1	19	81
PODXL	1	2	98
POF1B	100	1	1
POFUT1	1	1	100
POGZ	1	100	1
POLA1	64	1	36
POLA2	15	1	85
POLB	1	100	1
POLD1	50	1	50
POLD2	55	5	41
POLD3	76	1	24
POLDIP2	1	5	95
POLDIP3	1	100	1
POLE3	58	26	17
POLE4	17	1	83
POLR1A	1	100	1
POLR1B	3	96	1
POLR1C	42	42	16
POLR1D	1	71	29
POLR1E	1	100	1
POLR2A	15	78	7
POLR2B	25	65	10
POLR2C	13	80	8
POLR2D	2	97	1
POLR2E	3	87	9
POLR2G	10	90	1
POLR2H	62	23	15
POLR2I	1	100	1
POLR2L	29	71	1
POLR3A	32	1	68
POLR3B	1	1	100
POLR3C	59	1	41
POLR3D	1	1	100
POLRMT	1	15	85
POMP	63	1	37
PON2	1	1	99
POP1	5	64	31
POP4	1	100	1
POP5	1	80	20
POP7	61	21	18
POR	5	15	80
POTEE	100	1	1
PPA1	73	1	26
PPA2	5	1	95
PPAN	1	100	1
PPAT	91	1	9
PPCDC	96	1	4
PPCS	76	1	24
PPFIA1	83	1	17
PPFIBP1	86	1	14
PPHLN1	1	100	1
PPIA	79	2	19
PPIB	8	54	38
PPIC	1	17	83
PPID	67	1	33
PPIE	1	100	1
PPIF	1	59	41
PPIG	1	100	1
PPIH	34	39	28
PPIL1	19	52	29
PPIL2	1	100	1
PPIL3	77	8	16
PPIL4	1	87	13
PPM1A	1	1	100
PPM1B	100	1	1
PPM1D	1	100	1
PPM1F	87	1	13
PPM1G	60	1	40
PPME1	73	1	27
PPOX	1	1	100
PPP1CA	67	26	7
PPP1CB	35	9	56
PPP1CC	61	19	19
PPP1R10	1	99	1
PPP1R11	1	1	100
PPP1R12A	72	5	23
PPP1R14B	83	1	17
PPP1R2	93	1	7
PPP1R7	91	1	9
PPP1R8	1	100	1
PPP1R9A	1	100	1
PPP1R9B	1	100	1
PPP2CA	70	2	28
PPP2R1A	89	2	9
PPP2R1B	92	1	7
PPP2R2A	73	1	25
PPP2R4	85	1	15
PPP2R5A	50	1	50
PPP2R5C	100	1	1
PPP2R5D	93	1	7
PPP2R5E	52	1	48
PPP3CA	77	3	20
PPP3R1	1	1	100
PPP4C	1	15	85
PPP4R1	82	1	18
PPP4R2	1	1	100
PPP5C	89	1	11
PPP6C	82	1	16
PPT1	1	1	100
PPWD1	4	91	5
PQBP1	1	42	58
PRCC	1	1	100
PRCP	1	1	100
PRDX1	69	3	28
PRDX2	75	2	23
PRDX3	5	8	87
PRDX4	19	17	64
PRDX5	81	1	18
PRDX6	83	1	16
PREB	1	1	100
PREP	92	1	8
PREPL	46	1	54
PRIM1	59	1	41
PRIM2	77	1	21
PRKAA1	86	1	14
PRKAA2	1	1	100
PRKAB2	62	1	38
PRKACA	66	8	26
PRKACB	92	1	8
PRKAG1	67	1	33
PRKAR1A	78	2	20
PRKAR2A	50	5	45
PRKCA	67	1	33
PRKCDBP	1	100	1
PRKCI	90	4	6
PRKCSH	2	2	96
PRKDC	38	30	32
PRKRA	55	1	45
PRMT1	54	8	38
PRMT3	90	1	10
PRMT5	77	2	22
PRMT7	95	1	5
PROCR	1	1	100
PROSC	94	1	6
PRPF19	7	81	11
PRPF3	1	87	13
PRPF31	1	100	1
PRPF38A	1	97	3
PRPF38B	1	30	70
PRPF4	1	89	10
PRPF40A	1	96	4
PRPF4B	1	100	1
PRPF6	1	100	1
PRPF8	2	96	2
PRPS1	80	1	19
PRPS2	77	1	23
PRPSAP1	83	1	17
PRPSAP2	71	1	29
PRRC1	38	1	62
PRSS21	1	1	100
PRTFDC1	93	1	7
PRUNE	100	1	1
PRUNE2	100	1	1
PSAP	1	1	100
PSAT1	77	1	23
PSENEN	1	1	100
PSIP1	6	90	4
PSMA1	64	3	32
PSMA2	59	1	41
PSMA3	78	1	21
PSMA4	73	2	25
PSMA5	78	1	21
PSMA6	75	1	24
PSMA7	82	1	17
PSMB1	62	1	37
PSMB2	80	1	20
PSMB3	64	3	33
PSMB4	65	5	30
PSMB5	64	5	31
PSMB6	63	8	29
PSMB7	56	1	44
PSMC1	73	1	26
PSMC2	63	1	36
PSMC3	64	6	31
PSMC4	66	1	33
PSMC5	65	2	33
PSMC6	76	1	24
PSMD1	74	1	26
PSMD10	85	1	15
PSMD11	69	2	29
PSMD12	68	1	32
PSMD13	1	100	1
PSMD14	67	6	27
PSMD2	76	1	23
PSMD3	86	2	13
PSMD4	68	1	31
PSMD5	77	1	22
PSMD6	59	3	38
PSMD7	77	1	23
PSMD8	65	10	24
PSMD9	93	1	7
PSME1	86	1	14
PSME2	86	1	14
PSME3	71	4	25
PSME4	70	1	30
PSMF1	88	1	12
PSMG1	80	1	20
PSMG2	82	1	18
PSMG3	91	1	9
PSMG4	93	1	7
PSPC1	18	37	45
PSPH	85	1	15
PTBP1	52	37	12
PTBP2	1	99	1
PTBP3	1	100	1
PTCD1	1	100	1
PTCD2	50	50	1
PTCD3	1	56	44
PTDSS1	1	1	100
PTDSS2	1	1	100
PTER	100	1	1
PTGES	1	1	100
PTGES2	1	14	86
PTGES3	85	1	15
PTGFRN	40	1	60
PTGR1	80	1	20
PTGR2	100	1	1
PTK2	92	1	8
PTMA	99	1	1
PTMS	86	1	14
PTP4A1	18	24	57
PTP4A2	63	1	37
PTPLAD1	1	9	91
PTPLB	1	1	100
PTPMT1	1	39	61
PTPN1	1	8	92
PTPN11	56	1	44
PTPN12	70	1	30
PTPN23	89	1	11
PTPN9	100	1	1
PTPRF	40	1	60
PTPRJ	24	1	76
PTRF	1	99	1
PTRH1	1	100	1
PTRH2	1	11	88
PTRHD1	89	1	11
PTS	70	1	30
PTTG1IP	1	1	100
PUF60	33	38	28
PUM1	43	5	52
PURA	37	30	33
PURB	1	1	100
PUS1	17	5	78
PUS3	76	1	24
PUS7	81	1	19
PVR	1	1	100
PWP1	3	96	1
PWP2	1	100	1
PXDN	1	58	42
PXMP2	1	1	100
PXN	94	1	6
PYCR1	2	16	82
PYCR2	1	3	97
PYCRL	1	26	74
PYGB	89	1	11
PYGL	78	1	22
PYROXD1	66	1	34
PZP	100	1	1
QARS	79	1	20
QDPR	85	1	15
QPRT	65	1	35
QRICH1	67	1	33
QSOX2	1	1	100
QTRT1	22	1	78
QTRTD1	14	1	86
RAB10	32	1	67
RAB11B	38	9	53
RAB11FIP1	1	100	1
RAB12	76	1	24
RAB13	56	3	41
RAB14	10	2	87
RAB18	8	28	64
RAB19	82	1	18
RAB1A	47	23	30
RAB1B	11	1	89
RAB21	35	6	58
RAB22A	26	1	74
RAB24	1	1	100
RAB27A	1	1	100
RAB27B	1	1	100
RAB29	1	10	90
RAB2A	9	9	82
RAB31	5	4	91
RAB32	1	1	100
RAB34	31	8	61
RAB34	31	8	61
RAB35	51	9	40
RAB3A	2	28	70
RAB3D	1	1	100
RAB3GAP1	56	1	44
RAB3GAP2	75	1	25
RAB4A	59	1	41
RAB5A	65	2	33
RAB5B	42	4	54
RAB5C	58	10	32
RAB6A	1	5	95
RAB7A	19	16	65
RAB8A	34	4	63
RAB8B	1	1	100
RAB9A	37	13	50
RABAC1	1	1	100
RABEP1	98	1	2
RABEP2	1	1	100
RABGAP1	95	1	5
RABGAP1L	1	1	100
RABGAP1L	1	1	100
RABGGTA	96	1	4
RABGGTB	76	1	24
RABIF	77	1	23
RABL3	1	1	100
RAC1	70	9	20
RACGAP1	1	82	18
RAD1	77	3	20
RAD18	1	100	1
RAD21	1	92	8
RAD23A	58	1	42
RAD23B	74	3	24
RAD50	34	39	27
RAD51	1	1	100
RAD54L2	1	1	100
RAD9A	21	1	79
RAE1	1	99	1
RAI1	1	100	1
RALA	48	7	46
RALB	26	1	74
RALGPS2	100	1	1
RALY	1	100	1
RALYL	1	1	100
RAN	79	6	15
RANBP1	84	2	14
RANBP2	2	97	1
RANBP3	41	1	59
RANBP6	31	1	69
RANBP9	1	1	100
RANGAP1	56	26	18
RANGRF	84	1	16
RAP1A	97	1	3
RAP1B	1	33	66
RAP1GDS1	89	1	11
RAP2B	66	1	34
RAP2C	44	25	31
RAPGEF2	91	1	9
RAPH1	1	1	100
RARS	73	1	26
RARS2	1	1	100
RASA1	100	1	1
RAVER1	1	73	27
RB1	1	1	100
RB1CC1	1	1	100
RBBP4	19	74	7
RBBP5	9	66	25
RBBP6	1	100	1
RBBP7	58	3	39
RBKS	28	1	72
RBM12	24	1	76
RBM12B	1	100	1
RBM14	1	100	1
RBM15	1	100	1
RBM17	1	100	1
RBM19	1	99	1
RBM22	17	75	8
RBM25	1	93	7
RBM26	19	3	78
RBM27	1	1	100
RBM28	1	100	1
RBM3	1	90	10
RBM33	1	1	100
RBM34	1	100	1
RBM39	9	67	24
RBM4	1	3	97
RBM42	1	100	1
RBM45	1	100	1
RBM47	17	55	28
RBM4B	1	100	1
RBM5	1	100	1
RBM6	1	100	1
RBM7	1	1	100
RBM8A	34	55	11
RBMX	3	97	1
RBMX2	1	100	1
RBPJ	1	100	1
RBX1	1	24	76
RCC1	7	75	18
RCC2	59	23	17
RCCD1	56	1	44
RCL1	1	99	1
RCN1	1	4	96
RCN2	1	1	100
RCN3	1	1	100
RCOR1	1	94	6
RDH11	1	1	100
RDH13	1	1	100
RDH14	1	1	100
RDX	87	1	12
RECQL	46	7	47
REEP5	1	2	98
REEP6	40	1	60
RELA	93	1	7
RER1	14	10	75
RERE	1	1	100
RETSAT	1	1	100
REXO2	63	1	37
REXO4	1	100	1
RFC1	1	43	56
RFC2	20	49	32
RFC3	28	30	42
RFC4	34	36	30
RFC5	36	61	3
RFK	100	1	1
RFX1	1	100	1
RFX5	1	100	1
RGPD1	1	100	1
RGS10	67	1	33
RHEB	52	1	48
RHOA	77	4	20
RHOB	6	4	90
RHOBTB2	100	1	1
RHOC	84	1	16
RHOF	1	1	100
RHOG	36	9	56
RHOT1	1	89	11
RHOT2	1	13	87
RIC8A	93	1	7
RICTOR	90	1	10
RIF1	1	100	1
RILPL1	95	1	5
RIN1	89	1	11
RING1	1	100	1
RINT1	50	50	1
RIOK2	48	1	52
RIPK1	100	1	1
RIPK2	100	1	1
RLF	1	100	1
RMDN1	1	10	90
RMDN3	1	93	7
RMI2	1	100	1
RMND1	1	11	89
RNASEH2A	1	10	90
RNASEH2B	1	1	100
RNASEH2C	61	3	37
RNASET2	100	1	1
RNF113A	1	100	1
RNF123	100	1	1
RNF126	1	1	100
RNF14	100	1	1
RNF149	1	17	83
RNF169	1	100	1
RNF170	1	1	100
RNF181	1	1	100
RNF2	1	100	1
RNF20	21	1	79
RNF214	55	1	45
RNF40	17	1	83
RNF7	100	1	1
RNGTT	50	50	1
RNH1	78	1	22
RNMT	1	79	19
