Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar
COPS8	1	100	1		97	3		79	1	21
COPZ1	32	66	1		48	52		79	1	20
COQ7	6	53	41		100	1		50	50	1
COQ9	1	46	54		100	1		1	1	100
CORO1C	37	55	8		21	79		28	65	7
CORO7	49	41	10		41	59		100	1	1
COX11	1	27	73		100	1		50	50	1
COX17	14	1	86		100	1		15	1	85
COX4I1	1	71	29		65	35		1	11	89
COX5A	6	45	49		46	54		2	60	38
COX5B	7	13	79		34	66		1	15	84
COX6B1	1	70	30		45	55		1	70	30
COX6C	1	70	30		79	21		1	55	45
COX7A2	1	90	10		48	52		1	81	19
COX7A2L	1	11	89		72	28		1	36	64
CPNE1	98	2	1		98	2		81	2	17
CPNE3	57	43	1		97	3		73	11	16
CPOX	17	11	73		100	1		1	1	100
CPSF1	1	99	1		1	100		1	100	1
CPSF2	18	82	1		1	100		1	100	1
CPSF3	28	72	1		3	97		13	86	1
CPSF6	1	99	1		13	87		16	35	49
CPSF7	1	99	1		1	99		8	73	19
CPT2	1	46	54		98	2		1	1	100
CRK	100	1	1		100	1		78	1	22
CRKL	100	1	1		98	2		74	1	26
CRNKL1	1	100	1		1	100		1	100	1
CRTAP	5	94	2		100	1		1	82	18
CRYZ	85	9	7		99	1		49	1	50
CS	2	67	30		89	11		1	8	92
CSE1L	44	56	1		81	19		70	15	14
CSK	28	71	1		59	41		76	1	24
CSNK1A1	32	68	1		43	57		62	16	22
CSNK2A1	21	79	1		61	39		32	40	28
CSNK2A2	27	72	1		60	40		30	43	27
CSNK2B	14	85	1		46	54		40	30	30
CSRP1	23	50	27		11	89		66	1	34
CSTB	100	1	1		98	2		87	1	12
CSTF1	5	95	1		1	99		1	69	31
CSTF2	33	66	1		3	97		12	37	51
CSTF2T	24	75	1		1	99		1	1	100
CSTF3	10	90	1		1	100		1	91	8
CTAGE5	11	52	37		100	1		1	1	100
CTCF	1	100	1		1	100		50	50	1
CTH	84	16	1		100	1		70	1	30
CTNNA1	30	67	3		100	1		87	1	12
CTNNBL1	3	96	1		2	98		7	71	22
CTNND1	33	65	2		63	37		72	1	28
CTR9	6	94	1		1	100		1	38	62
CTSC	1	97	2		99	1		1	1	100
CTSD	37	58	5		96	4		1	1	99
CTTN	85	11	4		1	100		84	1	16
CUL1	15	85	1		58	42		76	2	22
CUL2	73	27	1		99	1		83	1	16
CUL3	12	88	1		89	11		91	1	9
CUL4A	56	44	1		81	19		71	2	26
CUL4B	32	68	1		76	24		62	1	38
CUL5	90	10	1		96	4		91	1	9
CUTA	96	4	1		100	1		91	1	9
CWC22	37	63	1		1	100		1	100	1
CWF19L1	54	46	1		68	32		68	3	30
CYB5B	8	57	34		91	9		1	2	98
CYB5R1	1	73	27		76	24		1	54	46
CYB5R3	2	95	2		99	1		3	16	81
CYC1	1	86	13		56	44		1	28	72
CYCS	60	4	36		55	45		23	19	58
CYFIP1	14	85	1		70	30		84	1	16
DAD1	12	82	6		72	28		1	33	67
DAK	69	31	1		98	2		98	1	2
DAP3	1	86	14		100	1		1	54	46
DARS	50	46	4		87	13		83	1	17
DARS2	5	75	20		55	45		1	8	92
DAZAP1	50	44	6		25	75		12	40	48
DBI	95	5	1		1	100		85	1	15
DBN1	88	12	1		2	98		1	100	1
DBNL	96	4	1		1	100		39	1	61
DBR1	81	19	1		100	1		57	1	43
DBT	1	86	14		92	8		1	31	69
DCAKD	1	87	13		100	1		1	1	100
DCK	97	1	3		98	2		100	1	1
DCP1A	85	15	1		38	62		1	1	100
DCPS	78	21	1		100	1		73	1	27
DCTN1	59	40	1		80	20		86	1	14
DCTN2	49	50	1		80	20		76	1	24
DCTN4	95	5	1		89	11		93	1	7
DCTPP1	66	34	1		100	1		84	1	16
DCUN1D1	14	86	1		80	20		85	1	14
DDB1	35	65	1		51	49		55	20	25
DDI2	81	18	1		99	1		92	1	8
DDOST	9	88	2		53	47		4	16	80
DDRGK1	22	72	6		66	34		1	1	100
DDT	100	1	1		100	1		80	2	18
DDX1	46	52	2		34	66		50	30	20
DDX10	1	100	1		56	44		1	100	1
DDX17	24	75	1		3	97		8	81	12
DDX18	2	98	1		1	100		1	100	1
DDX19A	36	64	1		80	20		85	1	15
DDX20	94	6	1		18	82		72	9	19
DDX21	5	95	1		1	100		3	95	2
DDX24	6	94	1		100	1		1	100	1
DDX27	15	77	8		4	96		1	100	1
DDX3X	42	54	4		32	68		47	36	17
DDX41	8	92	1		1	100		1	97	3
DDX42	6	94	1		19	81		1	65	35
DDX46	3	94	3		1	99		8	48	44
DDX47	3	97	1		1	100		5	75	20
DDX49	10	88	1		1	100		2	92	6
DDX5	8	91	1		2	98		10	78	13
DDX50	1	99	1		1	100		1	100	1
DDX51	5	94	1		4	96		1	100	1
DDX52	1	100	1		1	100		1	100	1
DDX54	2	96	2		1	100		1	100	1
DDX55	8	92	1		1	100		1	69	31
DDX56	17	73	10		2	98		1	100	1
DDX6	70	29	1		41	59		85	2	14
DECR1	1	55	44		59	41		1	13	87
DEGS1	4	95	1		100	1		50	50	1
DEK	1	98	1		1	100		1	69	30
DENND4C	92	8	1		100	1		81	1	19
DENR	22	78	1		30	70		84	1	16
DERA	76	24	1		100	1		87	3	11
DERL1	6	88	6		84	16		1	1	100
DFFA	74	26	1		100	1		82	1	18
DHCR7	10	75	14		100	1		2	3	95
DHODH	5	54	41		94	6		1	1	100
DHRS4	1	12	88		90	10		1	1	100
DHRS7	8	87	5		100	1		1	1	100
DHRS7B	8	81	11		1	100		1	18	82
DHTKD1	8	47	45		100	1		1	1	100
DHX15	26	74	1		30	70		32	41	26
DHX29	96	1	4		57	43		62	9	29
DHX30	23	55	21		47	53		12	59	29
DHX36	61	38	1		29	71		58	29	13
DHX8	1	100	1		1	100		1	96	4
DIABLO	22	54	25		94	6		1	11	89
DIAPH1	69	31	1		99	1		88	1	12
