Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar
NDUFB6	1	78	22		55	45		1	10	90
NDUFB7	1	50	50		54	46		1	1	100
NDUFB8	3	90	7		42	58		1	1	100
NDUFB9	1	84	15		44	56		1	7	93
NDUFC2	1	47	53		69	31		1	1	100
NDUFS1	1	77	22		48	52		1	22	78
NDUFS2	1	76	23		59	41		1	28	72
NDUFS3	1	62	38		39	61		1	9	91
NDUFS5	1	7	93		45	55		1	1	100
NDUFS7	4	65	31		39	61		1	29	71
NDUFS8	1	84	16		37	63		1	25	75
NDUFV1	1	69	31		51	49		1	51	49
NDUFV2	1	54	46		38	62		1	42	58
NEDD4	74	26	1		100	1		89	1	11
NEDD8	64	36	1		86	14		85	1	15
NFKB1	50	49	1		89	11		91	1	9
NFS1	1	54	46		95	5		1	1	100
NFU1	1	71	29		100	1		1	1	100
NFYB	1	100	1		11	89		1	100	1
NFYC	14	86	1		17	83		58	42	1
NGDN	1	100	1		1	100		1	100	1
NHP2L1	100	1	1		8	92		15	82	3
NIF3L1	60	39	1		100	1		69	1	31
NIP7	1	99	1		1	100		1	100	1
NIPBL	29	70	1		1	100		1	99	1
NIPSNAP1	2	79	19		78	22		1	81	19
NIT1	74	24	2		100	1		86	1	14
NIT2	87	10	3		100	1		78	1	22
NLE1	26	74	1		70	30		75	13	12
NLN	25	1	75		80	20		83	1	17
NMD3	14	83	3		77	23		89	4	7
NME1	64	33	3		98	2		87	1	13
NME2	74	26	1		100	1		1	100	1
NMT1	68	30	2		74	26		87	2	11
NNT	1	78	22		92	8		1	60	40
NOB1	43	56	1		100	1		46	1	54
NOC2L	1	100	1		1	100		1	99	1
NOC3L	1	100	1		1	100		1	100	1
NOC4L	1	99	1		1	100		1	100	1
NOL10	1	99	1		1	100		1	100	1
NOL11	1	84	16		1	100		1	99	1
NOL6	3	97	1		1	100		1	100	1
NOL7	3	97	1		1	100		1	100	1
NOL8	11	89	1		1	100		1	100	1
NOL9	1	99	1		1	100		1	100	1
NONO	6	92	3		1	99		6	85	8
NOP14	1	100	1		1	100		1	100	1
NOP16	11	89	1		1	100		1	99	1
NOP2	2	97	1		1	100		1	99	1
NOP56	7	92	1		1	100		1	100	1
NOP58	12	87	1		1	100		1	99	1
NOSIP	100	1	1		40	60		28	8	64
NPC1	1	94	6		100	1		1	1	100
NPEPPS	72	26	2		100	1		78	1	22
NPLOC4	15	79	5		81	19		47	1	52
NPM1	21	78	1		4	96		7	77	16
NPM3	15	85	1		3	97		9	87	4
NPTN	8	77	16		100	1		1	3	97
NRAS	7	92	1		100	1		46	1	54
NRBP1	76	24	1		99	1		85	1	15
NRD1	90	10	1		100	1		78	1	22
NSDHL	9	85	7		100	1		1	7	92
NSF	9	84	6		97	3		20	2	78
NSFL1C	89	11	1		97	3		71	1	29
NSUN2	69	30	2		95	5		64	1	35
NSUN4	1	48	52		67	33		1	76	24
NSUN5	2	97	1		1	99		7	52	41
NT5C	1	1	100		100	1		97	1	3
NT5C2	94	6	1		98	2		90	1	10
NUB1	62	38	1		100	1		84	1	16
NUBP1	98	2	1		100	1		72	1	28
NUBP2	100	1	1		1	100		97	1	3
NUCB1	18	66	16		98	2		1	1	100
NUDC	78	20	1		98	2		70	1	30
NUDCD1	60	39	1		99	1		86	1	14
NUDCD3	100	1	1		100	1		82	1	18
NUDT2	70	30	1		100	1		92	1	8
NUDT21	1	99	1		14	86		22	49	29
NUDT5	68	32	1		100	1		79	1	21
NUFIP2	97	1	3		35	65		68	1	32
NUP107	1	99	1		1	99		1	96	4
NUP133	2	98	1		3	97		2	93	5
NUP155	1	99	1		6	94		55	14	31
NUP160	1	99	1		1	99		8	88	4
NUP188	1	99	1		1	99		47	27	26
NUP210	2	97	2		2	98		1	83	17
NUP214	17	82	1		3	97		1	98	2
NUP35	1	100	1		1	100		1	92	8
NUP37	8	92	1		3	97		32	60	8
NUP43	2	98	1		10	90		1	97	3
NUP50	21	79	1		34	66		1	100	1
NUP54	2	98	1		3	97		1	100	1
NUP62	8	92	1		7	93		3	46	51
NUP85	1	99	1		1	100		1	98	2
NUP88	4	94	2		6	94		3	88	9
NUP93	7	92	1		2	98		23	65	12
NUPL1	3	96	1		8	92		1	100	1
NUTF2	54	46	1		99	1		1	1	100
NVL	1	100	1		1	100		1	100	1
NXF1	1	98	1		5	95		1	98	1
OAT	1	79	20		100	1		1	1	100
OCIAD1	1	83	17		61	39		1	39	61
OGDH	1	56	44		79	21		1	7	93
OGFR	90	10	1		97	3		68	1	32
OGT	9	91	1		25	75		57	25	18
OLA1	74	26	1		98	2		79	2	19
OPA1	1	58	40		94	6		1	9	91
OSBP	74	25	1		98	2		90	1	10
OSBPL9	33	33	33		100	1		92	1	8
OSTC	1	100	1		45	55		1	3	97
OSTF1	68	32	1		96	4		88	1	12
OTUB1	63	37	1		100	1		100	1	1
OTUD6B	33	33	33		92	8		63	1	37
OXCT1	1	41	58		98	2		4	6	90
OXSR1	62	38	1		98	2		94	1	5
P4HA1	17	73	10		99	1		1	55	45
P4HB	19	67	14		97	3		22	19	59
PA2G4	55	42	3		63	37		72	3	25
PABPC1	79	18	3		52	48		72	8	20
PABPN1	4	96	1		25	75		1	91	8
PACS1	11	89	1		83	17		76	1	24
PACSIN2	52	46	2		82	18		86	1	14
PAF1	3	97	1		1	100		1	81	19
PAFAH1B1	62	37	1		92	8		78	1	22
PAFAH1B2	72	28	1		99	1		92	1	7
PAFAH1B3	73	27	1		100	1		89	1	10
PAICS	62	37	1		100	1		1	100	1
PAK1IP1	8	92	1		21	79		1	94	6
PAK2	70	30	1		97	3		91	1	9
PANK4	90	10	1		98	2		89	1	11
PAPOLA	38	62	1		99	1		71	1	29
PARG	43	57	1		98	2		70	1	30
PARK7	86	13	1		99	1		76	1	24
PARN	3	96	1		18	82		1	100	1
PARP1	3	97	1		1	100		28	40	32
PATL1	93	5	2		41	59		84	1	16
PBRM1	1	100	1		1	100		1	100	1
PCBP1	26	73	1		63	37		75	5	19
PCCB	1	71	29		98	2		1	1	100
PCID2	8	92	1		16	84		69	14	17
PCK2	1	71	28		100	1		1	5	95
PCMT1	80	11	9		95	5		64	9	27
PCNA	39	61	1		83	17		65	13	22
PCNP	100	1	1		74	26		98	1	1
PCYOX1	1	99	1		97	3		1	7	93
PCYOX1L	1	99	1		97	3		1	15	85
PDAP1	97	3	1		83	17		82	1	18
PDCD10	28	69	3		61	39		81	2	17
PDCD11	1	99	1		1	100		1	100	1
PDCD4	55	45	1		80	20		86	1	13
PDCD5	100	1	1		97	3		77	1	23
PDCD6	42	57	1		98	2		36	33	32
PDCD6IP	70	29	1		99	1		54	1	46
PDCL3	90	10	1		100	1		88	1	12
PDE12	42	39	19		97	3		55	1	45
PDHA1	1	42	57		99	1		1	8	92
PDHB	1	59	41		99	1		2	11	88
PDHX	12	38	50		98	2		1	23	77
PDIA3	21	75	4		89	11		18	12	70
PDIA4	21	63	16		98	2		7	10	83
PDIA6	15	81	4		96	4		8	10	83
PDK1	1	1	100		92	8		1	1	100
PDK3	3	71	26		79	21		1	1	100
PDLIM5	99	1	1		64	36		67	1	32
PDPR	1	79	20		100	1		1	1	100
PDS5A	1	98	1		1	100		25	14	62
PDS5B	1	100	1		1	100		2	92	6
PDXDC1	75	14	11		100	1		89	1	11
PEBP1	74	25	1		99	1		76	1	23
PEF1	50	50	1		100	1		43	36	21
PELO	9	84	6		31	69		59	7	34
PELP1	1	97	3		1	99		5	91	4
PEPD	88	12	1		98	2		87	1	13
PES1	8	91	1		2	98		2	91	7
PEX11B	21	63	16		91	9		1	1	100
PEX14	36	42	22		100	1		1	1	100
PEX16	10	69	20		77	23		1	1	100
PFAS	79	21	1		100	1		83	1	16
PFDN1	100	1	1		97	3		78	1	22
PFDN2	94	5	1		93	7		71	5	25
PFDN5	90	10	1		99	1		82	1	18
PFDN6	100	1	1		95	5		69	1	31
PFKL	53	44	2		95	5		98	1	2
PFKM	54	44	2		98	2		90	1	10
PFKP	53	46	1		99	1		90	1	10
PFN1	87	13	1		97	3		86	1	14
PGAM1	72	27	1		98	2		87	1	13
PGD	68	32	1		99	1		78	1	22
PGK1	61	38	1		98	2		73	1	27
PGLS	76	24	1		99	1		94	1	6
PGM1	72	28	1		99	1		89	1	10
PGM3	94	1	6		100	1		91	1	9
PGP	99	1	1		100	1		79	1	21
PGRMC1	14	82	4		90	10		1	3	97
PGRMC2	20	77	4		87	13		1	17	83
PHAX	100	1	1		100	1		33	4	63
PHB	1	73	26		35	65		5	21	75
PHB2	1	72	27		54	46		1	15	84
PHF6	36	64	1		1	100		1	100	1
PHGDH	67	33	1		98	2		87	1	12
PHPT1	33	33	33		100	1		88	1	12
PI4K2A	41	53	6		99	1		1	3	95
PICALM	1	71	28		28	72		55	1	45
PIGK	1	100	1		51	49		1	11	89
PIGS	1	98	1		66	34		1	2	98
PIK3C3	100	1	1		79	21		73	1	27
PIK3R4	90	10	1		67	33		86	1	14
PIN1	100	1	1		89	11		78	1	22
PIP4K2B	1	96	4		51	49		100	1	1
PIP4K2C	26	68	5		88	12		100	1	1
PITPNA	74	25	1		100	1		83	1	17
PITPNB	78	21	1		100	1		74	1	26
PITRM1	4	61	34		97	3		1	1	100
PKN1	70	30	1		99	1		100	1	1
PLAA	54	45	1		100	1		86	1	14
PLCB3	30	70	1		99	1		67	1	33
PLOD1	23	61	17		71	29		6	50	45
PLOD3	8	79	13		68	32		1	57	43
PLP2	32	1	68		100	1		44	1	56
PLRG1	1	100	1		1	100		1	100	1
PLS1	57	42	1		51	49		98	1	2
PLS3	62	37	1		61	39		79	1	20
PLXNB2	1	49	51		100	1		42	1	58
PML	3	97	1		5	95		1	100	1
PMPCA	1	57	43		98	2		1	11	89
PMPCB	2	64	34		100	1		1	3	97
PMVK	87	13	1		97	3		80	1	20
PNN	2	96	2		1	100		1	100	1
PNO1	12	87	1		1	100		22	68	10
PNPLA6	10	88	2		73	27		1	1	100
PNPT1	2	61	38		100	1		1	19	81
POFUT1	20	78	2		100	1		1	1	100
POGZ	1	98	1		1	100		1	100	1
POLA1	90	10	1		84	16		64	1	36
POLA2	69	31	1		57	43		15	1	85
POLD1	75	25	1		99	1		50	1	50
POLD3	100	1	1		100	1		76	1	24
POLDIP2	1	72	27		99	1		1	5	95
POLDIP3	1	100	1		1	100		1	100	1
POLR1A	5	95	1		1	100		1	100	1
POLR1B	4	96	1		1	100		3	96	1
POLR1E	1	97	3		1	100		1	100	1
POLR2A	10	90	1		4	96		15	78	7
POLR2B	41	59	1		13	87		25	65	10
POLR2C	48	52	1		22	78		13	80	8
POLR2E	79	21	1		6	94		3	87	9
POLR2H	58	42	1		7	93		62	23	15
POLR3B	25	75	1		100	1		1	1	100
POLRMT	4	14	82		89	11		1	15	85
POR	11	82	7		100	1		5	15	80
PPA1	66	34	1		100	1		73	1	26
PPA2	4	69	27		100	1		5	1	95
PPAN	1	97	3		1	100		1	100	1
PPCS	92	8	1		100	1		76	1	24
PPIA	70	30	1		100	1		79	2	19
PPIB	40	37	23		26	74		8	54	38
PPID	82	18	1		96	4		67	1	33
PPIF	1	6	94		69	31		1	59	41
PPIG	1	99	1		1	99		1	100	1
PPIH	66	34	1		31	69		34	39	28
PPIL1	33	67	1		20	80		19	52	29
PPIL2	27	73	1		1	100		1	100	1
PPIL4	18	82	1		36	64		1	87	13
PPM1A	71	29	1		100	1		1	1	100
PPM1B	84	16	1		100	1		100	1	1
PPM1G	58	42	1		99	1		60	1	40
PPME1	70	29	1		100	1		73	1	27
PPOX	1	47	53		100	1		1	1	100
PPP1CA	21	78	2		1	100		67	26	7
PPP1CB	17	81	2		38	62		35	9	56
PPP1CC	20	78	2		49	51		61	19	19
PPP1R10	1	99	1		1	100		1	99	1
PPP1R12A	1	1	100		14	86		72	5	23
PPP1R14B	68	32	1		100	1		83	1	17
PPP1R7	87	13	1		100	1		91	1	9
PPP1R8	29	71	1		28	71		1	100	1
PPP2CA	47	53	1		100	1		70	2	28
PPP2R1A	47	52	1		75	25		89	2	9
PPP2R1B	84	16	1		67	33		92	1	7
PPP2R2A	73	26	1		97	3		73	1	25
PPP2R4	76	24	1		100	1		85	1	15
PPP2R5A	100	1	1		100	1		50	1	50
PPP2R5C	29	71	1		28	72		100	1	1
PPP2R5E	72	28	1		100	1		52	1	48
PPP3CA	35	65	1		96	4		77	3	20
PPP3R1	15	83	3		100	1		1	1	100
PPP4C	40	60	1		76	24		1	15	85
PPP4R1	100	1	1		100	1		82	1	18
PPP4R2	52	48	1		66	34		1	1	100
PPP5C	78	22	1		97	3		89	1	11
PPP6C	83	17	1		98	2		82	1	16
PPT1	68	27	5		100	1		1	1	100
PPWD1	1	100	1		28	72		4	91	5
PRCP	60	39	1		97	3		1	1	100
PRDX1	64	35	2		91	9		69	3	28
PRDX3	2	74	24		96	4		5	8	87
PRDX4	16	78	6		99	1		19	17	64
PRDX5	79	9	12		98	2		81	1	18
PRDX6	65	35	1		98	2		83	1	16
PREB	7	89	4		90	10		1	1	100
PREP	82	18	1		100	1		92	1	8
PRKAA1	41	59	1		98	2		86	1	14
PRKACA	33	65	2		95	5		66	8	26
PRKAG1	41	46	13		100	1		67	1	33
PRKAR1A	94	6	1		98	2		78	2	20
PRKAR2A	51	35	13		68	32		50	5	45
PRKCSH	18	72	10		100	1		2	2	96
PRKDC	4	96	1		1	99		38	30	32
PRKRA	99	1	1		57	43		55	1	45
PRMT1	43	57	1		73	27		54	8	38
PRMT5	76	23	1		99	1		77	2	22
PROSC	100	1	1		96	4		94	1	6
PRPF19	6	93	1		2	98		7	81	11
PRPF3	6	93	1		100	1		1	87	13
PRPF31	12	88	1		10	90		1	100	1
PRPF38A	9	91	1		1	100		1	97	3
PRPF38B	1	99	1		1	100		1	30	70
PRPF4	10	90	1		1	99		1	89	10
PRPF40A	1	100	1		1	100		1	96	4
PRPF4B	5	95	1		1	100		1	100	1
PRPF6	3	96	1		1	100		1	100	1
PRPF8	6	94	1		1	100		2	96	2
PRPS1	66	33	1		100	1		80	1	19
PRPS2	54	46	1		100	1		77	1	23
PRPSAP1	99	1	1		100	1		83	1	17
PRPSAP2	80	20	1		99	1		71	1	29
PRUNE	100	1	1		99	1		100	1	1
PSAP	55	36	8		100	1		1	1	100
PSAT1	69	31	1		100	1		77	1	23
PSIP1	60	38	2		3	97		6	90	4
PSMA1	75	25	1		96	4		64	3	32
PSMA2	59	41	1		96	4		59	1	41
PSMA3	53	47	1		92	8		78	1	21
PSMA4	57	43	1		95	5		73	2	25
PSMA5	50	50	1		93	7		78	1	21
PSMA6	71	29	1		92	8		75	1	24
PSMA7	53	47	1		93	7		82	1	17
PSMB1	54	46	1		96	4		62	1	37
PSMB2	51	49	1		94	6		80	1	20
PSMB3	40	60	1		97	3		64	3	33
PSMB4	53	47	1		96	4		65	5	30
PSMB5	58	41	1		99	1		64	5	31
PSMB6	43	55	3		96	4		63	8	29
PSMB7	62	37	1		100	1		56	1	44
PSMC1	63	37	1		93	7		73	1	26
PSMC2	59	40	1		95	5		63	1	36
PSMC3	68	32	1		95	5		64	6	31
PSMC4	69	29	1		95	5		66	1	33
PSMC5	74	25	1		94	6		65	2	33
PSMC6	75	25	1		92	8		76	1	24
PSMD1	53	47	1		95	5		74	1	26
PSMD11	47	53	1		97	3		69	2	29
PSMD12	52	48	1		95	5		68	1	32
PSMD13	48	52	1		93	7		1	100	1
PSMD14	56	44	1		96	4		67	6	27
PSMD2	56	44	1		96	4		76	1	23
PSMD3	60	39	1		97	3		86	2	13
PSMD5	66	32	2		100	1		77	1	22
PSMD6	48	52	1		90	10		59	3	38
PSMD7	45	55	1		94	6		77	1	23
PSMD8	44	56	1		91	9		65	10	24
PSMD9	92	1	8		97	3		93	1	7
PSME1	53	47	1		100	1		86	1	14
PSME2	60	40	1		97	3		86	1	14
PSME3	54	46	1		97	3		71	4	25
PSME4	95	5	1		100	1		70	1	30
PSMG1	53	47	1		100	1		80	1	20
PSMG2	88	11	1		100	1		82	1	18
PSPC1	13	87	1		2	98		18	37	45
PSPH	34	59	8		96	4		85	1	15
PTBP1	15	83	1		16	84		52	37	12
PTCD3	1	67	33		96	4		1	56	44
PTDSS1	2	88	9		7	93		1	1	100
PTGES2	4	65	31		99	1		1	14	86
PTGES3	60	40	1		88	12		85	1	15
PTMA	34	63	3		98	2		99	1	1
PTMS	83	17	1		100	1		86	1	14
PTP4A2	7	81	12		1	100		63	1	37
PTPMT1	1	54	46		72	28		1	39	61
PTPN1	5	89	6		89	11		1	8	92
PTPN23	62	35	3		100	1		89	1	11
PTPRJ	1	1	100		100	1		24	1	76
PTRH2	3	85	12		87	13		1	11	88
PTTG1IP	1	94	6		99	1		1	1	100
PUM1	57	14	28		42	58		43	5	52
PURA	89	3	8		65	35		37	30	33
PURB	68	1	32		57	43		1	1	100
PUS1	23	49	28		98	2		17	5	78
PWP1	4	95	1		75	25		3	96	1
PWP2	1	100	1		1	100		1	100	1
PXN	34	49	17		100	1		94	1	6
PYCR2	1	69	30		60	40		1	3	97
PYGB	80	19	1		99	1		89	1	11
QDPR	86	12	2		100	1		85	1	15
QTRT1	51	46	3		100	1		22	1	78
QTRTD1	86	1	14		100	1		14	1	86
RAB10	18	64	18		98	2		32	1	67
RAB11B	25	68	7		99	1		38	9	53
RAB13	10	85	4		53	47		56	3	41
RAB14	26	70	4		97	3		10	2	87
RAB18	11	85	4		100	1		8	28	64
RAB1A	16	76	8		99	1		47	23	30
RAB1B	23	68	9		96	4		11	1	89
RAB21	14	78	8		94	6		35	6	58
RAB24	1	94	6		100	1		1	1	100
RAB27A	7	87	7		97	3		1	1	100
RAB2A	13	85	2		97	3		9	9	82
RAB31	34	59	7		98	2		5	4	91
RAB35	9	69	23		52	48		51	9	40
RAB3D	27	1	73		99	1		1	1	100
RAB3GAP1	77	23	1		100	1		56	1	44
RAB3GAP2	64	21	16		99	1		75	1	25
RAB5A	21	75	5		90	10		65	2	33
RAB5B	7	54	39		89	11		42	4	54
RAB5C	22	72	7		89	11		58	10	32
RAB6A	27	69	4		100	1		1	5	95
RAB7A	16	80	4		96	4		19	16	65
RAB8A	9	67	24		94	6		34	4	63
RAB8B	2	69	29		95	5		1	1	100
RAB9A	29	67	4		100	1		37	13	50
RABEP1	15	85	1		100	1		98	1	2
RABEP2	92	8	1		97	3		1	1	100
RABGAP1	100	1	1		100	1		95	1	5
RABGGTA	98	2	1		99	1		96	1	4
RAC1	58	34	8		88	12		70	9	20
RAD21	2	98	1		1	100		1	92	8
RAD23B	89	11	1		80	20		74	3	24
RAD50	3	97	1		2	98		34	39	27
RAE1	1	96	4		10	90		1	99	1
RALA	5	84	10		65	35		48	7	46
RALB	1	1	100		90	10		26	1	74
RALY	14	86	1		3	97		1	100	1
RAN	37	62	1		87	13		79	6	15
RANBP1	72	25	3		97	3		84	2	14
RANBP2	1	99	1		2	98		2	97	1
RANBP3	50	46	3		98	2		41	1	59
RANGAP1	14	85	1		23	77		56	26	18
RAP1A	8	85	7		77	23		97	1	3
RAP1B	13	75	12		91	9		1	33	66
RAP2B	1	98	2		84	16		66	1	34
RAP2C	6	81	13		73	27		44	25	31
RARS	46	51	3		84	16		73	1	26
RARS2	20	46	34		100	1		1	1	100
RAVER1	8	91	1		1	100		1	73	27
RBBP4	18	82	1		1	100		19	74	7
RBBP7	25	75	1		18	82		58	3	39
RBM12	42	58	1		95	5		24	1	76
RBM14	1	97	2		1	100		1	100	1
RBM17	1	99	1		1	100		1	100	1
RBM19	1	95	5		1	100		1	99	1
RBM25	1	98	1		1	100		1	93	7
RBM26	2	97	1		1	100		19	3	78
RBM27	2	98	1		1	100		1	1	100
RBM3	87	13	1		4	96		1	90	10
RBM39	6	94	1		3	97		9	67	24
RBM42	5	95	1		1	100		1	100	1
RBM5	4	96	1		8	92		1	100	1
RBM8A	69	31	1		14	86		34	55	11
RBMX	25	74	1		2	98		3	97	1
RCC1	1	100	1		1	99		7	75	18
RCC2	11	88	1		20	80		59	23	17
RCL1	3	97	1		1	100		1	99	1
RCN1	19	72	9		100	1		1	4	96
RCN2	24	69	7		100	1		1	1	100
RDH11	10	80	11		100	1		1	1	100
RDH13	1	28	72		96	4		1	1	100
RDX	22	68	10		100	1		87	1	12
RECQL	29	71	1		6	94		46	7	47
REEP5	10	70	19		100	1		1	2	98
RELA	9	90	1		86	14		93	1	7
RER1	18	78	5		63	37		14	10	75
REXO2	76	21	3		100	1		63	1	37
RFC1	1	100	1		1	100		1	43	56
RFC2	19	80	1		8	92		20	49	32
RFC3	9	91	1		18	82		28	30	42
RFC4	33	67	1		12	88		34	36	30
RFC5	16	84	1		17	83		36	61	3
RFX1	1	100	1		1	100		1	100	1
RHEB	37	61	2		100	1		52	1	48
RHOA	45	48	7		98	2		77	4	20
RHOG	20	66	14		97	3		36	9	56
RHOT1	6	51	43		77	23		1	89	11
RHOT2	3	63	34		91	9		1	13	87
RIC8A	80	20	1		100	1		93	1	7
RIF1	3	97	1		1	100		1	100	1
RMND1	1	17	83		57	43		1	11	89
RNASEH2B	56	44	1		69	31		1	1	100
RNF2	1	99	1		3	97		1	100	1
RNH1	69	31	1		99	1		78	1	22
RNMT	33	67	1		46	54		1	79	19
RNMTL1	1	17	83		1	100		1	1	100
RNPEP	68	32	1		99	1		84	1	16
RNPS1	6	94	1		1	100		1	98	2
ROCK1	78	22	1		97	3		84	1	16
ROCK2	31	56	13		97	3		83	1	17
RP2	1	94	6		73	27		32	10	58
RPA1	58	42	1		67	33		41	26	34
RPA2	82	13	4		83	17		51	36	13
RPA3	1	100	1		86	14		37	19	45
RPAP1	97	3	1		100	1		99	1	1
RPAP3	83	17	1		83	17		90	1	10
RPE	100	1	1		100	1		72	1	28
RPL10	50	50	1		65	35		1	100	1
RPL10A	47	50	3		51	49		64	17	19
RPL11	67	27	5		37	63		57	17	26
RPL12	55	40	5		47	53		54	24	22
RPL13	45	51	4		45	55		75	8	18
RPL13A	43	54	3		36	64		81	1	18
RPL14	57	40	3		35	65		82	2	17
RPL15	38	56	6		39	61		87	2	11
RPL17	50	48	2		28	72		62	12	26
RPL18	47	50	3		31	69		59	1	39
RPL18A	42	53	5		40	60		68	6	27
RPL19	38	56	5		29	71		79	3	18
RPL21	52	44	4		13	87		79	4	17
RPL22	95	1	5		44	56		69	14	16
RPL22L1	55	39	6		100	1		74	9	17
RPL23	49	46	4		57	43		67	16	17
RPL23A	49	48	3		25	75		62	11	27
RPL24	55	44	1		36	64		69	6	25
RPL26	47	43	10		35	65		54	15	31
RPL27	41	57	3		39	61		63	14	23
RPL27A	46	52	3		35	65		68	7	24
RPL28	41	50	9		40	60		66	4	30
RPL29	53	41	6		19	81		76	3	20
RPL3	43	52	5		45	55		59	5	36
RPL30	60	37	3		57	43		73	14	14
RPL31	36	57	6		44	56		68	18	14
RPL32	49	47	4		30	70		61	6	33
RPL34	38	51	11		49	51		66	6	28
RPL35	58	36	6		20	80		65	3	32
RPL35A	49	47	5		45	55		63	3	34
RPL36	54	43	3		35	65		82	1	17
RPL37A	35	62	4		60	40		81	5	14
RPL38	43	56	1		75	25		77	12	11
RPL4	43	55	2		44	56		62	2	35
RPL5	51	44	5		47	53		64	10	26
RPL6	49	46	6		34	66		66	1	33
RPL7	52	43	5		37	63		77	2	21
RPL7A	53	41	6		24	76		84	3	13
RPL7L1	1	100	1		56	44		1	100	1
RPL8	43	51	6		42	58		75	11	13
RPL9	48	50	3		42	58		61	6	32
RPLP0	46	47	6		53	47		81	3	16
RPLP1	73	26	1		51	49		95	1	5
RPLP2	56	42	2		41	59		98	1	1
RPN1	8	85	7		60	40		2	7	92
RPN2	11	85	4		65	35		1	26	73
RPP30	10	90	1		7	93		1	100	1
RPP38	82	18	1		1	100		1	100	1
RPRD1B	7	93	1		46	54		5	59	37
RPRD2	1	88	10		1	99		1	96	4
RPS10	48	51	1		50	50		79	6	14
RPS11	52	45	4		44	56		71	5	24
RPS12	92	5	3		50	50		67	12	21
RPS13	51	48	1		42	58		68	7	25
RPS14	74	25	1		46	54		63	16	21
RPS15	55	43	1		30	70		85	1	15
RPS15A	40	55	5		60	40		69	13	17
RPS16	58	40	2		61	39		66	13	21
RPS18	47	46	6		52	48		65	12	22
RPS19	68	28	3		48	52		73	10	17
RPS2	52	46	2		49	51		69	9	22
RPS20	75	23	2		46	54		71	4	24
RPS21	73	22	5		40	60		60	21	19
RPS23	49	43	8		54	46		65	2	33
RPS24	49	50	1		28	72		75	1	24
RPS25	46	50	3		38	62		62	21	18
RPS26	59	37	4		70	30		65	9	26
RPS27	60	35	5		71	29		90	1	9
RPS27A	33	58	9		39	61		33	47	21
RPS27L	67	32	1		69	31		69	16	15
RPS28	94	1	6		45	55		69	1	30
RPS3	52	44	3		1	100		71	9	20
RPS3A	47	50	3		49	51		54	15	31
RPS4X	48	49	2		41	59		67	13	20
RPS5	40	58	3		44	56		72	8	20
RPS6	45	54	1		41	59		75	6	19
RPS6KA1	75	25	1		91	9		88	1	12
RPS6KA3	75	25	1		98	2		84	1	16
RPS7	50	45	5		55	45		64	14	22
RPS8	53	45	2		36	64		85	2	13
RPS9	50	48	2		35	65		67	6	27
RPSA	44	55	2		56	44		65	8	28
RPTOR	100	1	1		40	60		99	1	1
RQCD1	52	47	1		27	73		71	1	28
RRAGC	76	23	1		47	53		50	1	50
RRAS2	9	66	24		36	64		46	4	50
RRBP1	8	35	58		16	84		1	11	89
RRM1	66	34	1		93	7		85	1	15
RRP1	1	100	1		1	100		1	100	1
RRP12	5	95	1		1	100		9	78	13
RRP15	1	100	1		1	100		1	99	1
RRP1B	1	100	1		1	100		1	100	1
RRP7A	1	100	1		1	100		1	100	1
RRP9	43	56	1		1	100		1	99	1
RRS1	1	99	1		1	100		1	100	1
RSU1	30	69	1		81	19		88	1	11
RTF1	90	5	5		12	88		29	32	40
RTN1	26	66	8		100	1		1	100	1
RTN3	19	78	3		100	1		3	9	88
RTN4	30	65	5		100	1		1	28	72
RUVBL1	58	42	1		30	70		56	22	23
RUVBL2	34	66	1		30	70		67	16	17
RXRB	1	95	5		62	38		100	1	1
S100A11	73	27	1		99	1		80	10	9
SAAL1	46	54	1		93	7		87	1	13
SACM1L	9	83	8		98	2		1	8	92
SAE1	69	31	1		100	1		68	1	32
SAFB	17	83	1		2	98		1	99	1
SAFB2	1	100	1		1	99		1	100	1
SAMM50	2	81	17		1	99		1	19	81
SARNP	9	91	1		5	95		12	79	9
SARS	68	32	1		97	3		92	1	7
SARS2	8	77	15		98	2		1	1	100
SART1	8	91	1		1	100		1	99	1
SART3	38	61	1		77	23		2	3	96
SBDS	91	6	2		45	55		70	1	29
SBNO1	82	16	2		100	1		51	1	49
SCAMP1	78	1	22		100	1		1	1	100
SCAMP2	33	59	8		99	1		1	1	100
SCAMP3	35	54	11		99	1		1	1	100
SCARB2	86	1	14		100	1		1	1	100
SCCPDH	1	1	100		95	5		1	1	100
SCFD1	13	83	4		78	22		45	1	55
SCO1	1	39	60		53	47		1	1	100
SCO2	1	49	51		100	1		1	100	1
SCP2	50	3	47		99	1		4	11	86
SCRIB	5	71	24		60	40		53	1	47
SCYL1	22	78	1		91	9		80	1	20
SCYL2	53	39	8		44	56		94	1	6
SDAD1	10	89	1		1	100		1	100	1
SDCBP	33	33	33		100	1		14	3	83
SDF2L1	17	50	32		78	22		1	50	50
SDHA	1	62	36		93	7		3	97	1
SDHB	1	31	69		88	12		1	3	96
SDHC	1	89	11		87	13		1	1	100
SEC11A	8	89	3		81	19		4	21	75
SEC11C	4	92	4		93	7		1	1	100
SEC13	24	75	1		62	38		67	14	19
SEC22B	6	89	5		94	6		6	13	81
SEC23A	56	38	5		96	4		88	1	12
