Gene	Cyt Carvalho	Nucl Carvalho	Mit Carvalho
CHN1	68	32	1
CHORDC1	88	11	1
CHP2	1	88	12
CHPF2	1	100	1
CHTF18	20	79	1
CHTOP	2	98	1
CHUK	80	20	1
CIAO1	76	24	1
CIAPIN1	89	8	3
CIR1	1	100	1
CIRBP	37	63	1
CIRH1A	6	94	1
CISD1	6	71	23
CISD2	12	86	2
CIT	1	100	1
CKAP4	12	74	14
CKAP5	4	94	2
CLASP1	13	87	1
CLASP2	25	74	1
CLCC1	2	94	4
CLDN18	1	51	49
CLIC1	62	38	1
CLIC2	24	73	3
CLIC4	53	46	2
CLINT1	74	21	5
CLIP1	5	88	7
CLIP2	60	37	3
CLK3	13	87	1
CLN3	1	78	22
CLN6	1	99	1
CLNS1A	83	17	1
CLP1	1	100	1
CLPB	2	17	81
CLPP	1	66	34
CLPTM1	1	91	9
CLPTM1L	7	90	3
CLPX	12	30	58
CLTA	64	15	21
CLTB	66	27	7
CLTC	38	56	6
CLTCL1	1	93	7
CLYBL	1	96	4
CMAS	1	100	1
CMC2	1	1	100
CMPK1	87	13	1
CMTM6	9	89	2
CMTR2	1	100	1
CNBP	98	1	2
CNDP2	77	22	1
CNIH1	1	100	1
CNIH4	19	80	1
CNOT1	66	32	2
CNOT10	45	54	1
CNOT11	48	51	1
CNOT3	100	1	1
CNOT7	100	1	1
CNP	5	76	19
CNPY2	31	61	8
CNPY3	1	57	43
CNPY4	1	87	13
CNTNAP1	2	87	11
COA4	1	1	100
COA7	2	13	85
COASY	94	6	1
COG1	1	100	1
COG2	52	46	2
COG3	35	65	1
COG4	63	37	1
COG5	75	24	1
COG7	48	52	1
COG8	80	20	1
COIL	1	100	1
COL16A1	24	18	58
COL4A3BP	94	6	1
COMMD1	100	1	1
COMMD2	88	12	1
COMMD3	100	1	1
COMMD4	59	41	1
COMMD5	100	1	1
COMMD8	43	57	1
COMMD9	79	21	1
COMT	12	87	2
COMTD1	1	54	46
COPA	42	56	2
COPB1	42	57	1
COPB2	50	49	2
COPE	47	52	1
COPG2	33	33	33
COPS2	62	38	1
COPS3	41	59	1
COPS4	57	42	1
COPS5	65	34	1
COPS6	49	51	1
COPS7A	82	17	1
COPS7B	74	26	1
COPS8	1	100	1
COPZ1	32	66	1
COQ3	1	85	15
COQ5	2	28	70
COQ6	4	12	84
COQ7	6	53	41
COQ9	1	46	54
CORO1A	36	58	6
CORO1C	37	55	8
CORO7	49	41	10
COX11	1	27	73
COX15	2	81	17
COX17	14	1	86
COX4I1	1	71	29
COX5A	6	45	49
COX5B	7	13	79
COX6B1	1	70	30
COX6C	1	70	30
COX7A2	1	90	10
COX7A2L	1	11	89
COX8A	1	23	77
CPD	1	98	2
CPNE1	98	2	1
CPNE3	57	43	1
CPNE4	68	32	1
CPOX	17	11	73
CPPED1	86	14	1
CPS1	1	98	2
CPSF1	1	99	1
CPSF2	18	82	1
CPSF3	28	72	1
CPSF3L	1	100	1
CPSF4	9	91	1
CPSF6	1	99	1
CPSF7	1	99	1
CPT2	1	46	54
CR2	4	72	24
CRADD	100	1	1
CREG1	27	72	1
CRELD2	14	64	22
CRK	100	1	1
CRKL	100	1	1
CRLF3	96	2	2
CRNKL1	1	100	1
CROCC	10	60	30
CRTAP	5	94	2
CRYZ	85	9	7
CS	2	67	30
CSDE1	78	19	3
CSE1L	44	56	1
CSK	28	71	1
CSNK1A1	32	68	1
CSNK2A1	21	79	1
CSNK2A2	27	72	1
CSNK2B	14	85	1
CSRP1	23	50	27
CSRP2	1	1	100
CSTB	100	1	1
CSTF1	5	95	1
CSTF2	33	66	1
CSTF2T	24	75	1
CSTF3	10	90	1
