Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
Q6UXZ3	CD300LD			PM	PM				
Q8TDQ1	CD300LF	PM	PM	PM	PM				
Q6UXG3	CD300LG								
Q8IX05	CD302								
Q9NPF0	CD320						cytosol		
P20138	CD33	PM	PM	PM	PM				
P28906	CD34								
P16671	CD36								
P11049	CD37			PM	PM				
P28907	CD38	PM		PM			PM		PM
P04234	CD3D								
P07766	CD3E			PM	PM				
O15446	CD3EAP								
P09693	CD3G			PM	PM				
P01730	CD4					PM			
P25942	CD40	PM		PM					PM
P29965	CD40LG								
P16070	CD44								
P15529	CD46						PM		
Q08722	CD47	PM	PM	PM	PM				PM
P09326	CD48	PM	PM	PM	PM				
P06127	CD5	PM	PM	PM	PM				
P31358	CD52			PM	PM				
P19397	CD53								
P08174	CD55	PM		PM					PM
P19256	CD58	PM	PM	PM	PM				
P13987	CD59						Golgi		
O43866	CD5L								
P30203	CD6								
P08962	CD63								
P34810	CD68					Golgi			
Q07108	CD69			PM	PM				
P09564	CD7			PM	PM				
P32970	CD70								
P21854	CD72			PM	PM				
P04233	CD74						Golgi		
P11912	CD79A			PM	PM				
P40259	CD79B			PM	PM				
P33681	CD80			PM	PM				
P60033	CD81	PM		PM					PM
P27701	CD82			PM	PM				
Q01151	CD83			PM	PM				
Q9UIB8	CD84	PM	PM	PM	PM				
P42081	CD86			PM	PM				
P01732	CD8A								
P10966	CD8B								
A6NJW9	CD8BP	PM	PM	PM	PM				
P21926	CD9			PM	PM	PM			
Q9NPY3	CD93								
P40200	CD96			PM	PM				
P48960	CD97						cytosol		
P14209	CD99						Golgi		
Q8TCZ2	CD99L2								
P32320	CDA						Nucleus		
Q9BWV3	CDADC1								
Q8IWY9	CDAN1								
O75794	CDC123	cytosol	cytosol	cytosol	cytosol				
Q9UNH5	CDC14A								
O60729	CDC14B			nucleus	Nucleus	Nucleus			
A4D256	CDC14C								
Q13042	CDC16								
Q12834	CDC20			CS	CS				
Q86Y33	CDC20B								
Q9UJX2	CDC23								
P30304	CDC25A								
P30305	CDC25B			CS	CS				
P30307	CDC25C			Nucleus	Nucleus	Nucleus			
Q8NHZ8	CDC26			Nucleus	Nucleus	Nucleus			
P30260	CDC27			Nucleus	Nucleus	Nucleus			
P49427	CDC34								
Q16543	CDC37	Cytosol	cytosol	Cytosol	cytosol	cytosol		Cytosol	Cytosol
