Uniprot.Accession	Gene	Christoforou_UniprotGO_overlap3	Uni_GO_overlap4	Christoforou_UniprotGO_sum5	Uniprot_GO_SUM6	HPA_Single_supportive7	HPA_Single_uncertain8	svm9	Christoforou10
Q6PIL6	KCNIP4								
P48048	KCNJ1	PM	PM	PM	PM				
P78508	KCNJ10			PM	PM				
Q14654	KCNJ11								
Q14500	KCNJ12	PM	PM	PM	PM				
O60928	KCNJ13			PM	PM				
Q9UNX9	KCNJ14						Nucleus		
Q99712	KCNJ15			PM	PM				
Q9NPI9	KCNJ16	PM	PM	PM	PM				
B7U540	KCNJ18	PM	PM	PM	PM				
P63252	KCNJ2								
P48549	KCNJ3			PM	PM				
P48050	KCNJ4								
P48544	KCNJ5			PM	PM				
P48051	KCNJ6								
Q15842	KCNJ8								
Q92806	KCNJ9			PM	PM				
O00180	KCNK1								
P57789	KCNK10			PM	PM				
Q9HB15	KCNK12			PM	PM				
Q9HB14	KCNK13			PM	PM				
Q9H427	KCNK15			PM	PM				
Q96T55	KCNK16			PM	PM				
Q96T54	KCNK17			PM	PM				
Q7Z418	KCNK18	PM	PM	PM	PM				
O95069	KCNK2								
O14649	KCNK3			PM	PM				
Q9NYG8	KCNK4	PM	PM	PM	PM				
O95279	KCNK5			PM	PM		Nucleus		
Q9Y257	KCNK6			PM	PM		CS		
Q9Y2U2	KCNK7			PM	PM				
Q9NPC2	KCNK9			PM	PM				
Q12791	KCNMA1			PM	PM				
Q16558	KCNMB1			PM	PM				
Q9Y691	KCNMB2			PM	PM				
Q9NPA1	KCNMB3			PM	PM				
Q86W47	KCNMB4			PM	PM		cytosol		
Q92952	KCNN1								
Q9H2S1	KCNN2								
Q9UGI6	KCNN3						Nucleus		
O15554	KCNN4			PM	PM		Nucleus		
P51787	KCNQ1								
Q9H478	KCNQ1DN								
O43526	KCNQ2						ER		
O43525	KCNQ3								
P56696	KCNQ4			PM	PM				
Q9NR82	KCNQ5			PM	PM				
Q8N5I3	KCNRG	ER	ER	ER	ER				
Q96KK3	KCNS1			PM	PM				
Q9ULS6	KCNS2			PM	PM				
Q9BQ31	KCNS3			PM	PM				
Q5JUK3	KCNT1			PM	PM				
Q6UVM3	KCNT2			PM	PM				
A8MYU2	KCNU1	PM	PM	PM	PM				
Q6PIU1	KCNV1	PM	PM	PM	PM				
Q8TDN2	KCNV2	PM	PM	PM	PM				
Q6ZWJ8	KCP								
Q8NC54	KCT2								
Q719H9	KCTD1	Nucleus	Nucleus	Nucleus	Nucleus				
Q9H3F6	KCTD10			Nucleus	Nucleus				
Q693B1	KCTD11			cytosol	cytosol		Nucleus		
Q96CX2	KCTD12								
Q8WZ19	KCTD13	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q9BQ13	KCTD14								
Q96SI1	KCTD15								
Q68DU8	KCTD16								
Q8N5Z5	KCTD17			cytosol	cytosol				
Q6PI47	KCTD18						Mitochondrion		
Q17RG1	KCTD19								
Q14681	KCTD2								
Q7Z5Y7	KCTD20	CS	CS	CS	CS				
Q4G0X4	KCTD21						cytosol		
Q9Y597	KCTD3						cytosol		
Q8WVF5	KCTD4						CS		
Q9NXV2	KCTD5								
Q8NC69	KCTD6								
Q96MP8	KCTD7								
Q6ZWB6	KCTD8								
Q7L273	KCTD9								
Q6UW63	KDELC1	ER	ER	ER	ER				ER
Q7Z4H8	KDELC2	ER	ER	ER	ER				
P24390	KDELR1								
P33947	KDELR2			ER	ER				
O43731	KDELR3	ER	ER	ER	ER				
Q8NAX2	KDF1	PM		PM	CS				PM
O60341	KDM1A	Nucleus		Nucleus	Nucleus			Nucleus	Nucleus
Q8NB78	KDM1B	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q9Y2K7	KDM2A	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
Q8NHM5	KDM2B	Nucleus	Nucleus	nucleus	Nucleus				Nucleus
Q9Y4C1	KDM3A					Nucleus			
Q7LBC6	KDM3B	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
O75164	KDM4A			Nucleus	Nucleus	Nucleus			
O94953	KDM4B			Nucleus	Nucleus				
Q9H3R0	KDM4C	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q6B0I6	KDM4D	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
B2RXH2	KDM4E	Nucleus	Nucleus	Nucleus	Nucleus				
P29375	KDM5A	Nucleus		nucleus					Nucleus
Q9UGL1	KDM5B	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
P41229	KDM5C	Nucleus	Nucleus	Nucleus	Nucleus				
Q9BY66	KDM5D	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
O15550	KDM6A	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
O15054	KDM6B	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q6ZMT4	KDM7A	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q8N371	KDM8	Nucleus	Nucleus	Nucleus	Nucleus				
P35968	KDR						Nucleus		
Q06136	KDSR	ER	ER	ER	ER				ER
Q14145	KEAP1								
P23276	KEL			PM	PM				
O60938	KERA								
Q4VXA5	KHDC1								
Q5JSQ8	KHDC1L								
Q587J8	KHDC3L								
Q07666	KHDRBS1	Nucleus		Nucleus		Nucleus			Nucleus
Q5VWX1	KHDRBS2	Nucleus	Nucleus	Nucleus	Nucleus				
O75525	KHDRBS3			Nucleus	Nucleus	Nucleus			
P50053	KHK						cytosol		
O15037	KHNYN								
Q92945	KHSRP	Nucleus		Nucleus		Nucleus			Nucleus
Q15397	KIAA0020	Nucleus		nucleus		Nucleus		Nucleus	Nucleus
Q15053	KIAA0040						Nucleus		
Q14695	KIAA0087								
Q14667	KIAA0100	ER		ER					ER
Q15004	KIAA0101								
Q9NZY2	KIAA0125								
Q14154	KIAA0141	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
Q12767	KIAA0195			Nucleus	Nucleus	Nucleus			
Q12768	KIAA0196	Endosome		Endosome				Endosome	Endosome
Q92622	KIAA0226								
Q9H714	KIAA0226L					cytosol			
Q92628	KIAA0232						cytosol		
Q92537	KIAA0247								
Q5VV43	KIAA0319			PM	PM				
Q8IZA0	KIAA0319L								
O15063	KIAA0355						Nucleus		
O15091	KIAA0391	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q6ZU52	KIAA0408						CS		
Q9Y4F3	KIAA0430	Peroxisome	Peroxisome	Peroxisome	Peroxisome	Golgi			
O60268	KIAA0513	cytosol	cytosol	cytosol	cytosol				
O60303	KIAA0556								
Q9BVV6	KIAA0586	CS	CS	CS	CS				
Q2KHM9	KIAA0753	CS	CS	CS	CS	CS			
O94854	KIAA0754			PM	PM				
Q8IV33	KIAA0825								
Q8NCT3	KIAA0895								
Q68EN5	KIAA0895L								
Q7Z7F0	KIAA0907	Nucleus		Nucleus	Nucleus		Nucleus		Nucleus
A2VDJ0	KIAA0922								
Q6ICG6	KIAA0930								
Q9UPX6	KIAA1024						Golgi		
P59773	KIAA1024L								
Q2M389	KIAA1033	Endosome		Endosome	endosome	Nucleus		Endosome	Endosome
Q9UPV7	KIAA1045								
Q9UPP5	KIAA1107								
Q2LD37	KIAA1109			Nucleus	Nucleus				
Q96AT1	KIAA1143								
Q6NSJ0	KIAA1161			Nucleus	Nucleus		Nucleus		
Q96A73	KIAA1191	cytosol	cytosol	cytosol	cytosol		Nucleus		
Q9ULL0	KIAA1210								
Q6ZU35	KIAA1211								
Q6NV74	KIAA1211L						CS		
Q5T5P2	KIAA1217	cytosol	cytosol	cytosol	cytosol				
Q9ULG3	KIAA1257								
Q96EK5	KIAA1279			CS	CS				
Q6UXG2	KIAA1324								
A8MWY0	KIAA1324L								
Q86T90	KIAA1328								
Q9P2H0	KIAA1377	CS	CS	CS	CS				
Q8NCU4	KIAA1407						Mitochondrion		
Q69YN4	KIAA1429	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		Nucleus
Q9P2B7	KIAA1430								
Q8N9K7	KIAA1456								
Q9P272	KIAA1456								
Q9P266	KIAA1462	CS	CS	CS	CS				
A2RU67	KIAA1467						ER		
Q9P260	KIAA1468								
Q9P206	KIAA1522	PM		PM					PM
Q8TCG1	KIAA1524								
Q9HCM3	KIAA1549								
Q6ZVL6	KIAA1549L								
Q9HCM1	KIAA1551	Nucleus		Nucleus					Nucleus
Q9HCI6	KIAA1586								
A0MZ66	KIAA1598			CS	CS				
Q5VZ46	KIAA1614								
Q3SXP7	KIAA1644								
Q9BY89	KIAA1671						CS		
Q9H0B3	KIAA1683								
Q9C0D2	KIAA1731	CS	CS	CS	CS				
Q96MC4	KIAA1731NL			CS	CS				
Q9C0B2	KIAA1751	CS	CS	CS	CS				
Q5JYT7	KIAA1755								
Q6NSI8	KIAA1841						Nucleus		
A6NE52	KIAA1875								
Q8N8K9	KIAA1958								
Q0VF49	KIAA2012								
Q8IYS2	KIAA2013								
Q68DE3	KIAA2018			Nucleus	Nucleus				
Q5QGS0	KIAA2022								
Q5HYC2	KIAA2026								
Q9ULH0	KIDINS220						Nucleus		
P52732	KIF11			CS	CS	cytosol			
Q96FN5	KIF12	CS	CS	CS	CS				
Q9H1H9	KIF13A								
Q9NQT8	KIF13B			CS	CS				
Q15058	KIF14					cytosol			
Q9NS87	KIF15								
Q96L93	KIF16B						Mitochondrion		
Q9P2E2	KIF17			CS	CS				
Q8NI77	KIF18A					CS			
Q86Y91	KIF18B								
Q2TAC6	KIF19	CS	CS	CS	CS				
Q12756	KIF1A	CS	CS	CS	CS				
O60333	KIF1B								
O43896	KIF1C			CS	CS				
O95235	KIF20A	Nucleus		Nucleus		Nucleus			Nucleus
Q96Q89	KIF20B	Nucleus		nucleus					Nucleus
Q7Z4S6	KIF21A	CS	CS	CS	CS				
O75037	KIF21B	CS	CS	CS	CS				
Q14807	KIF22	Nucleus		Nucleus				Nucleus	Nucleus
Q02241	KIF23						Nucleus		
Q5T7B8	KIF24	CS	CS	CS	CS				
Q9UIL4	KIF25	CS	CS	CS	CS				
Q9Y6Z4	KIF25-AS1								
Q9ULI4	KIF26A	CS	CS	CS	CS				
Q2KJY2	KIF26B	CS	CS	CS	CS				
Q86VH2	KIF27	CS	CS	CS	CS				
B7ZC32	KIF28P	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion				
O00139	KIF2A								
Q8N4N8	KIF2B								
Q99661	KIF2C	Nucleus		Nucleus					Nucleus
Q9Y496	KIF3A	CS	CS	CS	CS				
O15066	KIF3B			CS	CS				
O14782	KIF3C	CS	CS	CS	CS				
O95239	KIF4A					Nucleus			
Q2VIQ3	KIF4B					Nucleus			
Q12840	KIF5A								
P33176	KIF5B			CS	CS	CS			
O60282	KIF5C	CS	CS	CS	CS				
Q6ZMV9	KIF6			CS	CS		CS		
Q2M1P5	KIF7			CS	CS				
Q9HAQ2	KIF9	CS	CS	CS	CS		Nucleus		
Q92845	KIFAP3								
Q9BW19	KIFC1	Nucleus		Nucleus			CS		Nucleus
Q96AC6	KIFC2	CS	CS	CS	CS				
Q9BVG8	KIFC3								
O60870	KIN	Nucleus		Nucleus		Nucleus			Nucleus
P43626	KIR2DL1	PM	PM	PM	PM				
P43627	KIR2DL2	PM	PM	PM	PM				
P43628	KIR2DL3	PM	PM	PM	PM				
Q99706	KIR2DL4	PM	PM	PM	PM				
Q8N109	KIR2DL5A	PM	PM	PM	PM				
Q8NHK3	KIR2DL5B	PM	PM	PM	PM				
Q14954	KIR2DS1	PM	PM	PM	PM				
P43631	KIR2DS2	PM	PM	PM	PM				
Q14952	KIR2DS3	PM	PM	PM	PM				
P43632	KIR2DS4	PM	PM	PM	PM				
Q14953	KIR2DS5	PM	PM	PM	PM				
P43629	KIR3DL1	PM	PM	PM	PM				
P43630	KIR3DL2	PM	PM	PM	PM				
Q8N743	KIR3DL3	PM	PM	PM	PM				
A8MWS1	KIR3DP1								
Q14943	KIR3DS1	PM	PM	PM	PM				
Q9H7L2	KIR3DX1								
Q96J84	KIRREL	PM		PM	PM				PM
Q6UWL6	KIRREL2	PM	PM	PM	PM				PM
Q8IZU9	KIRREL3								
Q8N7Y1	KIRREL3-AS3								
Q15726	KISS1								
Q969F8	KISS1R			PM	PM	PM			
P10721	KIT	PM		PM					PM
P21583	KITLG								
Q2M2Z5	KIZ	CS	CS	CS	CS				
Q9UEF7	KL								
Q86Z14	KLB	PM	PM	PM	PM				
Q07866	KLC1								
Q9H0B6	KLC2			CS	CS				
Q6P597	KLC3			CS	CS				
Q9NSK0	KLC4	CS	CS	CS	CS				
Q13351	KLF1			Nucleus	Nucleus				
Q13118	KLF10	Nucleus	Nucleus	Nucleus	Nucleus				
O14901	KLF11	Nucleus	Nucleus	Nucleus	Nucleus				
Q9Y4X4	KLF12			Nucleus	Nucleus				
Q9Y2Y9	KLF13	Nucleus	Nucleus	Nucleus	Nucleus				
Q8TD94	KLF14	Nucleus	Nucleus	Nucleus	Nucleus				
Q9UIH9	KLF15	Nucleus	Nucleus	Nucleus	Nucleus				
Q9BXK1	KLF16	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q5JT82	KLF17	Nucleus	Nucleus	Nucleus	Nucleus				
Q9Y5W3	KLF2	Nucleus	Nucleus	Nucleus	Nucleus				
P57682	KLF3	Nucleus	Nucleus	Nucleus	Nucleus				
O43474	KLF4	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
Q13887	KLF5	Nucleus		Nucleus	Nucleus				Nucleus
Q99612	KLF6	Nucleus	Nucleus	Nucleus	Nucleus				
O75840	KLF7	Nucleus	Nucleus	Nucleus	Nucleus		Golgi		
O95600	KLF8	Nucleus	Nucleus	Nucleus	Nucleus				
Q13886	KLF9			Nucleus	Nucleus				
Q8N7A1	KLHDC1	cytosol	cytosol	cytosol	cytosol	cytosol			
Q6PID8	KLHDC10						Nucleus		
Q9Y2U9	KLHDC2	Nucleus	Nucleus	Nucleus	Nucleus				
Q9BQ90	KLHDC3					Nucleus			
Q8TBB5	KLHDC4					Nucleus			
Q5VTJ3	KLHDC7A						Nucleus		
Q96G42	KLHDC7B								
Q8IYD2	KLHDC8A								
Q8IXV7	KLHDC8B			cytosol	cytosol	cytosol			
Q8NEP7	KLHDC9						Nucleus		
Q9NR64	KLHL1			CS	CS				
Q6JEL2	KLHL10	cytosol	cytosol	cytosol	cytosol				
Q9NVR0	KLHL11								
Q53G59	KLHL12								
Q9P2N7	KLHL13								
Q9P2G3	KLHL14								
Q96M94	KLHL15								
Q6TDP4	KLHL17						Nucleus		
O94889	KLHL18						Nucleus		
O95198	KLHL2			CS	CS				
Q9Y2M5	KLHL20								
Q9UJP4	KLHL21			CS	CS	CS			
Q53GT1	KLHL22								
Q8NBE8	KLHL23								
Q6TFL4	KLHL24	CS	CS	CS	CS				
Q9H0H3	KLHL25			cytosol	cytosol				
Q53HC5	KLHL26								
Q9NXS3	KLHL28						cytosol		
Q96CT2	KLHL29								
Q9UH77	KLHL3	CS	CS	CS	CS				
Q0D2K2	KLHL30						CS		
Q8NEE0	KLHL30-AS1								
Q9H511	KLHL31								
Q96NJ5	KLHL32								
A6NCF5	KLHL33			CS	CS				
Q8N239	KLHL34								
Q6PF15	KLHL35								
Q8N4N3	KLHL36								
Q2WGJ6	KLHL38								
Q9C0H6	KLHL4	CS	CS	CS	CS				
Q2TBA0	KLHL40			CS	CS				
O60662	KLHL41								
Q9P2K6	KLHL42								
Q96PQ7	KLHL5	CS	CS	CS	CS				
Q8WZ60	KLHL6								
Q8IXQ5	KLHL7			Nucleus	Nucleus				
Q9P2G9	KLHL8			Nucleus	Nucleus	Nucleus			
Q9P2J3	KLHL9								
P06870	KLK1			Nucleus	Nucleus				
O43240	KLK10								
Q9UBX7	KLK11			Golgi	Golgi				
Q9UKR0	KLK12								
Q9UKR3	KLK13								
Q9P0G3	KLK14								
Q9H2R5	KLK15								
P20151	KLK2								
P07288	KLK3								
Q9Y5K2	KLK4								
Q9Y337	KLK5						cytosol		
Q92876	KLK6								
P49862	KLK7								
O60259	KLK8								
Q9UKQ9	KLK9								
P03952	KLKB1								
Q107X0	KLKP1								
B2CW77	KLLN	Nucleus	Nucleus	Nucleus	Nucleus	Nucleus			
Q12918	KLRB1			PM	PM				
P26715	KLRC1			PM	PM				
P26717	KLRC2			PM	PM				
Q07444	KLRC3								
O43908	KLRC4								
Q13241	KLRD1			PM	PM				
Q9NZS2	KLRF1			PM	PM				
D3W0D1	KLRF2	PM	PM	PM	PM				
Q96E93	KLRG1	PM	PM	PM	PM				
A4D1S0	KLRG2								
P26718	KLRK1			PM	PM				
O15229	KMO			Mitochondrion	Mitochondrion				
Q03164	KMT2A	Nucleus		Nucleus					Nucleus
Q9UMN6	KMT2B	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q8NEZ4	KMT2C	Nucleus	Nucleus	Nucleus	Nucleus				
O14686	KMT2D	Nucleus	Nucleus	Nucleus	Nucleus				Nucleus
Q8IZD2	KMT2E								
A6PVL3	KNCN								
Q76NI1	KNDC1								
P01042	KNG1								
Q1ED39	KNOP1	Nucleus	Nucleus	nucleus	Nucleus			Nucleus	Nucleus
Q9Y448	KNSTRN					CS			
P50748	KNTC1	Cytosol		Cytosol					Cytosol
P52294	KPNA1								
P52292	KPNA2								
O00505	KPNA3								
O00629	KPNA4					Nucleus			
O15131	KPNA5			cytosol	cytosol	cytosol			
O60684	KPNA6								
A9QM74	KPNA7			Nucleus	Nucleus				
Q14974	KPNB1								
Q5T749	KPRP	cytosol	cytosol	cytosol	cytosol				
Q9Y664	KPTN								
P01116	KRAS	PM		PM					PM
A5PL33	KRBA1								
Q6ZNG9	KRBA2						Nucleus		
C9JBD0	KRBOX1								
Q5JUW0	KRBOX4								
Q9NPI7	KRCC1								
Q96MU8	KREMEN1								
Q8NCW0	KREMEN2			PM	PM		Nucleus		
Q8N9T8	KRI1	Nucleus		Nucleus	Nucleus	Nucleus			Nucleus
O00522	KRIT1	PM		PM					PM
Q13601	KRR1	Nucleus		nucleus		Nucleus		Nucleus	Nucleus
P04264	KRT1			PM	PM				
P13645	KRT10								
Q99456	KRT12			CS	CS				
P13646	KRT13					CS			
P02533	KRT14								
P19012	KRT15								
P08779	KRT16								
Q04695	KRT17	cytosol	cytosol	cytosol	cytosol				
P05783	KRT18					cytosol			
P08727	KRT19					CS			
P35908	KRT2								
P35900	KRT20	cytosol	cytosol	cytosol	cytosol	CS			
Q8N1A0	KRT222			CS	CS				
Q9C075	KRT23			CS	CS				
Q2M2I5	KRT24			CS	CS		CS		
Q7Z3Z0	KRT25	cytosol	cytosol	cytosol	cytosol				
Q7Z3Y9	KRT26			CS	CS				
Q7Z3Y8	KRT27	cytosol	cytosol	cytosol	cytosol				
Q7Z3Y7	KRT28	cytosol	cytosol	cytosol	cytosol				
P12035	KRT3			CS	CS				
Q15323	KRT31			CS	CS				
Q14532	KRT32			CS	CS				
O76009	KRT33A			CS	CS				
Q14525	KRT33B			CS	CS				
O76011	KRT34			CS	CS				
Q92764	KRT35			CS	CS				
O76013	KRT36			CS	CS				
O76014	KRT37			CS	CS				
O76015	KRT38			CS	CS				
Q6A163	KRT39			CS	CS				
P19013	KRT4								
Q6A162	KRT40			CS	CS				
P13647	KRT5								
P02538	KRT6A								
P04259	KRT6B			CS	CS		cytosol		
P48668	KRT6C			CS	CS				
P08729	KRT7			cytosol	cytosol				
Q3SY84	KRT71	CS	CS	CS	CS				
Q14CN4	KRT72			CS	CS				
Q86Y46	KRT73								
Q7RTS7	KRT74			CS	CS				
O95678	KRT75			CS	CS				
Q01546	KRT76								
Q7Z794	KRT77			CS	CS				
Q8N1N4	KRT78			CS	CS				
Q5XKE5	KRT79			CS	CS				
P05787	KRT8								
Q6KB66	KRT80			CS	CS				
Q14533	KRT81			CS	CS				
Q9NSB4	KRT82			CS	CS				
P78385	KRT83			CS	CS				
Q9NSB2	KRT84			CS	CS				
P78386	KRT85			CS	CS				
O43790	KRT86			CS	CS		cytosol		
A6NCN2	KRT87P			CS	CS				
P35527	KRT9								
Q07627	KRTAP1-1			CS	CS				
Q8IUG1	KRTAP1-3			CS	CS				
P0C5Y4	KRTAP1-4			CS	CS				
Q9BYS1	KRTAP1-5			CS	CS				
P60331	KRTAP10-1			CS	CS				
P60014	KRTAP10-10			CS	CS				
P60412	KRTAP10-11			CS	CS				
P60413	KRTAP10-12			CS	CS				
P60368	KRTAP10-2			CS	CS				
P60369	KRTAP10-3			CS	CS				
P60372	KRTAP10-4			CS	CS				
P60370	KRTAP10-5			CS	CS				
P60371	KRTAP10-6			CS	CS				
P60409	KRTAP10-7			CS	CS				
P60410	KRTAP10-8			CS	CS				
P60411	KRTAP10-9			CS	CS				
Q8IUC1	KRTAP11-1			CS	CS				
P59990	KRTAP12-1			CS	CS				
P59991	KRTAP12-2			CS	CS				
P60328	KRTAP12-3			CS	CS				
P60329	KRTAP12-4			CS	CS				
Q8IUC0	KRTAP13-1			CS	CS				
Q52LG2	KRTAP13-2			CS	CS				
Q3SY46	KRTAP13-3			CS	CS				
Q3LI77	KRTAP13-4			CS	CS				
Q3LI76	KRTAP15-1			CS	CS				
A8MUX0	KRTAP16-1			CS	CS				
Q9BYP8	KRTAP17-1			CS	CS				
Q8IUB9	KRTAP19-1			CS	CS				
Q3LHN2	KRTAP19-2			CS	CS				
Q7Z4W3	KRTAP19-3			CS	CS				
Q3LI73	KRTAP19-4			CS	CS				
Q3LI72	KRTAP19-5			CS	CS				
Q3LI70	KRTAP19-6			CS	CS				
Q3SYF9	KRTAP19-7			CS	CS				
Q3LI54	KRTAP19-8			CS	CS				
Q9BYU5	KRTAP2-1			CS	CS				
Q9BYT5	KRTAP2-2			CS	CS				
P0C7H8	KRTAP2-3			CS	CS				
Q9BYR9	KRTAP2-4			CS	CS				
Q3LI63	KRTAP20-1			CS	CS				
Q3LI61	KRTAP20-2			CS	CS				
Q3LI60	KRTAP20-3			CS	CS				
Q3LI62	KRTAP20-4			CS	CS				
Q3LI58	KRTAP21-1			CS	CS				
Q3LI59	KRTAP21-2			CS	CS				
Q3LHN1	KRTAP21-3			CS	CS				
Q3MIV0	KRTAP22-1			CS	CS				
Q3LI68	KRTAP22-2			CS	CS				
A1A580	KRTAP23-1			CS	CS				
Q3LI83	KRTAP24-1			CS	CS				
Q3LHN0	KRTAP25-1			CS	CS				
Q6PEX3	KRTAP26-1			CS	CS				
Q3LI81	KRTAP27-1			CS	CS				
A8MX34	KRTAP29-1			CS	CS				
Q9BYR8	KRTAP3-1			CS	CS				
Q9BYR7	KRTAP3-2			CS	CS				
Q9BYR6	KRTAP3-3			CS	CS				
Q9BYQ7	KRTAP4-1			CS	CS				
Q9BYQ6	KRTAP4-11			CS	CS				
Q9BQ66	KRTAP4-12			CS	CS				
Q9BYR5	KRTAP4-2			CS	CS				
Q9BYR4	KRTAP4-3			CS	CS				
Q9BYR3	KRTAP4-4			CS	CS				
Q9BYR2	KRTAP4-5			CS	CS				
Q9BYQ5	KRTAP4-6			CS	CS				
Q9BYR0	KRTAP4-7			CS	CS				
Q9BYQ9	KRTAP4-8			CS	CS				
Q9BYQ8	KRTAP4-9			CS	CS				
Q6L8H4	KRTAP5-1			CS	CS				
Q6L8G5	KRTAP5-10			CS	CS				
Q6L8G4	KRTAP5-11			CS	CS				
Q701N4	KRTAP5-2			CS	CS				
Q6L8H2	KRTAP5-3			CS	CS				
Q6L8H1	KRTAP5-4			CS	CS				
Q701N2	KRTAP5-5			CS	CS				
Q6L8G9	KRTAP5-6			CS	CS				
Q6L8G8	KRTAP5-7			CS	CS				
O75690	KRTAP5-8			CS	CS				
P26371	KRTAP5-9			CS	CS				
Q3LI64	KRTAP6-1			CS	CS				
Q3LI66	KRTAP6-2			CS	CS				
Q3LI67	KRTAP6-3			CS	CS				
Q8IUC3	KRTAP7-1			CS	CS				
Q8IUC2	KRTAP8-1			CS	CS				
A8MXZ3	KRTAP9-1			CS	CS				
Q9BYQ4	KRTAP9-2			CS	CS				
Q9BYQ3	KRTAP9-3			CS	CS				
Q9BYQ2	KRTAP9-4			CS	CS				
A8MVA2	KRTAP9-6			CS	CS				
A8MTY7	KRTAP9-7			CS	CS				
Q9BYQ0	KRTAP9-8			CS	CS				
Q9BYP9	KRTAP9-9			CS	CS				
Q8N6L1	KRTCAP2	ER		ER	ER				ER
Q53RY4	KRTCAP3								
P60985	KRTDAP								
Q8IVT5	KSR1								
Q6VAB6	KSR2								
Q96EK9	KTI12								
Q86UP2	KTN1	ER		ER		ER			ER
Q86SY8	KTN1-AS1								
Q9BQD3	KXD1								
Q8NBH2	KY	CS	CS	CS	CS		Nucleus		
Q16719	KYNU			cytosol	cytosol				
P32004	L1CAM								
Q9UN81	L1RE1								
Q5T7N2	L1TD1								
Q9H9P8	L2HGDH	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion		Mitochondrion	Mitochondrion
Q96EM0	L3HYPDH								
Q9Y468	L3MBTL1								
Q969R5	L3MBTL2	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		Nucleus
Q96JM7	L3MBTL3	Nucleus	Nucleus	Nucleus	Nucleus				
Q8NA19	L3MBTL4	Nucleus	Nucleus	Nucleus	Nucleus				
Q8IV20	LACC1								
Q8WV93	LACE1			Mitochondrion	Mitochondrion				
Q9GZZ8	LACRT								
P83111	LACTB	Mitochondrion		Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q53H82	LACTB2			Mitochondrion	Mitochondrion				
A8MY62	LACTBL1								
O00515	LAD1						CS		
P18627	LAG3			PM	PM				
Q14657	LAGE3	Nucleus	Nucleus	Nucleus	Nucleus		Nucleus		
Q6GTX8	LAIR1	PM	PM	PM	PM	PM			
Q6ISS4	LAIR2								
P00709	LALBA			Golgi	Golgi				
P25391	LAMA1								
P24043	LAMA2								
Q16787	LAMA3								
Q16363	LAMA4								
O15230	LAMA5								
P07942	LAMB1								
P55268	LAMB2								
Q13751	LAMB3								
A4D0S4	LAMB4								
P11047	LAMC1						ER		
Q13753	LAMC2						cytosol		
Q9Y6N6	LAMC3								
P11279	LAMP1								
P13473	LAMP2	Lysosome		Lysosome			CS		Lysosome
Q9UQV4	LAMP3								
Q9UJQ1	LAMP5					cytosol			
Q6IAA8	LAMTOR1	Lysosome		Lysosome					Lysosome
Q9Y2Q5	LAMTOR2			lysosome	lysosome				
Q9UHA4	LAMTOR3	Lysosome		Lysosome					Lysosome
Q0VGL1	LAMTOR4			lysosome	lysosome				
O43504	LAMTOR5								
O43813	LANCL1						CS		
Q9NS86	LANCL2								
Q6ZV70	LANCL3								
P28838	LAP3	Mitochondrion		Mitochondrion	cytosol				Mitochondrion
Q15012	LAPTM4A			Golgi	Golgi		cytosol		
Q86VI4	LAPTM4B								
Q13571	LAPTM5			lysosome	lysosome				
O95461	LARGE	Golgi	Golgi	Golgi	Golgi				
Q6PKG0	LARP1	ribosome		ribosome	cytosol				Ribosome
Q659C4	LARP1B			Nucleus	Nucleus				
Q71RC2	LARP4					cytosol			
Q92615	LARP4B					cytosol			
Q9BRS8	LARP6						CS		
Q4G0J3	LARP7			Nucleus	Nucleus				
Q9P2J5	LARS			cytosol	cytosol				
Q15031	LARS2	Mitochondrion	Mitochondrion	Mitochondrion	Mitochondrion			Mitochondrion	Mitochondrion
Q9Y4W2	LAS1L	Nucleus		nucleus					Nucleus
Q8IYD9	LAS2					Nucleus			
Q14847	LASP1	CS	CS	CS	CS				
O43561	LAT			PM	PM		Nucleus		
Q9GZY6	LAT2			PM	PM				
O95835	LATS1								
Q9NRM7	LATS2					CS			
Q8IWV1	LAX1			PM	PM				
Q6UX15	LAYN						cytosol		
Q53QV2	LBH								
P18428	LBP								
