Gene	Rodriguez_Pineiro_1	Rodriguez_Pineiro_2	Rodriguez_Pineiro_3	Rodriguez_Pineiro_4	Rodriguez_Pineiro_5	Rodriguez_Pineiro_6	Rodriguez_Pineiro_7	Rodriguez_Pineiro_8	Rodriguez_Pineiro_9	Rodriguez_Pineiro_10	Rodriguez_Pineiro_11		Cyt Andreyev	Nucl Andreyev	Microsomes Andreyev	PM Andreyev	ER Andreyev	Mito Andreyev		Cyt Carvalho	Nucl Carvalho	Mit Carvalho		Cyt Boisvert	Nucl Boisvert	Nucleolus Boisvert		Cyt Pinto	Nucl Pinto	Tot Pinto		Cyt Choi	Nucl Choi	Pellet Choi	Nucl soluble Choi		Cyt Mulvey	Nucl Mulvey	Total Mulvey		cyt Bileck	Nucl Bileck		Cyt Thakar	Nucl Thakar	TOT Thakar		Cyt Larance	Nucleus Larance	Cytoskeleton Larance	Membrane Larance
PSMC1	152	44	4	1	1	1	1	1	1	1	1		108	64	16	8	1	4		63	37	1		68	28	4		14	7	79		100	1	1	1		1	1	1		93	7		73	1	26		78	1	1	21
PSMC2	160	38	1	1	1	1	1	1	1	1	1		128	42	20	8	1	1		59	40	1		65	33	1		11	1	88		100	1	1	1		32	27	42		95	5		63	1	36		79	1	1	20
PSMC3	160	38	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		68	32	1		67	32	1		26	5	69		82	10	1	8		23	25	52		95	5		64	6	31		65	1	2	32
PSMC4	152	48	1	1	1	1	1	1	1	1	1		104	58	26	10	1	1		69	29	1		58	40	1		12	2	85		100	1	1	1		1	1	1		95	5		66	1	33		65	1	1	34
PSMC5	166	34	1	1	1	1	1	1	1	1	1		106	50	28	10	1	4		74	25	1		67	31	1		14	6	80		100	1	1	1		24	15	62		94	6		65	2	33		64	1	1	35
PSMC6	118	80	1	1	1	1	1	1	1	1	1		108	66	14	6	1	4		75	25	1		63	35	1		17	3	79		81	19	1	1		31	16	53		92	8		76	1	24		81	1	1	18
PSMD1	186	14	1	1	1	1	1	1	1	1	1		102	46	38	12	1	1		53	47	1		64	32	4		21	1	77		91	9	1	1		60	31	9		95	5		74	1	26		65	1	1	33
PSMD11	178	22	1	1	1	1	1	1	1	1	1		120	48	24	4	1	4		47	53	1		54	45	1		14	4	82		76	15	1	9		18	12	70		97	3		69	2	29		65	1	1	34
PSMD12	162	38	1	1	1	1	1	1	1	1	1		110	66	12	8	1	4		52	48	1		61	37	1		6	1	94		76	16	1	8		40	18	42		95	5		68	1	32		79	1	1	21
PSMD13	144	56	1	1	1	1	1	1	1	1	1		84	30	38	46	1	1		48	52	1		65	33	1		10	6	84		95	5	1	1		52	40	8		93	7		1	100	1		59	1	1	41
PSMD2	164	28	4	1	1	1	1	1	1	1	1		124	22	46	6	1	1		56	44	1		69	29	1		9	1	91		70	10	12	8		43	23	35		96	4		76	1	23		75	1	1	24
PSMD3	182	18	1	1	1	1	1	1	1	1	1		90	58	42	6	1	1		60	39	1		34	54	12		7	1	93		63	26	1	11		65	27	8		97	3		86	2	13		65	1	1	34
PSMD5	180	18	1	1	1	1	1	1	1	1	1		124	24	52	1	1	1		66	32	2		80	17	3		12	2	85		92	8	1	1		66	7	27		100	1		77	1	22		88	1	1	12
PSMD6	142	58	1	1	1	1	1	1	1	1	1		100	42	54	6	1	1		48	52	1		68	30	1		18	3	79		88	8	1	4		63	37	1		90	10		59	3	38		1	1	1	1
PSMD7	154	44	1	1	1	1	1	1	1	1	1		92	60	20	1	14	10		45	55	1		73	25	1		51	13	36		86	14	1	1		28	14	58		94	6		77	1	23		70	1	1	28
PSMD8	168	30	1	1	1	1	1	1	1	1	1		84	82	22	12	1	1		44	56	1		64	33	3		40	6	53		100	1	1	1		28	14	58		91	9		65	10	24		65	1	1	35
PSME2	1	1	1	1	1	1	1	1	1	1	1		102	78	14	6	1	1		60	40	1		80	19	1		81	9	11		100	1	1	1		40	4	56		97	3		86	1	14		79	1	1	21
PSME4	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		95	5	1		38	40	22		12	1	88		100	1	1	1		100	1	1		100	1		70	1	30		41	1	1	59
RNH1	154	1	1	10	1	1	1	30	1	1	6		134	40	22	1	1	1		69	31	1		87	11	1		13	3	84		46	21	24	9		37	9	54		99	1		78	1	22		80	1	1	20
SGTA	1	1	1	1	1	1	1	1	1	1	1		120	44	34	1	1	1		63	36	1		30	20	50		95	2	3		100	1	1	1		37	16	46		99	1		80	1	20		81	1	1	19
ST13	112	76	1	1	1	8	1	1	1	1	1		156	30	6	1	6	1		75	25	1		85	14	1		1	1	1		100	1	1	1		1	1	1		97	3		75	1	24		72	1	1	27
TPMT	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		63	37	1		1	1	1		1	1	100		1	1	1	1		100	1	1		100	1		66	1	34		1	1	1	1
TXNL1	184	14	1	1	1	1	1	1	1	1	1		116	62	18	1	1	1		64	36	1		24	25	51		73	13	15		100	1	1	1		35	14	51		97	3		75	1	25		74	1	1	26
UCHL3	1	1	1	1	1	1	1	1	1	1	1		146	32	22	1	1	1		90	10	1		92	6	1		46	13	41		100	1	1	1		27	5	68		100	1		96	1	4		98	1	1	2
GPI	82	80	22	1	1	4	4	1	1	1	1		172	16	6	1	4	1		66	33	1		89	9	1		62	9	29		100	1	1	1		56	7	37		100	1		91	1	9		89	1	1	10
PNP	134	52	1	1	1	1	6	4	1	1	4		1	1	1	1	1	1		64	36	1		88	10	1		96	1	3		100	1	1	1		51	4	45		99	1		1	1	1		89	1	1	11
PSME1	196	4	1	1	1	1	1	1	1	1	1		118	72	10	1	1	1		53	47	1		75	23	1		89	6	6		100	1	1	1		33	6	60		100	1		86	1	14		89	1	1	11
SMS	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		62	38	1		95	3	1		35	3	62		100	1	1	1		43	5	52		100	1		82	1	18		98	1	1	2
TXNRD1	1	1	1	1	1	1	1	98	102	1	1		164	10	26	1	1	1		67	33	1		94	5	1		93	4	3		100	1	1	1		47	6	47		98	2		100	1	1		87	1	1	13
AARS	152	16	10	1	1	1	1	4	1	1	10		140	34	24	1	1	1		70	30	1		92	6	1		33	4	63		100	1	1	1		49	6	45		100	1		81	1	18		88	1	1	12
ASNS	1	1	1	1	1	1	1	1	1	1	1		134	6	34	18	6	1		72	28	1		94	4	1		45	2	53		100	1	1	1		80	20	1		80	20		39	1	61		95	1	1	4
CRBN	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		1	1	1		1	1	1		1	1	1	1		1	1	1		95	5		100	1	1		1	1	1	1
IMPA1	1	1	1	1	1	1	1	1	1	1	1		140	52	8	1	1	1		92	8	1		91	4	4		95	1	4		1	1	1	1		70	19	10		100	1		85	1	15		95	1	1	5
MRI1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		86	14	1		91	8	1		32	10	58		1	1	1	1		38	1	62		100	1		81	1	19		99	1	1	1
PGAM1	56	130	1	1	1	1	1	10	1	1	4		168	16	8	1	4	1		72	27	1		92	6	1		93	4	3		100	1	1	1		1	1	1		98	2		87	1	13		90	1	1	10
PGM1	1	1	1	1	1	1	1	1	1	1	1		156	22	22	1	1	1		72	28	1		94	5	1		35	1	65		100	1	1	1		47	1	53		99	1		89	1	10		92	1	1	8
PGP	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		99	1	1		94	3	3		23	13	64		1	1	1	1		82	2	16		100	1		79	1	21		83	1	1	17
PPME1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		70	29	1		90	9	1		8	1	92		1	1	1	1		40	4	55		100	1		73	1	27		94	1	1	6
RPE	1	1	1	1	1	1	1	1	1	1	1		172	10	18	1	1	1		100	1	1		1	1	1		1	5	95		1	1	1	1		1	1	1		100	1		72	1	28		83	1	1	17
SRM	1	1	1	1	1	1	1	1	1	1	1		154	20	12	4	1	12		68	32	1		92	6	1		16	3	82		100	1	1	1		47	4	49		100	1		68	1	32		94	1	1	6
UAP1L1	1	1	1	1	1	1	1	1	1	1	1		164	6	28	1	1	1		1	1	1		97	1	1		60	1	40		1	1	1	1		100	1	1		100	1		100	1	1		100	1	1	1
UBA6	1	1	1	1	1	1	1	1	1	1	1		154	16	30	1	1	1		76	23	1		75	22	3		17	1	82		100	1	1	1		54	5	41		100	1		77	1	23		98	1	1	2
ACY1	130	1	1	1	1	1	1	26	12	1	32		1	1	1	1	1	1		88	12	1		89	1	10		1	12	88		1	1	1	1		1	1	1		100	1		75	1	25		97	1	1	3
ATIC	170	1	1	6	1	24	1	1	1	1	1		1	1	1	1	1	1		71	29	1		94	5	1		51	3	46		100	1	1	1		37	7	56		98	2		84	1	16		86	1	1	14
FKBP4	106	88	1	1	4	1	1	1	1	1	1		142	10	10	26	14	1		73	27	1		79	18	3		65	9	26		100	1	1	1		63	9	28		97	3		86	1	13		85	1	1	14
GART	1	1	1	1	1	1	1	1	1	1	1		152	14	32	4	1	1		72	27	1		94	5	1		39	1	60		100	1	1	1		91	9	1		99	1		83	1	17		93	1	1	7
ITPA	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		73	27	1		90	9	1		9	3	88		100	1	1	1		57	4	39		99	1		77	1	23		96	1	1	4
IVNS1ABP	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		85	14	1		1	1	1		1	1	1	1		1	1	1		100	1		100	1	1		1	1	1	1
NRD1	1	1	1	1	1	1	1	1	1	1	1		110	50	40	1	1	1		90	10	1		83	9	8		45	1	54		100	1	1	1		66	11	23		100	1		78	1	22		98	1	1	2
NUDT3	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		47	1	51		84	1	16		1	1	1	1		100	1	1		99	1		94	1	6		97	1	1	3
PBK	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		56	31	13		75	22	3		1	1	1		1	1	1	1		93	7	1		1	1		75	1	25		1	1	1	1
PHGDH	66	58	26	4	10	10	10	4	6	1	4		164	20	6	4	1	4		67	33	1		88	10	1		13	5	82		85	15	1	1		65	10	26		98	2		87	1	12		78	1	7	15
PPA1	1	1	1	1	1	1	1	1	1	1	1		128	8	64	1	1	1		66	34	1		93	6	1		86	5	9		100	1	1	1		45	5	50		100	1		73	1	26		88	1	1	12
PPP4R1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		100	1	1		91	7	1		1	1	1		1	1	1	1		65	7	27		100	1		82	1	18		96	1	1	4
PSMG1	200	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		53	47	1		82	17	1		95	1	4		100	1	1	1		73	27	1		100	1		80	1	20		82	1	1	18
RABGGTA	1	1	1	1	1	1	1	1	1	1	1		146	54	1	1	1	1		98	2	1		1	1	1		1	1	100		1	1	1	1		100	1	1		99	1		96	1	4		1	1	1	1
TBCB	1	1	1	1	1	1	1	1	1	1	1		152	14	34	1	1	1		84	8	8		92	6	1		52	2	46		100	1	1	1		47	10	44		100	1		87	1	13		94	1	1	6
TSN	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		59	41	1		85	14	1		90	4	6		100	1	1	1		41	6	53		98	2		77	1	23		72	1	1	27
TUBA4A	92	62	1	8	6	12	12	1	1	1	8		116	34	14	1	18	16		1	1	1		91	7	1		1	1	1		53	16	21	10		1	1	100		90	10		85	1	15		74	1	14	12
TUBB2B	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		65	35	1		1	98	1		1	1	1		51	11	23	15		83	1	17		86	14		100	1	1		87	1	3	11
TUBB4B	1	1	1	1	1	1	1	1	1	1	1		154	18	12	6	10	1		1	1	1		89	10	1		1	1	1		55	12	21	12		52	17	31		1	1		78	1	21		90	1	2	8
UBE2V1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		48	52	1		1	1	1		1	1	1		100	1	1	1		1	1	1		97	3		91	1	8		83	1	1	17
USP15	1	1	1	1	1	1	1	1	1	1	1		128	44	28	1	1	1		66	33	1		85	14	1		7	1	92		100	1	1	1		100	1	1		98	2		87	1	13		89	1	1	11
XPNPEP1	1	1	1	1	1	1	1	1	1	1	1		124	44	18	1	1	14		80	20	1		94	5	1		39	7	55		100	1	1	1		69	1	30		98	2		94	1	6		97	1	1	3
ATG3	1	1	1	1	1	1	1	1	1	1	1		146	32	24	1	1	1		99	1	1		88	10	1		72	7	21		100	1	1	1		49	1	51		100	1		87	1	13		100	1	1	1
ATOX1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		1	1	1		1	1	1		89	1	11		1	1	1	1		100	1	1		1	1		100	1	1		92	1	1	8
CTH	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		84	16	1		88	10	1		1	1	1		1	1	1	1		1	1	1		100	1		70	1	30		97	1	1	2
DBI	200	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		95	5	1		93	6	1		87	1	13		1	1	1	1		84	16	1		1	100		85	1	15		97	1	1	3
GLRX3	72	36	66	20	1	1	1	1	1	4	1		1	1	1	1	1	1		80	19	1		84	14	1		45	11	44		100	1	1	1		47	4	49		100	1		78	1	22		85	1	1	15
HERC4	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1		91	9	1		57	41	3		1	1	100		100	1	1	1		94	6	1		100	1		95	1	5		99	1	1	1
MTAP	1	1	1	1	1	1	1	1	1	1	1		152	32	16	1	1	1		1	1	1		90	9	1		1	1	1		100	1	1	1		39	2	59		100	1		82	1	17		92	1	1	8
