"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"HNRNPUL2"	1	67	32	1
"HOOK2"	61	1	1	39
"HOOK3"	100	1	1	1
"HP1BP3"	2	63	34	1
"HPCAL1"	95	1	1	4
"HPRT1"	91	1	1	9
"HPSE"	1	6	1	94
"HRAS"	1	1	1	99
"HRSP12"	19	5	1	76
"HS1BP3"	99	1	1	1
"HS2ST1"	1	26	69	5
"HSBP1"	92	1	1	8
"HSCB"	1	1	1	100
"HSD17B10"	1	2	5	92
"HSD17B11"	1	7	34	60
"HSD17B12"	1	1	1	99
"HSD17B4"	6	3	1	91
"HSD17B7"	1	1	1	100
"HSD17B8"	1	1	16	84
"HSDL1"	1	1	1	99
"HSDL2"	1	1	1	100
"HSF1"	58	12	1	30
"HSF2"	1	100	1	1
"HSP90AA1"	79	1	2	19
"HSP90AA2"	55	1	1	45
"HSP90AB1"	79	1	4	16
"HSP90B1"	1	3	8	90
"HSPA13"	1	1	1	99
"HSPA14"	85	1	1	15
"HSPA1A"	51	2	28	19
"HSPA1L"	1	1	1	100
"HSPA2"	64	36	1	1
"HSPA4"	74	1	1	26
"HSPA5"	1	2	15	83
"HSPA6"	87	1	9	4
"HSPA8"	63	2	10	25
"HSPA9"	1	3	13	84
"HSPB1"	79	1	5	16
"HSPB11"	93	1	1	7
"HSPB8"	91	1	2	7
"HSPBP1"	100	1	1	1
"HSPD1"	1	2	3	94
"HSPE1"	1	2	1	97
"HSPG2"	33	1	1	67
"HSPH1"	86	1	1	14
"HTATIP2"	1	1	1	99
"HTATSF1"	35	4	1	61
"HTRA2"	1	5	13	82
"HTT"	56	11	11	22
"HUWE1"	90	1	1	9
"HYOU1"	1	1	1	97
"HYPK"	92	1	1	8
"IAH1"	100	1	1	1
"IARS"	70	1	19	11
"IARS2"	1	1	1	100
"IBA57"	1	3	1	97
"ICT1"	1	23	1	77
"IDE"	97	1	1	2
"IDH1"	86	1	1	14
"IDH2"	1	1	1	100
"IDH3A"	1	1	2	97
"IDH3B"	1	1	1	99
"IDH3G"	1	1	1	99
"IDI1"	98	1	1	2
"IER3IP1"	1	1	1	100
"IFI16"	38	21	1	41
"IFIT5"	99	1	1	1
"IFT27"	94	1	1	6
"IGBP1"	99	1	1	1
"IGF2BP2"	31	6	7	56
"IGF2R"	4	4	3	89
"IGSF8"	1	1	1	100
"IK"	1	63	36	1
"IKBIP"	1	2	30	68
"IKBKAP"	98	1	1	2
"IKBKB"	51	1	49	1
"IKBKG"	100	1	1	1
"IL18"	87	1	2	11
"ILF2"	8	32	30	30
"ILF3"	7	22	34	37
"ILK"	79	1	1	20
"ILKAP"	71	1	1	29
"ILVBL"	1	1	1	100
"IMP3"	1	26	69	5
"IMP4"	1	34	65	1
"IMPA1"	95	1	1	5
"IMPAD1"	1	1	1	100
"IMPDH2"	77	1	4	19
"IMUP"	75	1	1	25
"INCENP"	1	44	29	27
"INF2"	66	7	9	17
"INPP5F"	34	49	1	17
"INPPL1"	94	1	1	6
"INTS1"	3	71	1	26
"INTS10"	1	85	1	15
"INTS12"	1	70	1	30
"INTS2"	1	68	1	32
"INTS3"	1	83	1	17
"INTS4"	27	40	1	33
"INTS5"	1	39	1	61
"INTS6"	1	88	1	12
"INTS7"	23	36	22	20
"IPO11"	93	1	1	7
"IPO4"	92	2	1	7
"IPO5"	89	1	1	10
"IPO7"	79	1	4	17
"IPO8"	74	1	1	26
"IPO9"	96	1	3	1
"IQGAP1"	69	1	3	27
"IQGAP3"	80	1	1	20
"IRAK1"	100	1	1	1
"IREB2"	81	1	1	19
"IRF2BP2"	1	1	1	100
"IRF2BPL"	21	1	1	79
"IRGQ"	100	1	1	1
"IRS1"	100	1	1	1
"ISCA1"	1	1	1	100
"ISCA2"	21	1	1	79
"ISCU"	5	1	1	95
"ISG15"	81	1	1	19
"ISG20L2"	38	22	40	1
"ISOC1"	94	1	1	6
"ISOC2"	1	1	1	100
"IST1"	96	1	1	3
"ISY1"	1	35	31	35
"ITGA2"	1	1	17	82
"ITGA3"	1	3	45	52
"ITGA5"	1	2	43	54
"ITGA6"	1	1	17	82
"ITGA7"	1	1	25	75
"ITGAV"	1	2	49	49
"ITGB1"	1	2	45	52
"ITGB1BP1"	26	6	1	68
"ITGB5"	1	1	17	82
"ITPA"	96	1	1	4
"ITPR3"	1	33	33	34
"ITPRIP"	32	1	1	68
"ITSN1"	60	1	1	39
"ITSN2"	16	1	17	67
"IVD"	1	1	1	100
"IWS1"	1	64	1	36
"JAGN1"	1	1	1	100
"JMJD1C"	1	1	1	100
"JMJD6"	14	1	1	86
"JUN"	1	82	1	18
"JUNB"	1	100	1	1
"JUND"	1	100	1	1
"KARS"	80	1	1	19
"KAT7"	1	76	24	1
"KATNAL1"	100	1	1	1
"KCNN4"	1	1	50	50
"KCT2"	1	1	1	100
"KCTD14"	47	36	1	17
"KCTD21"	97	1	1	3
"KDELC2"	1	1	1	100
"KDELR1"	1	5	53	41
"KDELR2"	1	15	1	85
"KDELR3"	1	50	1	50
"KDM1A"	2	28	3	67
"KDM2A"	1	86	10	3
"KDM3A"	28	18	54	1
"KDM3B"	23	1	1	77
"KDM5A"	1	100	1	1
"KDM5B"	10	40	50	1
"KDSR"	1	1	97	3
"KHDRBS1"	1	37	26	36
"KHDRBS3"	1	76	23	1
"KHSRP"	3	22	32	43
"KIAA0020"	1	34	66	1
"KIAA0101"	75	8	1	17
"KIAA0196"	91	1	1	9
"KIAA1033"	49	1	1	51
"KIAA1143"	100	1	1	1
"KIAA1161"	1	100	1	1
"KIAA1217"	57	1	35	8
"KIAA1279"	99	1	1	1
"KIAA1429"	1	65	1	35
"KIAA1522"	1	1	1	100
"KIAA1524"	99	1	1	1
"KIAA1598"	94	6	1	1
"KIAA1671"	1	26	56	18
"KIAA2013"	23	44	1	33
"KIDINS220"	35	2	52	12
"KIF11"	96	1	1	4
"KIF13B"	91	1	1	9
"KIF15"	98	1	1	1
"KIF18B"	1	67	1	33
"KIF1A"	94	1	1	6
"KIF1B"	100	1	1	1
"KIF1C"	75	1	1	25
"KIF20A"	7	45	18	29
"KIF20B"	1	39	53	8
"KIF21A"	100	1	1	1
"KIF22"	21	79	1	1
"KIF23"	6	2	64	27
"KIF2A"	67	1	1	32
"KIF2C"	61	3	1	35
"KIF3A"	65	1	30	4
"KIF3B"	100	1	1	1
"KIF4A"	7	16	1	77
"KIF5A"	27	67	1	6
"KIF5B"	85	1	1	15
"KIFC1"	22	27	7	44
"KIN"	1	31	1	69
"KIRREL"	1	1	66	34
"KLC1"	100	1	1	1
"KLC2"	92	1	1	8
"KLC4"	98	1	1	2
"KLF16"	1	37	14	49
"KMT2A"	29	37	1	33
"KMT2B"	55	11	1	34
"KNOP1"	1	36	30	34
"KNSTRN"	79	1	1	21
"KNTC1"	91	1	1	9
"KPNA1"	61	1	1	39
"KPNA2"	60	3	24	12
"KPNA3"	54	7	4	36
"KPNA4"	37	7	17	40
"KPNA6"	33	6	33	28
"KPNB1"	61	4	18	17
"KRAS"	1	1	1	100
"KRI1"	1	48	52	1
"KRR1"	1	34	66	1
"KRT1"	10	3	84	3
"KRT10"	15	2	83	1
"KRT17"	6	1	90	4
"KRT18"	1	1	1	100
"KRT19"	55	1	1	45
"KRT2"	29	5	67	1
"KRT71"	1	1	1	100
"KRT75"	1	1	100	1
"KRT77"	33	1	67	1
"KRT79"	4	1	96	1
"KRT8"	7	1	80	11
"KRT80"	34	1	65	1
"KRT81"	94	1	2	4
"KRT82"	54	1	34	13
"KRT9"	33	1	67	1
"KTN1"	1	8	16	76
"L1CAM"	30	2	47	20
"L2HGDH"	1	33	1	67
"LACTB"	1	41	26	33
"LACTB2"	50	1	1	50
"LAGE3"	82	1	1	18
"LAMB1"	1	1	1	100
"LAMB3"	1	1	19	80
"LAMC1"	1	1	1	100
"LAMP1"	1	8	2	90
"LAMP2"	1	1	1	99
"LAMTOR1"	1	9	60	29
"LAMTOR2"	1	37	16	47
"LAMTOR3"	1	17	56	27
"LAMTOR4"	13	9	51	28
"LAMTOR5"	84	9	1	7
"LANCL1"	78	1	1	22
"LANCL2"	97	1	1	2
"LAP3"	77	1	1	23
"LARP1"	57	1	33	9
"LARP4"	30	3	1	67
"LARP6"	47	1	1	52
"LARP7"	22	7	1	71
"LARS"	86	1	1	14
"LARS2"	1	1	1	100
"LAS1L"	1	39	60	1
"LASP1"	78	1	1	22
"LAT2"	1	93	1	7
"LAYN"	1	1	1	100
"LBR"	1	12	28	59
"LCLAT1"	1	1	1	100
"LCMT1"	100	1	1	1
"LCP1"	88	1	1	11
"LDHA"	77	1	2	21
"LDHAL6A"	41	1	1	59
"LDHB"	83	1	2	14
"LDLR"	1	1	1	100
"LEMD2"	1	27	63	10
"LEMD3"	1	1	1	99
"LEO1"	7	74	6	13
"LEPRE1"	1	15	19	66
"LEPREL1"	1	2	1	98
"LEPREL2"	1	8	1	91
"LEPREL4"	1	7	1	93
"LETM1"	1	5	1	95
"LGALS1"	11	1	66	21
"LGALS3"	48	3	20	30
"LGALS3BP"	1	2	1	97
"LGALS8"	1	34	65	1
"LGALSL"	98	1	1	2
"LGMN"	1	2	4	93
"LHPP"	50	1	1	50
"LIG1"	71	1	1	29
"LIG3"	1	41	3	56
"LIG4"	65	35	1	1
"LIMA1"	1	40	55	4
"LIMCH1"	89	1	1	11
"LIMD2"	100	1	1	1
"LIMS1"	85	1	1	14
"LIN7A"	35	7	1	58
"LIN7B"	34	54	1	12
"LIN7C"	6	11	4	78
"LLGL1"	36	1	1	64
"LLPH"	8	42	2	48
"LMAN1"	1	1	6	92
"LMAN2"	1	3	3	94
"LMAN2L"	7	1	1	93
"LMCD1"	98	1	1	2
"LMF2"	1	1	1	100
"LMNA"	1	25	69	5
"LMNB1"	1	27	72	1
"LMNB2"	1	26	71	3
"LNPEP"	1	3	1	97
"LOH12CR1"	22	1	1	78
"LONP1"	1	7	1	93
"LPCAT1"	1	19	1	80
"LPCAT3"	1	1	1	100
"LPIN1"	98	1	1	2
"LPP"	99	1	1	1
"LRCH3"	64	1	1	35
"LRP1"	4	1	3	93
"LRPAP1"	1	4	1	96
"LRPPRC"	1	11	23	66
"LRRC1"	1	2	1	98
"LRRC20"	97	1	1	3
"LRRC40"	100	1	1	1
"LRRC47"	79	1	1	20
"LRRC59"	1	5	23	72
"LRRC8A"	1	1	1	99
"LRRC8C"	28	1	1	72
"LRRC8E"	1	1	1	100
"LRRFIP2"	57	28	1	15
"LRSAM1"	100	1	1	1
"LRWD1"	1	69	1	31
"LSG1"	1	2	1	98
"LSM1"	67	2	1	32
"LSM12"	56	1	1	44
"LSM14A"	1	1	1	100
"LSM2"	42	37	8	13
"LSM3"	61	10	1	29
"LSM4"	36	42	1	22
"LSM5"	17	2	1	80
"LSM6"	49	13	1	37
"LSM7"	62	5	1	33
"LSM8"	33	37	1	29
"LSR"	1	1	66	34
"LSS"	1	1	1	100
"LTA4H"	94	1	1	6
"LTN1"	96	1	1	4
"LUC7L"	28	11	1	61
"LUC7L2"	15	24	28	33
"LUC7L3"	1	49	48	2
"LUM"	50	1	1	50
"LUZP1"	33	2	27	38
"LYAR"	1	56	28	16
"LYN"	1	30	33	36
"LYPLA1"	89	1	1	10
"LYPLA2"	96	1	1	4
"LYPLAL1"	64	1	1	36
"LYRM2"	1	1	3	97
"LYRM4"	1	5	1	95
"LYRM7"	1	2	1	98
"LYSMD2"	100	1	1	1
"LZIC"	92	1	1	8
"LZTFL1"	99	1	1	1
"M6PR"	25	4	1	71
"MACROD1"	1	1	1	99
"MAD1L1"	2	12	1	85
"MAD2L1"	88	1	3	8
"MAD2L2"	1	17	1	83
"MAEA"	13	1	28	59
"MAFF"	2	61	37	1
"MAFG"	1	99	1	1
"MAFK"	1	100	1	1
"MAGEA1"	94	1	2	4
"MAGEA4"	80	1	1	18
"MAGEB1"	72	1	11	17
"MAGEB2"	69	6	1	25
"MAGEC1"	67	1	27	6
"MAGED1"	35	2	32	32
"MAGED2"	59	1	11	29
"MAGOH"	33	11	50	6
"MAGOHB"	51	17	28	4
"MAGT1"	1	7	9	83
"MAK16"	1	39	61	1
"MALSU1"	1	40	1	60
"MAN1B1"	1	1	1	100
"MAN2A1"	3	17	19	61
"MAN2B1"	1	1	1	99
"MANF"	1	6	3	91
"MAOA"	1	1	50	50
"MAP1A"	90	1	1	10
"MAP1B"	82	1	1	17
"MAP1LC3B"	47	2	2	49
"MAP1S"	94	1	1	6
"MAP2"	71	1	1	28
"MAP2K1"	78	1	1	21
"MAP2K2"	97	1	1	3
"MAP2K3"	98	1	1	2
"MAP2K4"	100	1	1	1
"MAP3K4"	47	2	1	51
"MAP3K7"	98	1	1	2
"MAP4"	85	1	1	15
"MAP4K5"	99	1	1	1
"MAPK1"	81	1	1	18
"MAPK14"	97	1	1	3
"MAPK1IP1L"	100	1	1	1
"MAPK3"	97	1	1	3
"MAPK8"	92	1	1	8
"MAPKAPK2"	100	1	1	1
"MAPKAPK3"	92	1	1	8
"MAPRE1"	88	1	1	12
"MAPRE2"	95	1	1	5
"MAPRE3"	65	1	1	34
"MARCH5"	1	1	1	100
"MARCKSL1"	13	1	1	86
"MARK1"	2	51	1	47
"MARK2"	94	1	1	5
"MARK3"	98	1	1	2
"MARS"	81	1	1	18
"MASTL"	33	1	1	67
"MAT2A"	77	1	1	23
"MAT2B"	68	1	1	32
"MATR3"	1	60	38	2
"MAVS"	1	9	16	74
"MAX"	1	77	21	2
"MB21D2"	100	1	1	1
"MBD2"	1	43	1	57
"MBD3"	1	1	1	99
"MBNL1"	25	29	24	22
"MBOAT7"	1	2	31	67
"MCAM"	1	3	38	59
"MCAT"	1	15	1	85
"MCCC1"	4	1	1	96
"MCCC2"	1	1	1	100
"MCEE"	1	2	1	98
"MCFD2"	1	2	1	98
"MCM2"	22	9	6	63
"MCM3"	20	13	8	58
"MCM3AP"	1	36	64	1
"MCM4"	18	7	19	56
"MCM5"	15	9	19	56
"MCM6"	26	10	19	45
"MCM7"	23	10	15	53
"MCMBP"	71	1	1	29
"MCTS1"	89	1	1	10
"MCU"	1	34	33	33
"MCUR1"	1	48	1	52
"MDC1"	1	34	1	64
"MDH1"	87	1	1	13
"MDH2"	1	1	1	98
"MDN1"	1	43	22	35
"MDP1"	77	3	1	20
"ME2"	1	1	12	88
"MEAF6"	1	99	1	1
"MECP2"	1	67	1	33
"MED1"	1	35	1	65
"MED11"	42	5	1	53
"MED12"	8	6	2	83
"MED15"	11	1	1	89
"MED16"	1	67	1	33
"MED18"	91	1	1	8
"MED20"	87	1	1	13
"MED22"	2	1	1	97
"MED23"	1	8	1	92
"MED24"	1	1	1	100
"MED31"	1	28	1	72
"MED4"	1	31	1	69
"MED6"	1	17	1	83
"MED8"	1	54	1	46
"MEF2D"	1	42	1	58
"MEMO1"	87	1	1	13
"MEN1"	1	100	1	1
"MEPCE"	1	1	1	99
"MESDC2"	1	2	1	98
"METAP1"	42	19	36	3
"METAP2"	94	1	1	6
"METTL1"	50	1	1	50
"METTL13"	71	1	1	29
"METTL15"	1	9	1	91
"METTL2A"	100	1	1	1
"METTL5"	89	1	1	11
"MFAP1"	1	44	56	1
"MFF"	1	1	1	100
"MFGE8"	1	1	1	100
"MFI2"	1	19	50	31
"MFN1"	50	1	1	50
"MFN2"	1	1	2	98
"MFSD10"	1	1	27	72
"MGEA5"	100	1	1	1
"MGME1"	1	1	1	99
"MGMT"	9	1	91	1
"MGST1"	1	12	1	88
"MGST3"	1	23	41	36
"MIA3"	1	1	1	100
"MIC13"	1	20	1	80
"MICAL2"	1	53	1	47
"MICALL1"	44	1	1	56
"MICALL2"	1	4	23	72
"MICU1"	1	37	28	35
"MIEN1"	87	1	1	13
"MIF"	78	1	1	21
"MINA"	17	36	10	37
"MINPP1"	1	1	1	100
"MIPEP"	1	1	1	100
"MISP"	19	11	65	5
"MKI67"	1	24	18	58
"MKL1"	100	1	1	1
"MKL2"	100	1	1	1
"MLEC"	1	2	25	72
"MLF2"	42	1	57	1
"MLH1"	18	3	1	79
"MLK4"	97	3	1	1
"MLLT11"	61	1	1	38
"MLLT4"	1	7	1	93
"MLST8"	54	1	33	13
"MMGT1"	1	4	1	96
"MMP14"	1	2	49	48
"MMS19"	70	15	1	15
"MMTAG2"	1	1	1	99
"MNAT1"	16	50	1	33
"MOB1A"	73	2	1	25
"MOB2"	100	1	1	1
"MOB4"	49	1	1	50
"MOCOS"	100	1	1	1
"MOCS2"	100	1	1	1
"MOGS"	1	10	4	87
"MON2"	85	1	1	15
"MORC2"	1	1	1	100
"MORF4L1"	1	82	1	18
"MORF4L2"	30	30	1	40
"MOV10"	52	3	3	42
"MP68"	1	1	1	99
"MPC2"	1	26	7	67
"MPDU1"	1	1	1	100
"MPG"	30	63	1	8
"MPHOSPH10"	1	26	66	8
"MPHOSPH6"	1	51	11	38
"MPHOSPH8"	1	100	1	1
"MPI"	86	1	1	14
"MPP2"	51	2	1	48
"MPP6"	1	11	37	51
"MPP7"	1	60	18	22
"MPRIP"	5	27	60	8
"MPST"	72	1	1	28
"MPV17"	1	100	1	1
"MPZL1"	1	2	32	66
"MRC2"	1	1	1	100
"MRE11A"	9	3	1	88
"MRFAP1"	41	31	1	28
"MRGBP"	13	77	1	11
"MRI1"	99	1	1	1
"MRM1"	1	2	1	98
"MRPL1"	1	22	11	68
"MRPL10"	1	37	1	63
"MRPL11"	1	16	12	72
"MRPL12"	1	18	21	61
"MRPL13"	1	9	13	77
"MRPL14"	1	16	20	64
"MRPL15"	1	25	8	67
"MRPL16"	1	25	1	75
"MRPL17"	1	4	17	79
"MRPL18"	1	29	1	71
"MRPL19"	1	25	1	74
"MRPL2"	1	7	21	72
"MRPL20"	1	9	1	91
"MRPL21"	1	19	14	68
"MRPL22"	1	18	11	71
"MRPL23"	1	5	33	62
"MRPL24"	1	6	29	65
"MRPL27"	1	2	24	74
"MRPL28"	1	21	10	69
"MRPL3"	1	7	20	73
"MRPL30"	1	20	1	80
"MRPL32"	1	14	1	86
"MRPL33"	1	2	7	91
"MRPL35"	1	28	1	72
"MRPL37"	1	13	22	65
"MRPL38"	1	12	25	62
"MRPL39"	1	7	25	68
"MRPL4"	1	17	14	69
"MRPL40"	1	25	1	75
"MRPL41"	1	14	24	62
"MRPL42"	1	6	1	94
"MRPL43"	1	43	2	54
"MRPL44"	1	7	32	61
"MRPL45"	1	10	10	80
"MRPL46"	1	17	1	82
"MRPL47"	1	13	10	77
"MRPL48"	1	3	1	96
"MRPL49"	1	24	9	67
"MRPL50"	1	28	1	72
"MRPL51"	1	7	1	93
"MRPL52"	1	20	1	80
"MRPL53"	1	32	1	68
"MRPL54"	1	2	1	98
"MRPL55"	1	15	1	84
"MRPL57"	1	7	22	71
"MRPL9"	1	27	9	64
"MRPS10"	1	17	1	83
"MRPS11"	1	30	1	70
"MRPS12"	1	7	1	93
"MRPS14"	1	6	1	94
"MRPS15"	1	27	1	71
"MRPS16"	1	12	1	88
"MRPS17"	1	4	1	96
"MRPS18A"	1	25	1	75
"MRPS18B"	1	10	18	72
"MRPS2"	1	6	10	84
"MRPS21"	1	2	30	68
"MRPS22"	1	8	18	74
"MRPS23"	1	3	22	75
"MRPS24"	1	6	1	93
"MRPS25"	1	3	32	65
"MRPS26"	1	9	1	91
"MRPS27"	1	13	20	67
"MRPS28"	1	8	28	65
"MRPS30"	1	37	1	63
"MRPS31"	6	13	12	69
"MRPS34"	1	8	21	71
"MRPS35"	1	12	9	79
"MRPS36"	3	1	1	96
"MRPS5"	1	8	18	74
"MRPS6"	1	13	1	87
"MRPS7"	1	12	1	88
"MRPS9"	1	9	15	76
"MRRF"	1	9	1	91
"MRTO4"	35	10	47	7
"MSH2"	58	2	1	40
"MSH3"	1	32	1	68
"MSH6"	49	1	1	49
"MSI2"	1	83	1	17
"MSL3"	1	52	1	48
"MSN"	57	4	2	37
"MSRA"	88	1	1	12
"MSRB3"	19	1	1	81
"MSTO1"	100	1	1	1
"MTA1"	1	7	1	93
"MTA2"	1	11	10	79
"MTA3"	1	1	1	100
"MTAP"	92	1	1	8
"MT-ATP6"	1	13	8	79
"MT-ATP8"	1	1	1	100
"MTCH1"	1	11	68	21
"MTCH2"	1	9	41	50
"MTCL1"	70	1	1	30
"MT-CO2"	1	17	36	47
"MT-CYB"	1	49	1	51
"MTDH"	1	5	1	95
"MTERF3"	1	37	3	61
"MTFP1"	1	27	30	43
"MTHFD1"	80	1	2	18
"MTHFD1L"	1	4	1	96
"MTHFD2"	1	6	6	89
"MTHFS"	49	1	1	51
"MTIF2"	1	6	1	94
"MTMR3"	33	1	1	67
"MTMR6"	95	1	1	5
"MT-ND4"	1	58	7	35
"MT-ND5"	1	67	1	33
"MTOR"	49	3	1	48
"MTPAP"	1	71	1	29
"MTPN"	95	1	1	5
"MTR"	100	1	1	1
"MTUS1"	98	1	1	2
"MTX1"	1	10	22	68
"MTX2"	1	33	46	21
"MTX3"	50	1	50	1
"MUC16"	1	80	1	20
"MUT"	1	1	1	100
"MVB12A"	92	1	1	8
"MVD"	88	1	1	12
"MVK"	98	1	1	2
"MVP"	68	1	17	14
"MXRA7"	1	1	1	100
"MXRA8"	1	1	2	98
"MYADM"	1	1	64	36
"MYBBP1A"	1	41	59	1
"MYC"	1	57	43	1
"MYCBP"	36	1	1	64
"MYEF2"	1	67	33	1
"MYH10"	70	1	24	6
"MYH14"	75	1	1	25
"MYH2"	20	80	1	1
"MYH9"	77	1	14	9
"MYL1"	100	1	1	1
"MYL12B"	52	1	36	10
"MYL6"	82	1	6	11
"MYL6B"	91	1	1	9
"MYL9"	40	1	33	26
"MYLK"	12	88	1	1
"MYO16"	34	31	35	1
"MYO18A"	40	34	5	21
"MYO18B"	14	19	1	67
"MYO19"	1	3	85	12
"MYO1A"	100	1	1	1
"MYO1B"	1	33	65	1
"MYO1D"	1	61	33	7
"MYO1E"	100	1	1	1
"MYO5A"	49	1	30	21
"MYO5B"	67	1	33	1
"MYO6"	32	7	61	1
"MYO9B"	93	1	1	7
"MYOF"	1	1	1	99
"MZT2A"	100	1	1	1
"MZT2B"	100	1	1	1
"N6AMT1"	100	1	1	1
"NAA10"	80	1	1	20
"NAA15"	96	1	1	4
"NAA20"	98	1	1	2
"NAA25"	96	1	1	4
"NAA35"	94	1	1	6
"NAA38"	94	1	1	6
"NAA40"	11	55	34	1
"NAA50"	95	1	1	5
"NABP1"	1	100	1	1
"NADK2"	1	1	1	100
"NADSYN1"	100	1	1	1
"NAE1"	90	1	1	10
"NAGA"	1	1	1	100
"NAGK"	96	1	1	3
"NAMPT"	92	1	1	8
"NANP"	100	1	1	1
"NANS"	67	1	1	33
"NAP1L1"	79	1	9	11
"NAPA"	3	3	1	93
"NAPG"	35	1	1	64
"NARS"	92	1	1	6
"NARS2"	1	1	1	100
"NASP"	59	1	1	40
"NAT10"	1	32	64	3
"NBAS"	28	1	1	71
"NBEAL2"	92	1	1	8
"NBN"	1	1	1	99
"NCAM1"	1	3	33	64
"NCAPD2"	76	1	1	24
"NCAPD3"	1	1	1	100
"NCAPG"	88	1	1	12
"NCAPG2"	1	1	1	100
"NCAPH"	79	1	1	21
"NCBP1"	3	12	34	52
"NCBP2"	8	35	12	45
"NCDN"	100	1	1	1
"NCEH1"	1	1	1	100
"NCKAP1"	81	2	1	18
"NCL"	19	17	25	39
"NCLN"	1	1	1	99
"NCOA5"	1	51	49	1
"NCOR1"	1	50	1	50
"NCOR2"	1	6	1	94
"NCS1"	25	1	1	74
"NCSTN"	1	3	34	64
"NDC1"	1	23	27	50
"NDC80"	69	1	2	29
"NDE1"	52	1	1	48
"NDN"	72	1	1	28
"NDNL2"	1	97	1	3
"NDRG1"	88	1	1	12
"NDRG2"	100	1	1	1
"NDRG3"	91	1	1	9
"NDUFA11"	1	67	1	33
"NDUFA12"	1	32	33	35
"NDUFA13"	1	31	32	37
"NDUFA2"	1	48	5	47
"NDUFA3"	1	10	33	56
"NDUFA4"	1	10	55	35
"NDUFA5"	1	13	30	57
"NDUFA6"	1	9	7	84
"NDUFA7"	1	62	1	37
"NDUFA8"	1	35	28	37
"NDUFA9"	1	20	61	19
"NDUFAB1"	1	18	1	82
"NDUFAF1"	1	67	1	33
"NDUFAF2"	13	11	1	75
"NDUFAF3"	1	13	1	87
"NDUFAF4"	1	21	4	75
"NDUFAF7"	1	1	1	100
"NDUFB1"	1	2	50	48
"NDUFB10"	1	31	30	39
"NDUFB11"	1	36	1	64
"NDUFB3"	1	11	28	60
"NDUFB4"	1	12	31	57
"NDUFB5"	1	48	1	52
"NDUFB6"	1	37	22	41
"NDUFB7"	1	27	7	66
"NDUFB8"	1	67	1	33
"NDUFB9"	1	14	47	39
"NDUFC2"	1	60	1	40
"NDUFS2"	1	24	37	39
"NDUFS3"	1	13	32	56
"NDUFS4"	1	33	33	34
"NDUFS5"	1	39	31	29
"NDUFS6"	1	18	33	49
"NDUFS7"	1	16	32	52
"NDUFS8"	1	32	32	36
"NDUFV1"	1	13	33	55
"NDUFV2"	1	8	24	68
"NECAP1"	94	1	1	6
"NECAP2"	86	1	1	14
"NEDD4"	100	1	1	1
"NEDD4L"	60	1	1	40
"NEDD8"	66	2	1	33
"NEFL"	1	1	69	30
"NEGR1"	1	14	46	41
"NEK7"	96	1	1	4
"NEK9"	95	1	1	5
"NELFA"	1	1	1	100
"NELFB"	31	1	1	69
"NELFCD"	9	1	1	91
"NELFE"	47	3	1	50
"NEMF"	100	1	1	1
"NENF"	1	1	1	99
"NES"	1	10	78	12
"NEU1"	1	2	26	72
"NEXN"	1	26	58	16
"NF1"	84	9	1	7
"NF2"	2	21	1	78
"NFAT5"	100	1	1	1
"NFATC2IP"	17	50	1	33
"NFIA"	1	100	1	1
"NFIC"	1	62	28	10
"NFKB1"	89	11	1	1
"NFKB2"	95	1	1	5
"NFKBIB"	100	1	1	1
"NFS1"	1	1	1	98
"NFU1"	1	1	1	100
"NFYA"	1	96	1	4
"NFYB"	1	79	1	21
"NFYC"	1	84	1	16
"NGDN"	1	24	76	1
"NHLRC2"	91	1	1	9
"NHP2"	1	46	50	4
"NHP2L1"	5	14	77	4
"NIF3L1"	73	1	1	27
"NIFK"	1	25	65	10
"NIN"	11	21	1	68
"NIP7"	1	51	49	1
"NIPBL"	30	57	1	13
"NIPSNAP1"	1	10	9	80
"NIPSNAP3A"	1	2	1	98
"NIT1"	68	1	31	1
"NIT2"	88	1	1	12
"NKRF"	1	40	45	15
"NLE1"	62	3	33	2
"NLN"	65	1	1	35
"NLRP2"	45	27	1	27
"NMD3"	93	1	1	7
"NME1"	74	1	1	26
"NME2"	79	1	1	21
"NME2P1"	100	1	1	1
"NME3"	61	1	4	35
"NME6"	1	11	1	89
"NME7"	70	1	1	30
"NMT1"	73	1	1	25
"NMT2"	100	1	1	1
"NNMT"	90	1	1	9
"NNT"	1	19	31	50
"NO66"	1	12	48	39
"NOA1"	1	1	1	100
"NOB1"	100	1	1	1
"NOC2L"	1	40	60	1
"NOC3L"	1	38	62	1
"NOC4L"	1	34	66	1
"NOL10"	1	35	65	1
"NOL11"	1	11	89	1
"NOL12"	1	67	2	31
"NOL6"	1	43	57	1
"NOL7"	1	29	66	5
"NOL8"	1	67	33	1
"NOL9"	1	45	54	1
"NOLC1"	1	14	14	72
"NOM1"	1	34	66	1
"NOMO1"	1	1	1	100
"NONO"	2	47	26	25
"NOP10"	1	29	61	9
"NOP14"	1	35	65	1
"NOP16"	6	17	51	26
"NOP56"	1	17	83	1
"NOP58"	1	32	67	1
"NOP9"	1	50	49	1
"NOSIP"	46	12	1	43
"NOTCH2"	1	3	33	64
"NOVA1"	1	67	33	1
"NOVA2"	1	33	50	17
"NPC1"	1	1	1	100
"NPC2"	1	2	1	98
