"Gene"	"Cyt.Larance"	"Nucleus.Larance"	"Cytoskeleton.Larance"	"Membrane.Larance"
"ASRGL1"	100	1	1	1
"ASS1"	94	1	1	6
"ASUN"	1	79	1	21
"ATAD1"	1	34	41	25
"ATAD2"	1	41	59	1
"ATAD3A"	1	14	56	30
"ATAD3B"	1	7	50	43
"ATE1"	98	1	1	2
"ATF1"	30	70	1	1
"ATF3"	1	100	1	1
"ATG3"	100	1	1	1
"ATG7"	100	1	1	1
"ATG9A"	14	6	1	80
"ATIC"	86	1	1	14
"ATL1"	1	1	1	100
"ATL2"	1	1	1	100
"ATL3"	1	1	1	99
"ATM"	17	27	1	57
"ATOX1"	92	1	1	8
"ATP1A1"	1	10	61	29
"ATP1B1"	1	8	50	42
"ATP1B3"	1	7	35	58
"ATP2A1"	52	1	1	48
"ATP2A2"	1	2	25	73
"ATP2B1"	4	4	50	43
"ATP2B4"	1	6	1	94
"ATP5A1"	1	4	18	78
"ATP5B"	1	2	18	80
"ATP5C1"	1	4	11	85
"ATP5D"	1	7	10	82
"ATP5EP2"	1	1	1	99
"ATP5F1"	1	3	20	77
"ATP5G3"	1	1	1	100
"ATP5H"	1	4	12	84
"ATP5I"	1	1	1	99
"ATP5J"	1	1	1	100
"ATP5J2"	1	1	1	100
"ATP5L"	1	3	1	97
"ATP5O"	1	1	21	77
"ATP5S"	3	1	6	91
"ATP6AP1"	1	1	10	90
"ATP6AP2"	1	1	31	69
"ATP6V0D1"	2	5	52	41
"ATP6V1A"	53	1	34	12
"ATP6V1B2"	71	1	25	4
"ATP6V1C1"	80	1	16	4
"ATP6V1D"	73	1	22	5
"ATP6V1E1"	82	1	11	6
"ATP6V1E2"	98	1	1	2
"ATP6V1G1"	42	1	54	3
"ATP6V1H"	54	1	46	1
"ATPIF1"	5	1	1	94
"ATR"	27	24	1	49
"ATXN10"	92	1	1	8
"ATXN2"	38	1	1	62
"ATXN2L"	83	1	1	17
"AUP1"	1	1	1	100
"AURKA"	1	6	1	94
"AURKB"	32	59	1	9
"AXL"	1	1	19	80
"B2M"	1	2	30	67
"B3GAT3"	1	13	33	54
"B4GALT1"	1	1	1	99
"BABAM1"	79	1	1	21
"BAD"	2	1	1	98
"BAG2"	26	3	49	22
"BAG3"	91	1	1	8
"BAG5"	100	1	1	1
"BAG6"	71	1	1	29
"BAIAP2"	8	7	1	85
"BAIAP2L1"	1	13	1	87
"BAK1"	1	42	50	9
"BANF1"	44	52	3	1
"BAX"	54	4	20	23
"BAZ1A"	1	100	1	1
"BAZ1B"	1	79	15	4
"BAZ2A"	10	90	1	1
"BCAM"	1	8	55	37
"BCAP29"	1	1	1	99
"BCAP31"	1	4	2	94
"BCAS2"	8	18	37	36
"BCAT1"	98	1	1	2
"BCAT2"	1	1	1	99
"BCCIP"	90	1	1	10
"BCKDHA"	1	12	1	88
"BCKDK"	1	67	1	33
"BCL10"	100	1	1	1
"BCL2L1"	14	7	1	79
"BCL2L13"	1	1	1	100
"BCL7B"	1	68	1	32
"BCL7C"	1	85	1	15
"BCLAF1"	1	32	35	33
"BCS1L"	1	9	24	67
"BDH2"	97	1	1	3
"BEND3"	1	100	1	1
"BET1"	1	1	1	99
"BET1L"	1	1	1	100
"BICD2"	64	1	1	36
"BID"	89	1	1	11
"BIN1"	44	1	2	55
"BIRC5"	1	100	1	1
"BIRC6"	99	1	1	1
"BLM"	65	1	1	35
"BLMH"	94	1	1	6
"BLOC1S1"	52	1	1	48
"BLOC1S2"	67	1	1	33
"BLOC1S3"	96	1	1	4
"BLOC1S5"	100	1	1	1
"BLVRA"	95	1	1	5
"BLVRB"	82	1	5	12
"BMI1"	1	46	30	24
"BMS1"	1	32	64	4
"BNIP1"	2	1	1	98
"BNIP2"	73	1	1	27
"BNIP3L"	1	9	1	91
"BOD1"	98	1	1	1
"BOD1L1"	21	8	1	71
"BOLA1"	76	1	1	24
"BOLA2"	85	1	1	15
"BOLA3"	1	1	1	99
"BOP1"	8	7	62	23
"BPNT1"	86	1	1	14
"BPTF"	1	88	1	12
"BRAT1"	69	3	7	21
"BRCC3"	88	1	1	12
"BRD1"	1	71	1	29
"BRD2"	1	49	1	51
"BRD3"	1	89	1	11
"BRD4"	1	79	1	20
"BRD8"	33	67	1	1
"BRI3BP"	1	2	1	98
"BRIX1"	1	33	61	6
"BRK1"	80	1	1	20
"BRMS1"	1	43	1	57
"BROX"	96	2	1	3
"BRPF1"	1	100	1	1
"BRWD1"	1	1	1	100
"BSDC1"	42	1	1	58
"BSG"	1	11	53	35
"BTAF1"	29	55	1	17
"BTF3"	87	2	1	12
"BTF3L4"	73	1	1	27
"BUB1"	7	92	1	1
"BUB3"	15	19	23	43
"BUD13"	1	100	1	1
"BUD31"	18	42	19	20
"BYSL"	7	14	58	21
"BZW2"	64	1	1	35
"C10orf115"	84	1	1	15
"C10orf32"	69	1	1	31
"C10orf35"	1	1	1	100
"C11orf68"	68	1	1	32
"C11orf73"	100	1	1	1
"C11orf84"	1	100	1	1
"C12orf10"	82	1	1	18
"C12orf43"	1	84	5	10
"C12orf57"	86	1	1	14
"C14orf1"	1	2	1	98
"C14orf142"	100	1	1	1
"C14orf166"	51	5	14	30
"C15orf40"	64	1	1	36
"C16orf13"	88	1	1	12
"C17orf62"	1	6	1	94
"C17orf85"	1	93	6	1
"C18orf25"	95	1	1	5
"C19orf10"	4	3	1	93
"C19orf25"	21	1	1	79
"C19orf43"	1	1	1	99
"C19orf52"	1	67	1	33
"C19orf53"	100	1	1	1
"C1D"	1	66	1	34
"C1orf122"	93	1	1	7
"C1orf123"	97	1	1	3
"C1orf131"	1	100	1	1
"C1orf50"	100	1	1	1
"C1orf52"	68	1	32	1
"C1QBP"	1	20	9	71
"C20orf27"	88	1	1	12
"C21orf33"	1	1	1	98
"C21orf59"	81	1	1	19
"C2orf47"	5	1	1	95
"C2orf49"	1	21	1	79
"C2orf76"	100	1	1	1
"C3orf17"	1	19	33	47
"C4orf27"	83	1	1	17
"C4orf3"	1	1	1	99
"C4orf32"	1	1	1	100
"C5orf24"	1	100	1	1
"C5orf51"	74	1	1	26
"C6orf120"	1	3	1	97
"C6orf203"	1	1	1	99
"C6orf211"	100	1	1	1
"C7orf50"	24	9	7	59
"C7orf55"	1	1	1	99
"C8orf33"	34	6	12	48
"C8orf59"	95	1	1	5
"C8orf82"	1	1	1	99
"C9orf114"	1	100	1	1
"C9orf142"	49	51	1	1
"C9orf64"	100	1	1	1
"C9orf78"	80	1	1	20
"CA13"	67	1	1	33
"CA2"	98	1	1	2
"CAAP1"	1	100	1	1
"CAB39"	75	1	1	24
"CABIN1"	1	100	1	1
"CACNA2D1"	1	11	64	25
"CACTIN"	1	34	66	1
"CACYBP"	87	1	1	13
"CAD"	89	1	1	10
"CADM1"	1	1	27	72
"CADM3"	1	56	1	44
"CADM4"	1	10	36	54
"CALB2"	95	1	1	5
"CALD1"	38	15	15	31
"CALM1"	76	1	1	22
"CALR"	1	1	7	92
"CALU"	1	4	6	90
"CAMK1D"	100	1	1	1
"CAMK2G"	50	2	1	48
"CAMK4"	100	1	1	1
"CAND1"	83	1	1	16
"CANT1"	1	1	1	100
"CANX"	1	1	7	93
"CAP1"	91	1	1	9
"CAP2"	100	1	1	1
"CAPG"	95	1	1	5
"CAPN1"	95	1	1	5
"CAPN2"	90	1	1	10
"CAPN5"	1	48	52	1
"CAPN7"	70	1	1	30
"CAPNS1"	88	1	1	12
"CAPRIN1"	26	22	8	44
"CAPZA1"	44	4	47	5
"CAPZA2"	71	4	21	4
"CARHSP1"	93	1	1	7
"CARM1"	93	1	1	7
"CARS"	84	1	1	16
"CARS2"	29	1	1	70
"CASC3"	68	11	1	21
"CASK"	1	36	1	64
"CASP3"	100	1	1	1
"CASP4"	71	1	1	29
"CASP7"	100	1	1	1
"CASP8"	100	1	1	1
"CAT"	1	1	1	99
"CAV1"	1	12	71	17
"CBFB"	75	7	13	6
"CBR1"	85	1	1	15
"CBR3"	95	1	1	5
"CBS"	97	1	1	3
"CBWD1"	100	1	1	1
"CBX1"	3	23	30	44
"CBX2"	1	27	28	45
"CBX3"	21	24	26	29
"CBX5"	1	32	39	30
"CBX6"	1	13	37	50
"CBX8"	1	46	1	54
"CC2D1A"	95	1	1	4
"CCAR1"	20	49	29	2
"CCAR2"	17	17	14	53
"CCBL1"	100	1	1	1
"CCDC101"	1	52	1	48
"CCDC109B"	71	29	1	1
"CCDC115"	1	1	1	100
"CCDC12"	1	48	25	27
"CCDC124"	65	4	2	29
"CCDC134"	1	4	1	96
"CCDC137"	3	63	10	24
"CCDC22"	82	1	10	8
"CCDC25"	98	1	1	2
"CCDC43"	87	1	1	12
"CCDC47"	1	10	11	79
"CCDC50"	34	9	1	57
"CCDC51"	1	1	1	100
"CCDC53"	54	1	1	46
"CCDC58"	1	4	1	96
"CCDC59"	1	67	32	1
"CCDC6"	90	1	1	10
"CCDC86"	1	68	14	17
"CCDC88A"	99	1	1	1
"CCDC90B"	1	15	1	85
"CCDC93"	94	1	1	6
"CCNB1"	65	3	6	25
"CCNB2"	7	36	14	42
"CCNH"	13	50	1	37
"CCNK"	1	13	1	87
"CCNT1"	1	1	1	99
"CCNY"	10	9	1	81
"CCS"	100	1	1	1
"CCSMST1"	1	7	1	93
"CCT2"	74	1	8	17
"CCT3"	76	1	2	22
"CCT4"	71	1	1	28
"CCT5"	80	1	1	19
"CCT6A"	76	1	3	21
"CCT6B"	43	1	1	57
"CCT7"	68	1	9	23
"CCT8"	72	1	2	26
"CCZ1"	91	1	4	4
"CD151"	1	1	67	33
"CD276"	1	1	66	34
"CD2AP"	83	1	1	16
"CD2BP2"	11	10	1	79
"CD3EAP"	1	60	1	40
"CD44"	1	8	61	31
"CD47"	1	1	37	63
"CD59"	34	1	33	31
"CD63"	1	1	1	99
"CD9"	1	2	39	59
"CD97"	1	1	1	100
"CDC20"	54	6	14	27
"CDC26"	78	1	1	21
"CDC27"	40	60	1	1
"CDC34"	100	1	1	1
"CDC37"	84	1	1	16
"CDC42"	46	4	8	42
"CDC42BPA"	1	23	1	77
"CDC42BPB"	45	9	1	46
"CDC42EP1"	1	3	1	97
"CDC42EP2"	1	50	1	50
"CDC42EP4"	3	3	1	93
"CDC45"	75	1	4	20
"CDC5L"	3	32	34	31
"CDC6"	8	1	92	1
"CDC73"	1	43	2	55
"CDCA2"	1	100	1	1
"CDCA3"	1	1	1	100
"CDCA5"	1	91	1	9
"CDCA8"	1	73	18	9
"CDH2"	1	10	60	29
"CDK1"	75	1	7	17
"CDK11B"	1	14	65	21
"CDK12"	1	13	1	87
"CDK16"	50	1	1	50
"CDK17"	40	50	1	10
"CDK18"	50	1	1	50
"CDK2"	73	4	1	23
"CDK2AP1"	1	34	1	66
"CDK4"	51	1	8	40
"CDK5"	91	1	1	9
