Gene	Rodriguez-Pineiro_1	Rodriguez-Pineiro_2	Rodriguez-Pineiro_3	Rodriguez-Pineiro_4	Rodriguez-Pineiro_5	Rodriguez-Pineiro_6	Rodriguez-Pineiro_7	Rodriguez-Pineiro_8	Rodriguez-Pineiro_9	Rodriguez-Pineiro_10	Rodriguez-Pineiro_11
ARF6	68	64	36	8	10	6	1	1	1	1	1
ARGLU1	1	110	90	1	1	1	1	1	1	1	1
ARHGAP4	74	90	34	1	1	1	1	1	1	1	1
ARHGDIA	164	34	1	4	1	1	1	1	1	1	1
ARHGEF2	4	70	122	1	1	1	1	1	1	1	1
ARHGEF40	1	1	1	1	1	1	1	1	1	1	1
ARID2	1	1	200	1	1	1	1	1	1	1	1
ARL1	106	60	1	6	6	1	1	1	1	4	14
ARL3	144	1	1	10	18	1	1	10	12	6	1
ARL6IP1	14	68	62	10	26	16	1	1	1	6	1
ARL6IP5	1	1	1	56	22	70	20	12	18	1	1
ARL8A	1	1	1	1	1	1	1	1	1	1	1
ARL8B	184	16	1	1	1	1	1	1	1	1	1
ARMC10	1	1	1	1	6	10	52	32	64	12	24
ARMC8	200	1	1	1	1	1	1	1	1	1	1
ARMCX3	1	1	1	1	1	1	30	72	80	1	18
ARPC1B	4	20	16	10	26	48	26	24	1	16	6
ARPC2	102	50	28	4	4	6	4	1	1	1	1
ARPC3	86	112	1	1	1	1	1	1	1	1	1
ARPC4	66	96	20	1	10	8	1	1	1	1	1
ARPC5	100	82	1	6	1	8	1	1	1	1	4
ARPC5L	176	1	1	20	1	1	1	1	1	1	1
ASAH1	192	8	1	1	1	1	1	1	1	1	1
ASCC1	1	72	128	1	1	1	1	1	1	1	1
ASCC2	1	144	56	1	1	1	1	1	1	1	1
ASCC3	1	138	60	1	1	1	1	1	1	1	1
ASPH	1	1	1	1	24	42	40	16	38	10	26
ASS1	80	76	20	4	1	1	1	12	1	1	8
ATAD1	1	1	1	1	6	36	26	30	56	30	16
ATAD2	1	1	1	1	1	1	1	1	1	1	200
ATAD3A	1	1	1	1	6	12	36	24	84	22	14
ATG5	1	84	1	1	1	1	36	16	28	1	38
ATG9A	1	200	1	1	1	1	1	1	1	1	1
ATIC	170	1	1	6	1	24	1	1	1	1	1
ATL2	4	24	98	18	18	16	6	8	1	4	1
ATL3	4	48	56	6	24	26	12	6	10	1	4
ATP13A1	1	1	1	4	8	32	60	12	34	30	20
ATP1A1	34	76	48	6	12	8	8	1	1	1	1
ATP1B1	28	76	44	8	12	12	6	4	4	1	1
ATP1B3	12	128	12	4	8	26	6	1	1	1	1
ATP2A2	1	1	6	6	28	38	46	14	26	18	18
ATP2B1	24	106	30	10	22	1	4	1	1	4	1
ATP2B2	200	1	1	1	1	1	1	1	1	1	1
ATP2C1	1	1	1	100	76	1	26	1	1	1	1
ATP5A1	1	1	1	1	14	26	30	48	48	16	14
ATP5B	1	1	1	1	12	30	24	46	48	20	18
ATP5C1	1	1	1	1	6	18	30	40	66	32	6
ATP5D	1	1	1	1	8	14	22	44	1	78	32
ATP5E	1	1	1	1	16	32	36	56	1	10	50
ATP5F1	1	1	1	1	12	16	26	32	52	46	14
ATP5H	1	1	1	1	14	8	32	42	64	30	12
ATP5I	1	1	1	1	14	16	28	68	1	52	18
ATP5J	1	1	1	1	1	1	1	44	1	54	102
ATP5L	1	1	1	1	10	24	28	46	1	60	30
ATP5O	1	1	1	1	8	16	24	38	60	34	18
ATP6AP1	36	46	24	4	12	20	22	12	8	4	12
